Model Name,Testing Data,Factors,Metrics,Results,Summary
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,NIA,FIA,FIA,NIA
j-hartmann/sentiment-roberta-large-english-3-classes,PIA,NIA,FIA,FIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,PIA,PIA,PIA
fergusq/finbert-finnsentiment,NIA,NIA,FIA,FIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA
neuraly/bert-base-italian-cased-sentiment,NIA,NIA,FIA,FIA,NIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,FIA,FIA,NIA
MonoHime/rubert-base-cased-sentiment-new,NIA,NIA,NIA,NIA,NIA
mdhugol/indonesia-bert-sentiment-classification,FIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,FIA,FIA,NIA
lucas-leme/FinBERT-PT-BR,NIA,NIA,NIA,NIA,NIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,FIA,FIA,NIA
cointegrated/rubert-tiny-sentiment-balanced,NIA,NIA,FIA,FIA,NIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,FIA,FIA,NIA
seara/rubert-tiny2-russian-sentiment,FIA,NIA,FIA,FIA,NIA
mdraw/german-news-sentiment-bert,FIA,NIA,NIA,NIA,NIA
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,NIA,NIA,FIA,FIA,NIA
alexandrainst/da-sentiment-base,NIA,NIA,FIA,NIA,NIA
eevvgg/StanceBERTa,NIA,NIA,FIA,FIA,NIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,FIA,FIA,NIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-large-absa-v1.1,PIA,NIA,PIA,PIA,PIA
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,FIA,FIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,FIA,FIA,NIA
turing-usp/FinBertPTBR,NIA,NIA,NIA,NIA,NIA
Voicelab/herbert-base-cased-sentiment,NIA,NIA,NIA,NIA,NIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,PIA,NIA,PIA,PIA,PIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,PIA,PIA,PIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,FIA,FIA,NIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,FIA,NIA,FIA,FIA,NIA
larskjeldgaard/senda,NIA,NIA,NIA,NIA,NIA
Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,PIA,PIA,PIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,FIA,FIA,NIA
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,FIA,FIA,NIA
FinanceInc/auditor_sentiment_finetuned,NIA,NIA,FIA,FIA,NIA
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,NIA,NIA,FIA,FIA,NIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,NIA,FIA,FIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,NIA,NIA,NIA,NIA,NIA
poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,PIA,NIA
xaqren/sentiment_analysis,PIA,NIA,PIA,PIA,PIA
Davlan/naija-twitter-sentiment-afriberta-large,PIA,NIA,FIA,FIA,PIA
bardsai/finance-sentiment-zh-base,NIA,NIA,FIA,FIA,NIA
seara/rubert-base-cased-russian-sentiment,FIA,NIA,FIA,FIA,NIA
blanchefort/rubert-base-cased-sentiment-med,NIA,NIA,NIA,NIA,NIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,FIA,NIA,FIA,FIA,NIA
RashidNLP/Finance-Sentiment-Classification,NIA,NIA,NIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,FIA,FIA,NIA
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,PIA,NIA,FIA,FIA,NIA
aari1995/German_Sentiment,NIA,NIA,NIA,NIA,NIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,PIA,PIA,NIA
ZiweiChen/FinBERT-FOMC,PIA,NIA,PIA,PIA,NIA
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA
alger-ia/dziribert_sentiment,PIA,PIA,PIA,PIA,PIA
blanchefort/rubert-base-cased-sentiment-rurewiews,NIA,NIA,NIA,NIA,NIA
z-dickson/multilingual_sentiment_newspaper_headlines,NIA,NIA,NIA,PIA,NIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,PIA,PIA,PIA,PIA,PIA
