Model Name,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model
yangheng/deberta-v3-base-absa-v1.1,FIA,NIA,NIA,NIA,NIA,NIA
hakonmh/sentiment-xdistil-uncased,FIA,NIA,NIA,NIA,NIA,NIA
avichr/heBERT_sentiment_analysis,FIA,PIA,NIA,PIA,PIA,FIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
w11wo/indonesian-roberta-base-sentiment-classifier,NIA,NIA,NIA,FIA,NIA,FIA
j-hartmann/sentiment-roberta-large-english-3-classes,PIA,PIA,NIA,PIA,PIA,FIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,NIA,NIA,PIA,PIA
fergusq/finbert-finnsentiment,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,NIA
neuraly/bert-base-italian-cased-sentiment,FIA,NIA,NIA,FIA,NIA,FIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,NIA,NIA,FIA
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,FIA,FIA,FIA,FIA
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,NIA,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,NIA,NIA,NIA,NIA
lucas-leme/FinBERT-PT-BR,FIA,FIA,NIA,NIA,NIA,FIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,NIA,NIA,NIA,FIA
cointegrated/rubert-tiny-sentiment-balanced,FIA,NIA,NIA,NIA,NIA,FIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,NIA,NIA,NIA,FIA
seara/rubert-tiny2-russian-sentiment,FIA,NIA,NIA,NIA,NIA,FIA
mdraw/german-news-sentiment-bert,FIA,NIA,NIA,NIA,NIA,FIA
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,FIA
alexandrainst/da-sentiment-base,FIA,NIA,FIA,FIA,FIA,FIA
eevvgg/StanceBERTa,NIA,NIA,NIA,FIA,NIA,FIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,NIA,FIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
yangheng/deberta-v3-large-absa-v1.1,FIA,PIA,NIA,PIA,PIA,FIA
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,NIA,NIA
turing-usp/FinBertPTBR,FIA,NIA,NIA,NIA,NIA,FIA
Voicelab/herbert-base-cased-sentiment,FIA,NIA,NIA,NIA,NIA,NIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,PIA,PIA,NIA,NIA,PIA,PIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,NIA,NIA,PIA,PIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,NIA,FIA,NIA,FIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
larskjeldgaard/senda,FIA,NIA,NIA,NIA,NIA,FIA
Souvikcmsa/BERT_sentiment_analysis,FIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,NIA,PIA,PIA,PIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,NIA,NIA,NIA,FIA
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,NIA,NIA,NIA,NIA
FinanceInc/auditor_sentiment_finetuned,FIA,NIA,NIA,NIA,NIA,FIA
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,FIA,NIA,NIA,FIA,NIA,FIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,FIA,FIA,NIA,NIA,NIA,PIA
poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA
xaqren/sentiment_analysis,FIA,FIA,NIA,FIA,PIA,PIA
Davlan/naija-twitter-sentiment-afriberta-large,FIA,PIA,NIA,FIA,PIA,FIA
bardsai/finance-sentiment-zh-base,FIA,NIA,NIA,NIA,NIA,FIA
seara/rubert-base-cased-russian-sentiment,FIA,NIA,NIA,NIA,NIA,FIA
blanchefort/rubert-base-cased-sentiment-med,NIA,NIA,NIA,NIA,NIA,FIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,NIA,NIA,NIA,NIA,NIA,FIA
RashidNLP/Finance-Sentiment-Classification,NIA,NIA,NIA,NIA,NIA,FIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,NIA,NIA
aari1995/German_Sentiment,FIA,NIA,NIA,NIA,NIA,FIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,NIA,NIA,NIA,NIA
ZiweiChen/FinBERT-FOMC,PIA,NIA,NIA,NIA,NIA,FIA
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA,NIA
alger-ia/dziribert_sentiment,FIA,NIA,NIA,PIA,PIA,FIA
blanchefort/rubert-base-cased-sentiment-rurewiews,NIA,NIA,NIA,NIA,NIA,PIA
z-dickson/multilingual_sentiment_newspaper_headlines,PIA,NIA,NIA,NIA,NIA,PIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,PIA,PIA,NIA,NIA,PIA,PIA
