Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
Jean-Baptiste/roberta-large-financial-news-sentiment-en,FIA,NIA,NIA,NIA,NIA
seara/rubert-tiny2-russian-sentiment,FIA,NIA,NIA,FIA,NIA
mdraw/german-news-sentiment-bert,FIA,NIA,NIA,NIA,NIA
BVK97/Discord-NFT-Sentiment,FIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,PIA,NIA,NIA,NIA,NIA
alexandrainst/da-sentiment-base,FIA,NIA,NIA,PIA,PIA
eevvgg/StanceBERTa,NIA,NIA,FIA,FIA,NIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,PIA,NIA,NIA,FIA,NIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-large-absa-v1.1,PIA,PIA,PIA,PIA,PIA
IAyoub/finetuning-bert-sentiment-reviews-2,PIA,NIA,NIA,FIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,PIA,NIA,NIA,FIA,NIA
turing-usp/FinBertPTBR,PIA,NIA,NIA,NIA,NIA
Voicelab/herbert-base-cased-sentiment,NIA,NIA,NIA,NIA,FIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,FIA,NIA,PIA,NIA,NIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,FIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,PIA,PIA,PIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,PIA,PIA,NIA,FIA,NIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,FIA,NIA,NIA,NIA,NIA
larskjeldgaard/senda,PIA,NIA,NIA,NIA,NIA
Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,NIA,PIA,NIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,FIA,NIA,NIA,NIA,NIA
hilmansw/indobert-finetuned-sentiment-happiness-index,PIA,NIA,NIA,FIA,NIA
FinanceInc/auditor_sentiment_finetuned,FIA,NIA,NIA,FIA,NIA
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,PIA,NIA,NIA,NIA,NIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,PIA,NIA,NIA,FIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,PIA,NIA,NIA,NIA,NIA
poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA
xaqren/sentiment_analysis,PIA,PIA,PIA,PIA,PIA
Davlan/naija-twitter-sentiment-afriberta-large,FIA,FIA,FIA,PIA,
bardsai/finance-sentiment-zh-base,NIA,NIA,NIA,PIA,NIA
seara/rubert-base-cased-russian-sentiment,FIA,NIA,NIA,FIA,NIA
blanchefort/rubert-base-cased-sentiment-med,FIA,NIA,NIA,NIA,NIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,FIA,NIA,NIA,NIA,NIA
RashidNLP/Finance-Sentiment-Classification,FIA,NIA,NIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,NIA,FIA,NIA
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,NIA
aari1995/German_Sentiment,FIA,NIA,NIA,NIA,NIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,NIA,FIA,NIA
ZiweiChen/FinBERT-FOMC,NIA,NIA,PIA,NIA,NIA
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA
alger-ia/dziribert_sentiment,PIA,PIA,PIA,PIA,PIA
blanchefort/rubert-base-cased-sentiment-rurewiews,FIA,FIA,FIA,FIA,FIA
z-dickson/multilingual_sentiment_newspaper_headlines,FIA,NIA,NIA,FIA,PIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,PIA,PIA,PIA,PIA,PIA
