Model Name,FIA,NIA,PIA,U
MonoHime/rubert-base-cased-sentiment-new,20.833333333333336,79.16666666666666,0.0,0.0
mdhugol/indonesia-bert-sentiment-classification,8.333333333333332,91.66666666666666,0.0,0.0
Kyle1668/boss-sentiment-bert-base-uncased,4.166666666666666,95.83333333333334,0.0,0.0
mwz/RomanUrduClassification,20.833333333333336,79.16666666666666,0.0,0.0
philschmid/distilbert-base-multilingual-cased-sentiment-2,25.0,75.0,0.0,0.0
lucas-leme/FinBERT-PT-BR,16.666666666666664,83.33333333333334,0.0,0.0
peerapongch/baikal-sentiment-ball,12.5,87.5,0.0,0.0
abhishek/autonlp-swahili-sentiment-615517563,20.833333333333336,66.66666666666666,8.333333333333332,4.166666666666666
cointegrated/rubert-tiny-sentiment-balanced,25.0,75.0,0.0,0.0
Jean-Baptiste/roberta-large-financial-news-sentiment-en,41.66666666666667,58.333333333333336,0.0,0.0
seara/rubert-tiny2-russian-sentiment,25.0,66.66666666666666,0.0,8.333333333333332
mdraw/german-news-sentiment-bert,16.666666666666664,83.33333333333334,0.0,0.0
BVK97/Discord-NFT-Sentiment,29.166666666666668,70.83333333333334,0.0,0.0
emre/turkish-sentiment-analysis,29.166666666666668,58.333333333333336,4.166666666666666,8.333333333333332
alexandrainst/da-sentiment-base,41.66666666666667,54.166666666666664,0.0,4.166666666666666
eevvgg/StanceBERTa,33.33333333333333,66.66666666666666,0.0,0.0
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,16.666666666666664,83.33333333333334,0.0,0.0
Ammar-alhaj-ali/arabic-MARBERT-sentiment,25.0,37.5,37.5,0.0
yangheng/deberta-v3-large-absa-v1.1,29.166666666666668,62.5,4.166666666666666,4.166666666666666
IAyoub/finetuning-bert-sentiment-reviews-2,29.166666666666668,70.83333333333334,0.0,0.0
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,20.833333333333336,79.16666666666666,0.0,0.0
turing-usp/FinBertPTBR,25.0,54.166666666666664,20.833333333333336,0.0
Voicelab/herbert-base-cased-sentiment,8.333333333333332,87.5,0.0,4.166666666666666
Tejas3/distillbert_base_uncased_80_equal,4.166666666666666,62.5,25.0,8.333333333333332
l3cube-pune/marathi-sentiment-md,20.833333333333336,75.0,4.166666666666666,0.0
shashanksrinath/News_Sentiment_Analysis,16.666666666666664,41.66666666666667,41.66666666666667,0.0
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,37.5,50.0,4.166666666666666,8.333333333333332
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,33.33333333333333,66.66666666666666,0.0,0.0
cardiffnlp/twitter-roberta-base-dec2021-sentiment,12.5,79.16666666666666,4.166666666666666,4.166666666666666
larskjeldgaard/senda,25.0,70.83333333333334,0.0,4.166666666666666
Souvikcmsa/BERT_sentiment_analysis,8.333333333333332,41.66666666666667,50.0,0.0
cardiffnlp/xlm-twitter-politics-sentiment,33.33333333333333,62.5,4.166666666666666,0.0
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,25.0,70.83333333333334,4.166666666666666,0.0
hilmansw/indobert-finetuned-sentiment-happiness-index,41.66666666666667,54.166666666666664,0.0,4.166666666666666
FinanceInc/auditor_sentiment_finetuned,4.166666666666666,91.66666666666666,0.0,4.166666666666666
pysentimiento/roberta-targeted-sentiment-analysis,20.833333333333336,75.0,0.0,4.166666666666666
RecordedFuture/Swedish-Sentiment-Violence,25.0,66.66666666666666,0.0,8.333333333333332
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,25.0,75.0,0.0,0.0
MarieAngeA13/Sentiment-Analysis-BERT,8.333333333333332,87.5,0.0,4.166666666666666
poom-sci/WangchanBERTa-finetuned-sentiment,8.333333333333332,70.83333333333334,16.666666666666664,4.166666666666666
xaqren/sentiment_analysis,41.66666666666667,29.166666666666668,25.0,4.166666666666666
Davlan/naija-twitter-sentiment-afriberta-large,33.33333333333333,58.333333333333336,4.166666666666666,4.166666666666666
bardsai/finance-sentiment-zh-base,41.66666666666667,58.333333333333336,0.0,0.0
seara/rubert-base-cased-russian-sentiment,20.833333333333336,75.0,0.0,4.166666666666666
blanchefort/rubert-base-cased-sentiment-med,29.166666666666668,70.83333333333334,0.0,0.0
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,16.666666666666664,79.16666666666666,0.0,4.166666666666666
RashidNLP/Finance-Sentiment-Classification,29.166666666666668,66.66666666666666,0.0,4.166666666666666
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,8.333333333333332,91.66666666666666,0.0,0.0
abnersampaio/sentimentv2,20.833333333333336,79.16666666666666,0.0,0.0
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,20.833333333333336,75.0,4.166666666666666,0.0
aari1995/German_Sentiment,25.0,75.0,0.0,0.0
ncduy/phobert-large-finetuned-vietnamese_students_feedback,8.333333333333332,62.5,29.166666666666668,0.0
ZiweiChen/FinBERT-FOMC,8.333333333333332,87.5,0.0,4.166666666666666
JP040/bert-german-sentiment-twitter,12.5,37.5,50.0,0.0
alger-ia/dziribert_sentiment,20.833333333333336,75.0,4.166666666666666,0.0
blanchefort/rubert-base-cased-sentiment-rurewiews,29.166666666666668,66.66666666666666,0.0,4.166666666666666
z-dickson/multilingual_sentiment_newspaper_headlines,12.5,87.5,0.0,0.0
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,20.833333333333336,37.5,41.66666666666667,0.0
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,80.0,0.0,20.0,0.0
