Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
koheiduck/bert-japanese-finetuned-sentiment,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
finiteautomata/bertweet-base-sentiment-analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,PIA,FIA,PIA,PIA,FIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
oliverguhr/german-sentiment-bert,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
christian-phu/bert-finetuned-japanese-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-rusentiment,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
climatebert/distilroberta-base-climate-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Seethal/sentiment_analysis_generic_dataset,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,FIA,FIA,PIA,PIA,FIA,NIA,NIA,PIA,PIA,PIA,NIA,NIA,PIA,NIA,FIA,PIA,PIA
sbcBI/sentiment_analysis_model,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,PIA,PIA,FIA,PIA,NIA,FIA,FIA,FIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,PIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
snunlp/KR-FinBert-SC,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,PIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA
soleimanian/financial-roberta-large-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,FIA,FIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,PIA,NIA,NIA,FIA,FIA,PIA,FIA,FIA,PIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,FIA,FIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Fear,PIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
knkarthick/Sentiment-Analysis,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,FIA,FIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,PIA,NIA,FIA,PIA,PIA
sbcBI/sentiment_analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,PIA,PIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,FIA,NIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
yangheng/deberta-v3-base-absa-v1.1,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,FIA,NIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
hakonmh/sentiment-xdistil-uncased,PIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,FIA,PIA,FIA,PIA,FIA,FIA,PIA,FIA,FIA,PIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,FIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
avichr/heBERT_sentiment_analysis,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,PIA,NIA,NIA,PIA,PIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA,PIA,FIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,FIA,PIA,PIA,NIA,FIA,NIA,PIA,FIA,PIA
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA
j-hartmann/sentiment-roberta-large-english-3-classes,FIA,NIA,PIA,FIA,FIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,FIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,FIA,FIA,PIA,PIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,PIA
fergusq/finbert-finnsentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,PIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,PIA
neuraly/bert-base-italian-cased-sentiment,FIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mdhugol/indonesia-bert-sentiment-classification,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,PIA,NIA,NIA,NIA,PIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA
lucas-leme/FinBERT-PT-BR,FIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
peerapongch/baikal-sentiment-ball,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,PIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,PIA,PIA,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cointegrated/rubert-tiny-sentiment-balanced,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,FIA,FIA,FIA,PIA,FIA,FIA,NIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA
seara/rubert-tiny2-russian-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,PIA
mdraw/german-news-sentiment-bert,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA
BVK97/Discord-NFT-Sentiment,PIA,NIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,PIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,FIA,PIA,FIA,PIA,NIA,FIA,PIA,NIA,FIA,PIA,FIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA
alexandrainst/da-sentiment-base,FIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,PIA,PIA,FIA,FIA,NIA,PIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA
eevvgg/StanceBERTa,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,FIA,PIA,PIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
yangheng/deberta-v3-large-absa-v1.1,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
IAyoub/finetuning-bert-sentiment-reviews-2,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
turing-usp/FinBertPTBR,FIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,PIA,NIA,PIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,FIA,NIA,NIA,PIA,PIA,FIA,PIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA
Voicelab/herbert-base-cased-sentiment,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Tejas3/distillbert_base_uncased_80_equal,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,FIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
l3cube-pune/marathi-sentiment-md,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
shashanksrinath/News_Sentiment_Analysis,PIA,NIA,NIA,NIA,PIA,NIA,FIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,FIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,NIA,PIA,FIA,PIA,FIA,FIA,PIA,FIA,PIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,FIA,PIA,PIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,PIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
larskjeldgaard/senda,PIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Souvikcmsa/BERT_sentiment_analysis,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,PIA,NIA,FIA,PIA,PIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,PIA,FIA,FIA,PIA,FIA,FIA,FIA,FIA,FIA,PIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,PIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
