Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
koheiduck/bert-japanese-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,PIA,NIA,NIA,FIA,NIA,PIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
finiteautomata/bertweet-base-sentiment-analysis,NIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,PIA,NIA,FIA,FIA,PIA,FIA,NIA,NIA,NIA,PIA,FIA,NIA,NIA,PIA,PIA,PIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA
oliverguhr/german-sentiment-bert,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
christian-phu/bert-finetuned-japanese-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,NIA,PIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
climatebert/distilroberta-base-climate-sentiment,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Seethal/sentiment_analysis_generic_dataset,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,PIA,PIA,NIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,NIA,NIA,NIA
sbcBI/sentiment_analysis_model,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,PIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA,PIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA
snunlp/KR-FinBert-SC,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
soleimanian/financial-roberta-large-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Fear,NIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,PIA,PIA,NIA,NIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,NIA,NIA,NIA
sbcBI/sentiment_analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-base-absa-v1.1,PIA,PIA,PIA,PIA,FIA,FIA,FIA,FIA,PIA,NIA,NIA,PIA,NIA,NIA,PIA,PIA,PIA,NIA,PIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA
hakonmh/sentiment-xdistil-uncased,NIA,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,PIA,NIA,FIA,FIA,NIA,FIA,PIA,NIA,PIA,PIA,FIA,NIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA
avichr/heBERT_sentiment_analysis,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
Sigma/financial-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,PIA,PIA,NIA,NIA,PIA,NIA,FIA,FIA,PIA,PIA,PIA,NIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA
j-hartmann/sentiment-roberta-large-english-3-classes,PIA,PIA,PIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,PIA,PIA,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
fergusq/finbert-finnsentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,PIA,PIA,FIA,FIA,NIA,NIA,NIA,PIA,NIA,NIA
neuraly/bert-base-italian-cased-sentiment,PIA,NIA,PIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,FIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
mwz/RomanUrduClassification,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA
lucas-leme/FinBERT-PT-BR,PIA,PIA,PIA,NIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cointegrated/rubert-tiny-sentiment-balanced,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
seara/rubert-tiny2-russian-sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mdraw/german-news-sentiment-bert,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
alexandrainst/da-sentiment-base,FIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,PIA,NIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
eevvgg/StanceBERTa,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,FIA,PIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-large-absa-v1.1,PIA,PIA,PIA,PIA,FIA,FIA,FIA,FIA,PIA,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
turing-usp/FinBertPTBR,FIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Voicelab/herbert-base-cased-sentiment,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,PIA,NIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,PIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,PIA,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,NIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,PIA,PIA,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,PIA,PIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,NIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
larskjeldgaard/senda,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,PIA,PIA,NIA,NIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,PIA,NIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,NIA,NIA
