Model Name,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],Repository,Paper [optional],Demo [optional],Label Information,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]",Testing Data,Factors,Metrics,Results,Summary,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
cardiffnlp/camembert-base-tweet-sentiment-fr,PIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,FIA,NIA,NIA,PIA,U,NIA,NIA,PIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,U,NIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA,PIA,U,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-base-absa-v1.1,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,U,FIA,PIA,NIA,PIA,U,FIA,NIA,FIA,FIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
hakonmh/sentiment-xdistil-uncased,NIA,NIA,U,FIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,FIA,PIA,FIA,PIA,NIA,U,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,U,PIA,NIA,NIA,FIA,NIA,FIA,U,NIA
avichr/heBERT_sentiment_analysis,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,NIA,NIA,NIA,U,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,U,NIA,PIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,U
w11wo/indonesian-roberta-base-sentiment-classifier,FIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,U,FIA,PIA,PIA,NIA,NIA,PIA,NIA,FIA,FIA,PIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA
j-hartmann/sentiment-roberta-large-english-3-classes,U,NIA,PIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,PIA,PIA,PIA,PIA,U,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,U,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
fergusq/finbert-finnsentiment,NIA,NIA,U,FIA,FIA,FIA,FIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,PIA,U,FIA,FIA,NIA,NIA,NIA,U,NIA,U
neuraly/bert-base-italian-cased-sentiment,PIA,NIA,U,FIA,FIA,FIA,FIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
MonoHime/rubert-base-cased-sentiment-new,FIA,NIA,FIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,FIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA
lucas-leme/FinBERT-PT-BR,FIA,PIA,PIA,FIA,FIA,FIA,FIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,PIA,PIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cointegrated/rubert-tiny-sentiment-balanced,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,FIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
seara/rubert-tiny2-russian-sentiment,NIA,NIA,NIA,FIA,FIA,U,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mdraw/german-news-sentiment-bert,NIA,NIA,U,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,NIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,PIA,U,NIA,NIA,FIA,NIA,NIA,FIA,NIA,FIA,FIA,FIA,FIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
alexandrainst/da-sentiment-base,FIA,NIA,FIA,FIA,FIA,FIA,FIA,FIA,U,NIA,FIA,NIA,U,FIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
eevvgg/StanceBERTa,FIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,FIA,PIA,PIA,U,PIA,NIA,PIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-large-absa-v1.1,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,U,U,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
turing-usp/FinBertPTBR,FIA,NIA,FIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,U,PIA,NIA,PIA,NIA,NIA,NIA,NIA,PIA,PIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Voicelab/herbert-base-cased-sentiment,U,U,FIA,NIA,FIA,FIA,FIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,U,FIA,NIA,PIA,NIA,NIA,PIA,PIA,PIA,PIA,PIA,U,U,NIA,NIA,PIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,U,FIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,FIA,PIA,NIA,NIA,FIA,FIA,PIA,NIA,PIA,PIA,PIA,NIA,NIA,FIA,NIA,U,PIA,PIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,PIA,PIA,PIA,FIA,FIA,FIA,FIA,FIA,FIA,NIA,PIA,U,U,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,U,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,PIA,PIA,U,FIA,NIA,NIA,FIA,NIA,NIA,NIA,U,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
larskjeldgaard/senda,U,U,U,NIA,FIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Souvikcmsa/BERT_sentiment_analysis,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,PIA,NIA,PIA,NIA,PIA,PIA,PIA,PIA,PIA,PIA,PIA,NIA,PIA,PIA,FIA,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,U,NIA,NIA
cardiffnlp/xlm-twitter-politics-sentiment,PIA,PIA,PIA,FIA,FIA,NIA,FIA,FIA,FIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,FIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,NIA,FIA,FIA,FIA,FIA,NIA,NIA,NIA,U,FIA,U,NIA,FIA,NIA,NIA,NIA,FIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
FinanceInc/auditor_sentiment_finetuned,NIA,NIA,NIA,FIA,U,NIA,FIA,NIA,NIA,NIA,U,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
