Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
BeChi87/train_model_Lastestttt,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try5_fold0,NIA,NIA,NIA,NIA,NIA
philschmid/finbert-tone-endpoint-ds,NIA,NIA,NIA,NIA,NIA
intanm/baseline_fin_sa_60,NIA,NIA,NIA,NIA,NIA
ymcnabb/dutch_threeway_sentiment_classification_v2,NIA,NIA,NIA,FIA,NIA
Bennet1996/finetuning-ESG-sentiment-model-distilbert,NIA,NIA,NIA,NIA,NIA
cardiffnlp/mbert-base-tweet-sentiment-fr,FIA,NIA,NIA,NIA,NIA
cardiffnlp/mbert-base-tweet-sentiment-pt,FIA,NIA,NIA,NIA,NIA
ecabott/nepali-sentiment-analyzer,FIA,NIA,NIA,NIA,NIA
aXhyra/presentation_sentiment_1234567,NIA,NIA,NIA,FIA,NIA
Pendo/finetuned-Sentiment-classfication-ROBERTA-Base-model,NIA,NIA,NIA,FIA,NIA
Christiansg/finetuning-sentiment_spanish-amazon-group23,NIA,NIA,NIA,FIA,NIA
bardsai/finance-sentiment-es-base,NIA,NIA,NIA,NIA,NIA
sismetanin/rubert_conversational-ru-sentiment-sentirueval2016,NIA,NIA,NIA,NIA,NIA
cardiffnlp/mbert-base-tweet-sentiment-ar,FIA,NIA,NIA,NIA,NIA
l3cube-pune/marathi-sentiment-subtitles,NIA,NIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test1,NIA,NIA,NIA,FIA,NIA
Ausbel/Vaccine-tweet-sentiments-analysis-model-2,NIA,NIA,NIA,FIA,NIA
nlp-chula/sentiment-finnlp-th,NIA,NIA,NIA,FIA,NIA
Psunrise/finetuning-customer-sentiment-model-300-samples,NIA,NIA,NIA,FIA,NIA
lucaordronneau/twitter-roberta-base-sentiment-latest-finetuned-FG-SINGLE_SENTENCE-NEWS,NIA,NIA,NIA,NIA,NIA
hazrulakmal/distilbert-optimised-finetuned-financial-sentiment,NIA,NIA,NIA,FIA,NIA
sakasa007/finetuning-sentiment-text-mining,NIA,NIA,NIA,FIA,NIA
sshs/phobert-base-vietnamese-sentiment,NIA,NIA,NIA,NIA,NIA
jcy204/wind_model2,NIA,NIA,NIA,FIA,NIA
tanoManzo/distilbert-attitude,NIA,NIA,NIA,NIA,NIA
memotirre90/Equipo16_gpt2-HotelSentiment,NIA,NIA,NIA,FIA,NIA
sasha/autotrain-RobertaBaseTweetEval-1281048989,NIA,NIA,NIA,NIA,NIA
AlonCohen/RuSentNE-iter-2,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try11_fold2,NIA,NIA,NIA,NIA,NIA
eduardopds/distilbert-base-uncased-tweets,NIA,NIA,NIA,FIA,NIA
dshin/my_awesome_model,NIA,NIA,NIA,FIA,NIA
intanm/mlm_v1_20230327_fin_sa_60,NIA,NIA,NIA,FIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-fulldata,NIA,NIA,NIA,NIA,NIA
Q317/EmoraBert,NIA,NIA,NIA,FIA,NIA
intanm/mlm_v1_20230327_fin_sa_20,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try15_fold2,NIA,NIA,NIA,FIA,NIA
BeChi87/train_model_Lastest_new,NIA,NIA,NIA,NIA,NIA
Q317/EmoraBert4,NIA,NIA,NIA,FIA,NIA
yanezh/twiiter_try13_fold4,NIA,NIA,NIA,NIA,NIA
intanm/mlm_v1_20230327_fin_sa_70,NIA,NIA,NIA,FIA,NIA
Rem59/autotrain-Test_2-789524315,NIA,NIA,NIA,NIA,NIA
sasha/autotrain-DistilBERT-TweetEval-1281148992,NIA,NIA,NIA,NIA,NIA
intanm/fin-sa-post-trained-indobert-large-finnews-p2-002,NIA,NIA,NIA,NIA,NIA
jcy204/cold_model,NIA,NIA,NIA,FIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run1,NIA,NIA,NIA,NIA,NIA
W4nkel/microsoftTurkishTrain,NIA,NIA,NIA,FIA,NIA
Svetlana0303/Classfication_AlBERT,NIA,NIA,NIA,FIA,NIA
yanezh/twiiter_try13_fold2,NIA,NIA,NIA,NIA,NIA
fassahat/distilbert-base-uncased-finetuned-557k-patent-sentences,NIA,NIA,NIA,NIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-norm_inv_const5-gamma3,NIA,NIA,NIA,NIA,NIA
salohnana2018/ABSA-single-domainAdapt-bert-base-MARBERT2-HARD,NIA,NIA,NIA,NIA,NIA
cruiser/final_model,NIA,NIA,NIA,FIA,NIA
Svetlana0303/Classfication_RoBERTa,NIA,NIA,NIA,FIA,NIA
kreynolds03/Solomon,NIA,NIA,NIA,NIA,NIA
KarelDO/lstm.CEBaB_confounding.uniform.absa.5-class.seed_42,NIA,NIA,NIA,FIA,NIA
BeChi87/train_model_Lastest_16_8_lan3,NIA,NIA,NIA,NIA,NIA
madmancity/bert2,NIA,NIA,NIA,NIA,NIA
sasha/autotrain-RobertaBaseTweetEval-1281048986,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try13_fold3,NIA,NIA,NIA,NIA,NIA
Anwaarma/autotrain-testsen-65460136124,NIA,NIA,NIA,NIA,NIA
