Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
Anthos23/FS-distilroberta-fine-tuned,NIA,NIA,NIA,NIA,NIA
luissgtorres/Bert_sentiment_analysis_Indata,NIA,NIA,NIA,FIA,NIA
warwickai/fin-perceiver,PIA,PIA,PIA,FIA,PIA
rohanrajpal/bert-base-en-es-codemix-cased,PIA,PIA,NIA,NIA,NIA
langecod/Financial_Phrasebank_RoBERTa,NIA,NIA,NIA,NIA,NIA
brema76/vaccine_event_it,PIA,NIA,NIA,NIA,NIA
kullackaan/sentiment-tweets,NIA,NIA,NIA,NIA,NIA
jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,NIA,NIA,NIA,FIA,NIA
santis2/phrasebank-sentiment-analysis,PIA,NIA,NIA,FIA,NIA
bardsai/finance-sentiment-de-base,PIA,PIA,NIA,PIA,NIA
everyl12/crisis_sentiment_roberta,NIA,NIA,NIA,PIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-de,PIA,NIA,NIA,NIA,NIA
Venkatesh4342/distilbert-helpdesk-sentence-sentiment,NIA,NIA,NIA,FIA,NIA
mrcaelumn/yelp_restaurant_review_sentiment_analysis,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-es,PIA,NIA,NIA,NIA,NIA
Kapiche/twitter-roberta-base-sentiment-latest,PIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-it,PIA,NIA,NIA,NIA,NIA
bardsai/twitter-sentiment-pl-fast,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-en,NIA,NIA,NIA,NIA,NIA
svalabs/twitter-xlm-roberta-bitcoin-sentiment,PIA,NIA,NIA,NIA,NIA
DingYao/autotrain-fbert-singlish-5-1943965533,NIA,NIA,NIA,NIA,NIA
bardsai/finance-sentiment-ja-base,NIA,NIA,NIA,NIA,NIA
DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,PIA,PIA,NIA,FIA,NIA
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,PIA,PIA,NIA,FIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,PIA,NIA,NIA,NIA,NIA
GhylB/Sentiment_Analysis_DistilBERT,NIA,NIA,NIA,NIA,NIA
meghanabhange/Hinglish-Bert-Class,NIA,NIA,NIA,NIA,NIA
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_reviews_english_3,NIA,NIA,NIA,NIA,NIA
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try4_fold2,NIA,NIA,NIA,NIA,NIA
intanm/fin-sa-post-trained-indobert-base-finnews-5,NIA,NIA,NIA,NIA,NIA
dhikaardianto/TiktokSentimentIndoBertTwitter,NIA,NIA,NIA,NIA,NIA
tyqiangz/indobert-lite-large-p2-smsa,NIA,PIA,NIA,FIA,NIA
Nelver28/sentiment-analysis-positive-mixed-negative,NIA,NIA,NIA,FIA,NIA
kartashoffv/vashkontrol-sentiment-rubert,PIA,NIA,NIA,FIA,NIA
zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-fr,PIA,NIA,NIA,NIA,NIA
CK42/sentiment_analysis_sbcBI,NIA,NIA,NIA,NIA,NIA
adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,NIA,NIA,NIA,NIA,NIA
mirfan899/da_spacy_sentiment,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-en,NIA,NIA,NIA,NIA,NIA
DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,NIA,NIA,NIA,FIA,NIA
TankuVie/bert-base-multilingual-uncased-vietnamese_sentiment_analysis,PIA,NIA,NIA,FIA,NIA
duwuonline/mymodel-classify-sentiment,NIA,NIA,NIA,NIA,NIA
Tobias/bert-base-german-cased_German_Hotel_sentiment,NIA,NIA,NIA,PIA,NIA
eevvgg/PaReS-sentimenTw-political-PL,NIA,NIA,NIA,PIA,NIA
venetis/distilroberta-base-finetuned-3d-sentiment,NIA,NIA,NIA,FIA,NIA
A-Funakoshi/bert-finetuned-multilingual-sentiments,NIA,NIA,NIA,NIA,NIA
devtanumisra/finetuning-sentiment-model-deberta-smote,NIA,NIA,NIA,NIA,NIA
sasha/autotrain-BERTBase-TweetEval-1281248996,NIA,NIA,NIA,FIA,NIA
cardiffnlp/mbert-base-tweet-sentiment-it,PIA,NIA,NIA,NIA,NIA
candra/indobertweet-sentiment2,NIA,NIA,NIA,FIA,NIA
Jonathan0528/bert-base-uncased-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA
