Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
Softechlb/Sent_analysis_CVs,NIA,NIA,NIA,PIA,PIA,NIA,PIA,,NIA,NIA,NIA,NIA,
mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,NIA,PIA,NIA,PIA,PIA,NIA,FIA,,NIA,NIA,NIA,NIA,
ganeshkharad/gk-hinglish-sentiment,NIA,NIA,NIA,PIA,FIA,NIA,PIA,,PIA,NIA,NIA,FIA,
akahana/indonesia-sentiment-roberta,NIA,NIA,NIA,PIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
sahri/indonesiasentiment,FIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Venkatesh4342/xlm-roberta-helpdesk-sentiment,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
KernAI/stock-news-distilbert,NIA,NIA,NIA,FIA,PIA,NIA,PIA,,NIA,NIA,NIA,FIA,
CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,FIA,NIA,PIA,
Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,NIA,NIA,NIA,FIA,PIA,NIA,FIA,,NIA,NIA,NIA,PIA,
RashidNLP/Amazon-Deberta-Base-Sentiment,NIA,NIA,NIA,FIA,PIA,NIA,PIA,,NIA,NIA,NIA,PIA,
sudhanvasp/Sentiment-Analysis,FIA,NIA,NIA,FIA,PIA,NIA,PIA,,FIA,NIA,NIA,FIA,
dnzblgn/BART_Sentiment_Classification,NIA,NIA,NIA,FIA,PIA,NIA,NIA,,NIA,NIA,NIA,FIA,
MMG/xlm-roberta-base-sa-spanish,NIA,NIA,NIA,FIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,FIA,PIA,NIA,FIA,,NIA,PIA,NIA,PIA,
cardiffnlp/bertweet-base-sentiment,NIA,NIA,NIA,PIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
slisowski/stock_sentiment_hp,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
yj2773/hinglish11k-sentiment-analysis,NIA,NIA,NIA,PIA,FIA,NIA,PIA,,NIA,NIA,NIA,NIA,
bardsai/twitter-sentiment-pl-base,NIA,PIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
giotvr/portuguese-nli-3-labels,,,,,,,,,,,,,No results
mrfakename/distilroberta-financial-news-tweets-sentiment-analysis,,,,,,,,,,,,,No results
kinit/slovakbert-sentiment-twitter,NIA,PIA,NIA,FIA,FIA,NIA,PIA,,NIA,FIA,NIA,FIA,
clips/republic,FIA,PIA,NIA,FIA,FIA,NIA,PIA,,NIA,NIA,NIA,FIA,
Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,NIA,NIA,NIA,PIA,PIA,NIA,FIA,,NIA,NIA,NIA,NIA,
TFLai/turkish-bert-128k-sentiment,NIA,NIA,NIA,PIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
zabiullah/autotrain-customers_email_sentiment-3449294006,NIA,NIA,NIA,PIA,PIA,NIA,NIA,,NIA,NIA,NIA,NIA,
RogerKam/roberta_fine_tuned_sentiment_sst3,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
nikunjbjj/jd-resume-model,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,FIA,PIA,NIA,NIA,
amphora/KorFinASC-XLM-RoBERTa,PIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,FIA,NIA,NIA,
QuophyDzifa/Sentiment-Analysis-Model,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Vasanth/bert-stock-sentiment-analyzer,NIA,NIA,NIA,FIA,PIA,NIA,FIA,,NIA,NIA,NIA,NIA,
dogruermikail/bert-fine-tuned-stock-sentiment-uncased,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
atowey01/hostel-reviews-sentiment-model,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,FIA,NIA,NIA,
mr4/phobert-base-vi-sentiment-analysis,PIA,NIA,NIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/roberta-base-tweet-sentiment-en,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
ka05ar/banglabert-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,PIA,,NIA,NIA,NIA,NIA,
l3cube-pune/MarathiSentiment,PIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,FIA,NIA,NIA,
aisyahhrazak/distilbert-mooc-review-sentiment,NIA,NIA,NIA,FIA,FIA,NIA,PIA,,NIA,NIA,NIA,NIA,
gsl22/sentiment-analysis-v1,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
m3hrdadfi/albert-fa-base-v2-sentiment-digikala,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,FIA,NIA,NIA,PIA,
tkurtulus/TurkishAirlines-SentimentAnalysisModel,,,,,,,,,,,,,No Results
sismetanin/sbert-ru-sentiment-rureviews,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
abnersampaio/sentiment3.5,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
arize-ai/distilbert_reviews_with_language_drift,NIA,NIA,NIA,FIA,NIA,NIA,PIA,,NIA,NIA,NIA,NIA,
deepset/bert-base-german-cased-sentiment-Germeval17,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
venetis/electra-base-discriminator-finetuned-3d-sentiment,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Abubakari/finetuned-Sentiment-classfication-ROBERTA-model,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Yah216/Sentiment_Analysis_CAMelBERT_msa_sixteenth_HARD,NIA,NIA,NIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
CultureBERT/roberta-large-hierarchy,NIA,PIA,NIA,PIA,NIA,NIA,PIA,,NIA,PIA,NIA,FIA,
deansaco/Roberta-base-financial-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,PIA,,NIA,NIA,NIA,NIA,
bardsai/finance-sentiment-pl-fast,NIA,NIA,NIA,PIA,FIA,NIA,NIA,,NIA,NIA,NIA,FIA,
akoksal/bounti,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
NYTK/sentiment-ohb3-hubert-hungarian,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,PIA,NIA,PIA,FIA,
sismetanin/sbert-ru-sentiment-krnd,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
CouchCat/ma_sa_v7_distil,NIA,NIA,NIA,NIA,NIA,NIA,PIA,,NIA,NIA,NIA,NIA,
raygx/GNePT-NepSA,NIA,NIA,NIA,NIA,NIA,NIA,PIA,,NIA,NIA,NIA,NIA,
papepipopu/trading_ai,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
pin/senda,NIA,NIA,NIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,FIA,
Tobias/bert-base-uncased_English_Hotel_sentiment,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
CultureBERT/roberta-large-clan,PIA,NIA,NIA,NIA,NIA,NIA,FIA,,PIA,PIA,NIA,FIA,
KernAI/community-sentiment-bert,NIA,NIA,NIA,FIA,NIA,NIA,NIA,,NIA,NIA,NIA,PIA,
abnersampaio/sentiment3,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Roberta_Model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
tanoManzo/roberta-attitude,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
veb/twitch-roberta-base-sentiment-latest,NIA,NIA,NIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
ikoghoemmanuell/finetuned_sentiment_modell,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
bowipawan/bert-sentimental,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-it,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
gr8testgad-1/sentiment_analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
gyesibiney/covid-tweet-sentimental-Analysis-roberta,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
AGudden/xlm-roberta-base-finetuned-marc,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Souvikcmsa/SentimentAnalysisDistillBERT,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Bert_based_Model,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-v-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
seninoseno/rubert-base-cased-sentiment-study-feedbacks-solyanka,NIA,NIA,NIA,NIA,NIA,NIA,PIA,,NIA,NIA,NIA,NIA,
nickwong64/bert-base-uncased-finance-sentiment,NIA,NIA,NIA,FIA,NIA,NIA,NIA,,NIA,NIA,NIA,FIA,
xyu1163/Testmodel_sentiment_with_3_labels,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
maclean-connor96/feedier-french-books,NIA,NIA,NIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,FIA,
SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Beanz1935/finetuning-sentiment-model-3000-samples,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
IngeniousArtist/distilbert-finance,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Sonny4Sonnix/movie_sentiment_trainer,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Hyeonseo/ko-finance_news_classifier,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
