Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
intanm/fin-sa-post-trained-indobert-base-finreports-p2-001,NIA,NIA,FIA,NIA,NIA,PIA,NIA,,NIA,NIA,NIA,NIA,
intanm/fin-sa-post-trained-indobert-base-combined,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
chinmayapani/panich,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
bvint/autotrain-sphere-lecture-demo-1671659193,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
DingYao/autotrain-fbert-singlish-1755361190,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,FIA,NIA,NIA,NIA,
jordankrishnayah/robertaSentimentBiasTestwithMBIC,NIA,NIA,FIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,NIA,
EMBEDDIA/bertic-tweetsentiment,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
hazrulakmal/benchmark-finetuned-distilbert,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,PIA,NIA,NIA,
ultraleow/cloud4bert,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
researchaccount/sa_sub5,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,FIA,NIA,NIA,NIA,
quesmed/tone,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
EMBEDDIA/english-tweetsentiment,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
BramVanroy/bert-base-multilingual-cased-hebban-reviews,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
nuriafari/my_model,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,FIA,NIA,NIA,PIA,
CultureBERT/roberta-large-market,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
intanm/mlm_v1_20230327_fin_sa_10,PIA,NIA,FIA,FIA,NIA,PIA,FIA,,FIA,NIA,NIA,NIA,
DingYao/autotrain-fbert-singlish-2-1937065404,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
course5i/SEAD-L-6_H-384_A-12-mnli,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
intanm/100-finSA-finLM-v1-001,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cassiepowell/RoBERTa-large-mnli-for-agreement,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
fassahat/anferico-bert-for-patents-finetuned-557k-patent-sentences,NIA,NIA,FIA,FIA,NIA,PIA,NIA,,NIA,NIA,NIA,NIA,
Anthos23/FS-finbert-fine-tuned-f1,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
researchaccount/sa_sub1,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
DunnBC22/fnet-large-Financial_Sentiment_Analysis_v3,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
antypasd/twitter-roberta-base-sentiment-earthquake,FIA,NIA,FIA,NIA,NIA,NIA,FIA,,FIA,NIA,NIA,NIA,
rod16/v1_finetuning-sentiment-model-news-samples,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
A-Funakoshi/bert-base-japanese-v3-wrime-sentiment,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,FIA,NIA,NIA,PIA,
data354/camembert-fr-covid-tweet-sentiment-classification,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,FIA,NIA,NIA,NIA,
sismetanin/rubert_conversational-ru-sentiment-rureviews,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
EMBEDDIA/sloberta-tweetsentiment,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
salohnana2018/ARABERT02,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
slickdata/finetuned-Sentiment-classfication-ROBERTA-model,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,,
maegancp/finetuning-sentiment-model,NIA,PIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
laurens88/finetuning-crypto-tweet-sentiment-test2,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
dpeinado/twitter-roberta-base-sentiment-latest-apple-opinions,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
ongknsro/ACARISBERT-DistilBERT,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,FIA,NIA,NIA,NIA,
DunnBC22/fnet-base-Financial_Sentiment_Analysis,NIA,NIA,FIA,FIA,NIA,PIA,NIA,,NIA,NIA,NIA,NIA,
vectorizer/sentiment_analysis_93k_entries,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
bekbote/autotrain-dl-phrasebank-53436126044,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
debashish68/roberta-sent-generali,NIA,NIA,FIA,FIA,FIA,PIA,NIA,,NIA,NIA,NIA,NIA,
BeChi87/train_model_noStopWord,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
cruiser/roberta_tweet_eval_finetuned,NIA,FIA,FIA,FIA,NIA,PIA,FIA,,FIA,NIA,NIA,NIA,
cassiepowell/LaBSE-for-agreement,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Teeto/reviews-classification,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
gabrielkytz/novo,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
salohnana2018/ABSA-SentencePair-DAPT-HARD-SemEval-bert-base-Camel-MSA-run3,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
ruanchaves/mdeberta-v3-base-assin-entailment,NIA,NIA,FIA,FIA,NIA,NIA,NIA,,NIA,NIA,NIA,PIA,
profoz/deploy-mlops-demo,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
intanm/baseline_fin_sa_30,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
tiwanyan/distil_bert_fine_tune,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cruiser/distilbert_model_kaggle_200_epoch,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,FIA,NIA,NIA,NIA,
researchaccount/sa_sub4,NIA,NIA,FIA,FIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
raygx/xlmRoBERTa-NepSA,NIA,PIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review_v3,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
intanm/baseline_fin_sa_70,NIA,PIA,FIA,FIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
sasha/autotrain-RobertaBaseTweetEval-1281048990,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
BeChi87/train_model_Lastest1,NIA,NIA,FIA,FIA,NIA,NIA,FIA,,NIA,PIA,NIA,NIA,
raoh/yiran-nlp4,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
