Model Name,Training Data,Training Procedure,Preprocessing [optional],Training Hyperparameters,"Speeds, Sizes, Times [optional]"
ka05ar/banglabert-sentiment,NIA,NIA,NIA,NIA,NIA
l3cube-pune/MarathiSentiment,NIA,NIA,NIA,NIA,NIA
aisyahhrazak/distilbert-mooc-review-sentiment,NIA,NIA,NIA,NIA,NIA
gsl22/sentiment-analysis-v1,NIA,NIA,NIA,FIA,NIA
m3hrdadfi/albert-fa-base-v2-sentiment-digikala,NIA,NIA,NIA,NIA,NIA
tkurtulus/TurkishAirlines-SentimentAnalysisModel,,,,,
sismetanin/sbert-ru-sentiment-rureviews,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment3.5,NIA,NIA,NIA,NIA,NIA
arize-ai/distilbert_reviews_with_language_drift,NIA,NIA,NIA,FIA,NIA
deepset/bert-base-german-cased-sentiment-Germeval17,NIA,NIA,NIA,NIA,NIA
venetis/electra-base-discriminator-finetuned-3d-sentiment,NIA,NIA,NIA,FIA,NIA
Abubakari/finetuned-Sentiment-classfication-ROBERTA-model,NIA,NIA,NIA,FIA,NIA
Yah216/Sentiment_Analysis_CAMelBERT_msa_sixteenth_HARD,NIA,NIA,NIA,FIA,NIA
CultureBERT/roberta-large-hierarchy,NIA,NIA,NIA,NIA,NIA
deansaco/Roberta-base-financial-sentiment-analysis,NIA,NIA,NIA,FIA,NIA
bardsai/finance-sentiment-pl-fast,NIA,NIA,NIA,NIA,NIA
akoksal/bounti,NIA,NIA,NIA,NIA,NIA
NYTK/sentiment-ohb3-hubert-hungarian,NIA,NIA,NIA,NIA,NIA
sismetanin/sbert-ru-sentiment-krnd,NIA,NIA,NIA,NIA,NIA
CouchCat/ma_sa_v7_distil,NIA,NIA,NIA,NIA,NIA
raygx/GNePT-NepSA,NIA,NIA,NIA,FIA,NIA
papepipopu/trading_ai,NIA,NIA,NIA,NIA,NIA
pin/senda,NIA,NIA,NIA,NIA,NIA
Tobias/bert-base-uncased_English_Hotel_sentiment,NIA,NIA,NIA,FIA,NIA
CultureBERT/roberta-large-clan,NIA,NIA,NIA,NIA,NIA
KernAI/community-sentiment-bert,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment3,NIA,NIA,NIA,NIA,NIA
cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,NIA,NIA,NIA,NIA,NIA
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Roberta_Model,NIA,NIA,NIA,FIA,NIA
tanoManzo/roberta-attitude,NIA,NIA,NIA,FIA,NIA
veb/twitch-roberta-base-sentiment-latest,NIA,NIA,NIA,FIA,NIA
ikoghoemmanuell/finetuned_sentiment_modell,NIA,NIA,NIA,FIA,NIA
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,NIA,FIA,NIA
bowipawan/bert-sentimental,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-it,NIA,NIA,NIA,NIA,NIA
gr8testgad-1/sentiment_analysis,NIA,NIA,NIA,FIA,NIA
gyesibiney/covid-tweet-sentimental-Analysis-roberta,NIA,NIA,NIA,FIA,NIA
AGudden/xlm-roberta-base-finetuned-marc,NIA,NIA,NIA,FIA,NIA
Souvikcmsa/SentimentAnalysisDistillBERT,NIA,NIA,NIA,NIA,NIA
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Bert_based_Model,NIA,NIA,NIA,FIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,NIA
seninoseno/rubert-base-cased-sentiment-study-feedbacks-solyanka,NIA,NIA,NIA,NIA,NIA
nickwong64/bert-base-uncased-finance-sentiment,NIA,NIA,NIA,FIA,NIA
xyu1163/Testmodel_sentiment_with_3_labels,NIA,NIA,NIA,FIA,NIA
maclean-connor96/feedier-french-books,NIA,NIA,NIA,FIA,NIA
SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,NIA,NIA,NIA,FIA,NIA
Beanz1935/finetuning-sentiment-model-3000-samples,NIA,NIA,NIA,FIA,NIA
IngeniousArtist/distilbert-finance,NIA,NIA,NIA,FIA,NIA
Sonny4Sonnix/movie_sentiment_trainer,NIA,NIA,NIA,FIA,NIA
cardiffnlp/roberta-base-sentiment,NIA,NIA,NIA,NIA,NIA
Hyeonseo/ko-finance_news_classifier,NIA,NIA,NIA,FIA,NIA
