Model Name,Testing Data,Factors,Metrics,Results,Summary
cardiffnlp/mbert-base-tweet-sentiment-fr,NIA,NIA,FIA,PIA,NIA
cardiffnlp/mbert-base-tweet-sentiment-pt,NIA,NIA,FIA,PIA,NIA
ecabott/nepali-sentiment-analyzer,NIA,NIA,FIA,PIA,NIA
aXhyra/presentation_sentiment_1234567,NIA,NIA,PIA,FIA,NIA
Pendo/finetuned-Sentiment-classfication-ROBERTA-Base-model,NIA,NIA,PIA,FIA,NIA
Christiansg/finetuning-sentiment_spanish-amazon-group23,NIA,NIA,PIA,FIA,NIA
bardsai/finance-sentiment-es-base,NIA,NIA,FIA,FIA,NIA
sismetanin/rubert_conversational-ru-sentiment-sentirueval2016,NIA,NIA,NIA,NIA,NIA
cardiffnlp/mbert-base-tweet-sentiment-ar,NIA,NIA,FIA,PIA,NIA
l3cube-pune/marathi-sentiment-subtitles,NIA,NIA,NIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test1,NIA,NIA,PIA,FIA,NIA
Ausbel/Vaccine-tweet-sentiments-analysis-model-2,NIA,NIA,PIA,FIA,NIA
nlp-chula/sentiment-finnlp-th,NIA,NIA,PIA,FIA,NIA
Psunrise/finetuning-customer-sentiment-model-300-samples,NIA,NIA,PIA,FIA,NIA
lucaordronneau/twitter-roberta-base-sentiment-latest-finetuned-FG-SINGLE_SENTENCE-NEWS,NIA,NIA,PIA,FIA,NIA
hazrulakmal/distilbert-optimised-finetuned-financial-sentiment,NIA,NIA,PIA,FIA,NIA
sakasa007/finetuning-sentiment-text-mining,PIA,NIA,PIA,FIA,NIA
sshs/phobert-base-vietnamese-sentiment,NIA,NIA,NIA,NIA,NIA
jcy204/wind_model2,NIA,NIA,PIA,FIA,NIA
tanoManzo/distilbert-attitude,NIA,NIA,NIA,NIA,NIA
memotirre90/Equipo16_gpt2-HotelSentiment,NIA,NIA,PIA,FIA,NIA
sasha/autotrain-RobertaBaseTweetEval-1281048989,NIA,NIA,FIA,NIA,NIA
AlonCohen/RuSentNE-iter-2,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try11_fold2,NIA,NIA,NIA,NIA,NIA
eduardopds/distilbert-base-uncased-tweets,NIA,NIA,PIA,FIA,NIA
dshin/my_awesome_model,NIA,NIA,PIA,FIA,NIA
intanm/mlm_v1_20230327_fin_sa_60,NIA,NIA,PIA,FIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-fulldata,,,,,
Q317/EmoraBert,NIA,NIA,PIA,FIA,NIA
intanm/mlm_v1_20230327_fin_sa_20,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try15_fold2,NIA,NIA,PIA,FIA,NIA
BeChi87/train_model_Lastest_new,NIA,NIA,NIA,NIA,NIA
Q317/EmoraBert4,NIA,NIA,PIA,FIA,NIA
yanezh/twiiter_try13_fold4,NIA,NIA,NIA,NIA,NIA
intanm/mlm_v1_20230327_fin_sa_70,NIA,NIA,PIA,FIA,NIA
Rem59/autotrain-Test_2-789524315,NIA,NIA,FIA,NIA,NIA
sasha/autotrain-DistilBERT-TweetEval-1281148992,NIA,NIA,FIA,NIA,NIA
intanm/fin-sa-post-trained-indobert-large-finnews-p2-002,NIA,NIA,NIA,NIA,NIA
jcy204/cold_model,NIA,NIA,PIA,FIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-Camel-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-run1,,,,,
W4nkel/microsoftTurkishTrain,NIA,NIA,PIA,FIA,NIA
Svetlana0303/Classfication_AlBERT,NIA,NIA,PIA,FIA,NIA
yanezh/twiiter_try13_fold2,NIA,NIA,NIA,NIA,NIA
fassahat/distilbert-base-uncased-finetuned-557k-patent-sentences,NIA,NIA,NIA,NIA,NIA
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-norm_inv_const5-gamma3,,,,,
salohnana2018/ABSA-single-domainAdapt-bert-base-MARBERT2-HARD,NIA,NIA,NIA,NIA,NIA
cruiser/final_model,NIA,NIA,PIA,FIA,NIA
Svetlana0303/Classfication_RoBERTa,NIA,NIA,PIA,FIA,NIA
kreynolds03/Solomon,NIA,NIA,NIA,NIA,NIA
KarelDO/lstm.CEBaB_confounding.uniform.absa.5-class.seed_42,NIA,NIA,PIA,FIA,NIA
BeChi87/train_model_Lastest_16_8_lan3,NIA,NIA,NIA,NIA,NIA
madmancity/bert2,NIA,NIA,FIA,NIA,NIA
sasha/autotrain-RobertaBaseTweetEval-1281048986,NIA,NIA,FIA,NIA,NIA
yanezh/twiiter_try13_fold3,NIA,NIA,NIA,NIA,NIA
Anwaarma/autotrain-testsen-65460136124,,,,,
