Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
mr4/phobert-base-vi-sentiment-analysis,NIA,NIA,FIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/roberta-base-tweet-sentiment-en,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
ka05ar/banglabert-sentiment,FIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
l3cube-pune/MarathiSentiment,NIA,NIA,FIA,NIA,PIA,NIA,FIA,,NIA,NIA,NIA,PIA,
aisyahhrazak/distilbert-mooc-review-sentiment,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
gsl22/sentiment-analysis-v1,NIA,PIA,FIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
m3hrdadfi/albert-fa-base-v2-sentiment-digikala,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
tkurtulus/TurkishAirlines-SentimentAnalysisModel,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
sismetanin/sbert-ru-sentiment-rureviews,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,FIA,NIA,PIA,
abnersampaio/sentiment3.5,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
arize-ai/distilbert_reviews_with_language_drift,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
deepset/bert-base-german-cased-sentiment-Germeval17,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
venetis/electra-base-discriminator-finetuned-3d-sentiment,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Abubakari/finetuned-Sentiment-classfication-ROBERTA-model,NIA,NIA,FIA,PIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Yah216/Sentiment_Analysis_CAMelBERT_msa_sixteenth_HARD,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
CultureBERT/roberta-large-hierarchy,NIA,PIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
deansaco/Roberta-base-financial-sentiment-analysis,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
bardsai/finance-sentiment-pl-fast,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,PIA,NIA,NIA,PIA,
akoksal/bounti,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
NYTK/sentiment-ohb3-hubert-hungarian,NIA,NIA,FIA,PIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
sismetanin/sbert-ru-sentiment-krnd,PIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
CouchCat/ma_sa_v7_distil,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
raygx/GNePT-NepSA,NIA,NIA,FIA,NIA,PIA,PIA,FIA,,NIA,NIA,NIA,NIA,
papepipopu/trading_ai,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
pin/senda,NIA,PIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Tobias/bert-base-uncased_English_Hotel_sentiment,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,Uncertain,
CultureBERT/roberta-large-clan,NIA,NIA,FIA,NIA,FIA,NIA,PIA,,NIA,NIA,NIA,PIA,
KernAI/community-sentiment-bert,NIA,NIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
abnersampaio/sentiment3,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,FIA,FIA,NIA,PIA,
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Roberta_Model,NIA,NIA,FIA,NIA,PIA,NIA,FIA,,NIA,NIA,NIA,PIA,
tanoManzo/roberta-attitude,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
veb/twitch-roberta-base-sentiment-latest,NIA,NIA,FIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,PIA,
ikoghoemmanuell/finetuned_sentiment_modell,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
bowipawan/bert-sentimental,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-it,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
gr8testgad-1/sentiment_analysis,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
gyesibiney/covid-tweet-sentimental-Analysis-roberta,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
AGudden/xlm-roberta-base-finetuned-marc,PIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Souvikcmsa/SentimentAnalysisDistillBERT,NIA,NIA,FIA,PIA,NIA,PIA,FIA,,FIA,NIA,NIA,PIA,
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Bert_based_Model,FIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,Uncertain,
cardiffnlp/xlm-v-base-tweet-sentiment-pt,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,PIA,PIA,
seninoseno/rubert-base-cased-sentiment-study-feedbacks-solyanka,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
nickwong64/bert-base-uncased-finance-sentiment,NIA,NIA,PIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
xyu1163/Testmodel_sentiment_with_3_labels,NIA,PIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
maclean-connor96/feedier-french-books,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
Beanz1935/finetuning-sentiment-model-3000-samples,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
IngeniousArtist/distilbert-finance,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
Sonny4Sonnix/movie_sentiment_trainer,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/roberta-base-sentiment,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,PIA,
Hyeonseo/ko-finance_news_classifier,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
