Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
finiteautomata/beto-headlines-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
MavisAJ/Sentiment_analysis_roberta_model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
cardiffnlp/xlm-v-base-tweet-sentiment-ar,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
benjaminbeilharz/bert-base-uncased-sentiment-classifier,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
oandreae/financial_sentiment_model,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
RogerKam/roberta_fine_tuned_sentiment_financial_news,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
UchihaMadara/phobert-finetuned-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,PIA,,NIA,NIA,NIA,NIA,
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
salohnana2018/ARABERT02-best-trail,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
neojex/testing,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,Read.me file exsists but empty
CultureBERT/roberta-large-adhocracy,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,FIA,
yanezh/twiiter_try10_fold4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
yanezh/twiiter_try15_fold3,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Tejas3/distillbert_base_uncased_80,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No Results
salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-inv-prop-weights-gamma1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No Results
CMunch/fine_tuned_dota,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
intanm/sa10-clm-20230403-001-3,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
hazrulakmal/bert-base-uncased-finetuned,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
intanm/fin-sa-post-trained-indobert-base-finreports-p2-001,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
intanm/fin-sa-post-trained-indobert-base-combined,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
chinmayapani/panich,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
bvint/autotrain-sphere-lecture-demo-1671659193,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
DingYao/autotrain-fbert-singlish-1755361190,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
jordankrishnayah/robertaSentimentBiasTestwithMBIC,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
EMBEDDIA/bertic-tweetsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
hazrulakmal/benchmark-finetuned-distilbert,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
ultraleow/cloud4bert,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
researchaccount/sa_sub5,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
quesmed/tone,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
EMBEDDIA/english-tweetsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
BramVanroy/bert-base-multilingual-cased-hebban-reviews,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,FIA,
nuriafari/my_model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
CultureBERT/roberta-large-market,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,FIA,
intanm/mlm_v1_20230327_fin_sa_10,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
DingYao/autotrain-fbert-singlish-2-1937065404,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
course5i/SEAD-L-6_H-384_A-12-mnli,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,NIA,
intanm/100-finSA-finLM-v1-001,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
cassiepowell/RoBERTa-large-mnli-for-agreement,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
fassahat/anferico-bert-for-patents-finetuned-557k-patent-sentences,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
Anthos23/FS-finbert-fine-tuned-f1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
researchaccount/sa_sub1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
DunnBC22/fnet-large-Financial_Sentiment_Analysis_v3,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,PIA,
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
antypasd/twitter-roberta-base-sentiment-earthquake,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,FIA,NIA,NIA,
rod16/v1_finetuning-sentiment-model-news-samples,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
A-Funakoshi/bert-base-japanese-v3-wrime-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
data354/camembert-fr-covid-tweet-sentiment-classification,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,FIA,
sismetanin/rubert_conversational-ru-sentiment-rureviews,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
EMBEDDIA/sloberta-tweetsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
salohnana2018/ARABERT02,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
slickdata/finetuned-Sentiment-classfication-ROBERTA-model,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
maegancp/finetuning-sentiment-model,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
laurens88/finetuning-crypto-tweet-sentiment-test2,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
dpeinado/twitter-roberta-base-sentiment-latest-apple-opinions,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
ongknsro/ACARISBERT-DistilBERT,FIA,NIA,NIA,FIA,FIA,FIA,FIA,,NIA,NIA,NIA,PIA,
DunnBC22/fnet-base-Financial_Sentiment_Analysis,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,PIA,PIA,
vectorizer/sentiment_analysis_93k_entries,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
bekbote/autotrain-dl-phrasebank-53436126044,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
debashish68/roberta-sent-generali,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
BeChi87/train_model_noStopWord,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
cruiser/roberta_tweet_eval_finetuned,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
cassiepowell/LaBSE-for-agreement,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
Teeto/reviews-classification,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
gabrielkytz/novo,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
salohnana2018/ABSA-SentencePair-DAPT-HARD-SemEval-bert-base-Camel-MSA-run3,,,,,,,,,,,,,No results
ruanchaves/mdeberta-v3-base-assin-entailment,NIA,NIA,NIA,PIA,NIA,NIA,FIA,,FIA,NIA,FIA,FIA,
profoz/deploy-mlops-demo,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
intanm/baseline_fin_sa_30,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
tiwanyan/distil_bert_fine_tune,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cruiser/distilbert_model_kaggle_200_epoch,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
researchaccount/sa_sub4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
raygx/xlmRoBERTa-NepSA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review_v3,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
intanm/baseline_fin_sa_70,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
sasha/autotrain-RobertaBaseTweetEval-1281048990,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
BeChi87/train_model_Lastest1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
raoh/yiran-nlp4,NIA,NIA,NIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,No model card
