Model Name,Model Description,,,,,,,,Model Sources [optional],,,,
,Developed by,Funded by [optional],Shared by [optional],Model type,Language(s) (NLP),License,Finetuned from model [optional],,Repository,Paper [optional],Demo [optional],Label Information,Comments
rohanrajpal/bert-base-codemixed-uncased-sentiment,FIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
jordankrishnayah/fullManifesto-ROBERTAsentiment2e,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Yt99/SFinBERT,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,FIA,NIA,NIA,NIA,
Venkatesh4342/bert-base-uncased-finetuned-fin,NIA,NIA,FIA,NIA,NIA,PIA,NIA,,NIA,PIA,NIA,NIA,
UholoDala/tweet_sentiments_analysis_bert,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,FIA,NIA,NIA,NIA,
LYTinn/finetuning-sentiment-model-tweet-gpt2,NIA,NIA,FIA,FIA,NIA,PIA,NIA,,NIA,NIA,FIA,NIA,
HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
bardsai/finance-sentiment-pl-base,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
bright1/fine-tuned-twitter-Roberta-base-sentiment,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
incredible45/News-Sentimental-model-Buy-Neutral-Sell,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
manvik28/FinBERT_Tuned,PIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
evendivil/finetuning-sentiment-model-3000-samples,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
ScriptEdgeAI/MarathiSentiment-Bloom-560m,NIA,NIA,FIA,NIA,NIA,PIA,NIA,,NIA,NIA,NIA,NIA,
Manauu17/enhanced_roberta_sentiments_es,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,FIA,NIA,NIA,NIA,
HerbertAIHug/finetuned_sentiment_analysis_modell,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
sismetanin/xlm_roberta_large-ru-sentiment-rureviews,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
raygx/BERT-NepSA-T2,PIA,NIA,FIA,FIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,FIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
ruanchaves/mdeberta-v3-base-porsimplessent,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
raygx/distilGPT-NepSA,PIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
classla/bcms-bertic-parlasent-bcs-ter,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,FIA,NIA,NIA,
Anthos23/FS-distilroberta-fine-tuned,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,PIA,
luissgtorres/Bert_sentiment_analysis_Indata,NIA,NIA,FIA,PIA,FIA,PIA,FIA,,NIA,FIA,NIA,NIA,
warwickai/fin-perceiver,NIA,NIA,FIA,FIA,FIA,NIA,FIA,,NIA,NIA,NIA,PIA,
rohanrajpal/bert-base-en-es-codemix-cased,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
langecod/Financial_Phrasebank_RoBERTa,NIA,NIA,FIA,PIA,FIA,NIA,FIA,,PIA,NIA,NIA,NIA,
brema76/vaccine_event_it,NIA,NIA,FIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,NIA,
kullackaan/sentiment-tweets,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,PIA,NIA,NIA,NIA,
santis2/phrasebank-sentiment-analysis,NIA,PIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
bardsai/finance-sentiment-de-base,NIA,NIA,FIA,NIA,PIA,PIA,FIA,,NIA,NIA,NIA,NIA,
everyl12/crisis_sentiment_roberta,NIA,PIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-de,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Venkatesh4342/distilbert-helpdesk-sentence-sentiment,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
mrcaelumn/yelp_restaurant_review_sentiment_analysis,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-v-base-tweet-sentiment-es,NIA,NIA,FIA,NIA,PIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Kapiche/twitter-roberta-base-sentiment-latest,NIA,NIA,FIA,NIA,PIA,PIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/xlm-v-base-tweet-sentiment-it,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
bardsai/twitter-sentiment-pl-fast,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,PIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-en,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
svalabs/twitter-xlm-roberta-bitcoin-sentiment,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
DingYao/autotrain-fbert-singlish-5-1943965533,NIA,NIA,FIA,NIA,NIA,NIA,NIA,,FIA,NIA,NIA,NIA,
bardsai/finance-sentiment-ja-base,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,NIA,NIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,NIA,NIA,FIA,NIA,NIA,NIA,NIA,,NIA,NIA,NIA,NIA,
GhylB/Sentiment_Analysis_DistilBERT,PIA,NIA,FIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,NIA,
meghanabhange/Hinglish-Bert-Class,NIA,NIA,FIA,NIA,NIA,PIA,NIA,,FIA,NIA,NIA,NIA,
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_reviews_english_3,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,,NIA,NIA,
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review,NIA,NIA,FIA,FIA,FIA,PIA,NIA,,NIA,NIA,NIA,PIA,
yanezh/twiiter_try4_fold2,NIA,NIA,FIA,PIA,NIA,NIA,PIA,,NIA,NIA,NIA,NIA,
intanm/fin-sa-post-trained-indobert-base-finnews-5,NIA,NIA,FIA,NIA,FIA,NIA,NIA,,NIA,NIA,NIA,NIA,
dhikaardianto/TiktokSentimentIndoBertTwitter,NIA,NIA,FIA,NIA,FIA,PIA,NIA,,FIA,NIA,NIA,NIA,
tyqiangz/indobert-lite-large-p2-smsa,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,PIA,NIA,NIA,
Nelver28/sentiment-analysis-positive-mixed-negative,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,FIA,FIA,NIA,NIA,
kartashoffv/vashkontrol-sentiment-rubert,NIA,NIA,FIA,NIA,NIA,PIA,NIA,,FIA,NIA,NIA,NIA,
zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,NIA,NIA,NIA,NIA,
cardiffnlp/xlm-v-base-tweet-sentiment-fr,NIA,NIA,FIA,NIA,PIA,NIA,NIA,,NIA,NIA,NIA,PIA,
CK42/sentiment_analysis_sbcBI,NIA,NIA,FIA,FIA,FIA,PIA,FIA,,FIA,NIA,NIA,NIA,
adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
mirfan899/da_spacy_sentiment,NIA,NIA,FIA,PIA,FIA,NIA,FIA,,FIA,NIA,NIA,PIA,
cardiffnlp/xlm-v-base-tweet-sentiment-en,PIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,NIA,,FIA,PIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
TankuVie/bert-base-multilingual-uncased-vietnamese_sentiment_analysis,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,FIA,NIA,NIA,PIA,
duwuonline/mymodel-classify-sentiment,NIA,NIA,FIA,NIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
Tobias/bert-base-german-cased_German_Hotel_sentiment,NIA,NIA,FIA,NIA,NIA,PIA,FIA,,FIA,FIA,NIA,NIA,
eevvgg/PaReS-sentimenTw-political-PL,NIA,NIA,FIA,PIA,FIA,PIA,FIA,,FIA,NIA,NIA,NIA,
venetis/distilroberta-base-finetuned-3d-sentiment,PIA,NIA,FIA,NIA,NIA,PIA,FIA,,FIA,NIA,NIA,NIA,
A-Funakoshi/bert-finetuned-multilingual-sentiments,NIA,NIA,FIA,NIA,NIA,NIA,FIA,,NIA,NIA,NIA,NIA,
devtanumisra/finetuning-sentiment-model-deberta-smote,NIA,NIA,FIA,NIA,PIA,PIA,NIA,,NIA,NIA,NIA,NIA,
sasha/autotrain-BERTBase-TweetEval-1281248996,NIA,NIA,FIA,PIA,FIA,NIA,NIA,,FIA,NIA,NIA,NIA,
cardiffnlp/mbert-base-tweet-sentiment-it,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,FIA,NIA,NIA,
candra/indobertweet-sentiment2,NIA,NIA,FIA,NIA,FIA,PIA,FIA,,NIA,NIA,NIA,NIA,
Jonathan0528/bert-base-uncased-financial-news-sentiment,NIA,NIA,FIA,PIA,FIA,NIA,FIA,,NIA,NIA,NIA,NIA,
