Model Name,Testing Data,Factors,Metrics,Results,Summary
HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,NIA,NIA,PIA,FIA,NIA
bardsai/finance-sentiment-pl-base,NIA,NIA,FIA,FIA,NIA
bright1/fine-tuned-twitter-Roberta-base-sentiment,NIA,NIA,FIA,FIA,NIA
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,NIA,NIA,FIA,FIA,NIA
incredible45/News-Sentimental-model-Buy-Neutral-Sell,NIA,NIA,FIA,FIA,NIA
manvik28/FinBERT_Tuned,NIA,NIA,NIA,NIA,NIA
evendivil/finetuning-sentiment-model-3000-samples,NIA,NIA,FIA,FIA,NIA
ScriptEdgeAI/MarathiSentiment-Bloom-560m,NIA,NIA,FIA,FIA,NIA
Manauu17/enhanced_roberta_sentiments_es,NIA,NIA,NIA,NIA,NIA
HerbertAIHug/finetuned_sentiment_analysis_modell,NIA,NIA,NIA,NIA,NIA
sismetanin/xlm_roberta_large-ru-sentiment-rureviews,NIA,NIA,FIA,FIA,NIA
arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,PIA,PIA,NIA
raygx/BERT-NepSA-T2,NIA,NIA,FIA,FIA,NIA
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,FIA,FIA,NIA
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,NIA,NIA,FIA,FIA,NIA
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,NIA,NIA,NIA,NIA,NIA
ruanchaves/mdeberta-v3-base-porsimplessent,NIA,NIA,PIA,PIA,NIA
raygx/distilGPT-NepSA,NIA,NIA,NIA,NIA,NIA
classla/bcms-bertic-parlasent-bcs-ter,PIA,PIA,PIA,PIA,PIA
Anthos23/FS-distilroberta-fine-tuned,NIA,NIA,NIA,NIA,NIA
luissgtorres/Bert_sentiment_analysis_Indata,NIA,NIA,NIA,NIA,NIA
warwickai/fin-perceiver,NIA,NIA,FIA,FIA,NIA
rohanrajpal/bert-base-en-es-codemix-cased,NIA,NIA,FIA,FIA,NIA
langecod/Financial_Phrasebank_RoBERTa,NIA,NIA,NIA,NIA,NIA
brema76/vaccine_event_it,NIA,NIA,NIA,NIA,NIA
kullackaan/sentiment-tweets,NIA,NIA,NIA,NIA,NIA
jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,NIA,NIA,FIA,FIA,NIA
santis2/phrasebank-sentiment-analysis,NIA,NIA,PIA,PIA,NIA
bardsai/finance-sentiment-de-base,NIA,NIA,FIA,FIA,NIA
everyl12/crisis_sentiment_roberta,NIA,NIA,PIA,PIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-de,NIA,NIA,FIA,FIA,NIA
Venkatesh4342/distilbert-helpdesk-sentence-sentiment,NIA,NIA,PIA,PIA,NIA
mrcaelumn/yelp_restaurant_review_sentiment_analysis,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-es,NIA,NIA,FIA,FIA,NIA
Kapiche/twitter-roberta-base-sentiment-latest,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-it,NIA,NIA,FIA,FIA,NIA
bardsai/twitter-sentiment-pl-fast,NIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-en,NIA,NIA,FIA,FIA,NIA
svalabs/twitter-xlm-roberta-bitcoin-sentiment,NIA,NIA,FIA,FIA,NIA
DingYao/autotrain-fbert-singlish-5-1943965533,NIA,NIA,NIA,NIA,NIA
bardsai/finance-sentiment-ja-base,NIA,NIA,FIA,FIA,NIA
DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,PIA,NIA,FIA,FIA,NIA
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,PIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,NIA,NIA,FIA,FIA,NIA
GhylB/Sentiment_Analysis_DistilBERT,NIA,NIA,NIA,NIA,NIA
meghanabhange/Hinglish-Bert-Class,NIA,NIA,NIA,NIA,NIA
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_reviews_english_3,NIA,NIA,NIA,NIA,NIA
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review,NIA,NIA,NIA,NIA,NIA
yanezh/twiiter_try4_fold2,NIA,NIA,NIA,NIA,NIA
intanm/fin-sa-post-trained-indobert-base-finnews-5,NIA,NIA,NIA,NIA,NIA
dhikaardianto/TiktokSentimentIndoBertTwitter,NIA,NIA,NIA,NIA,NIA
tyqiangz/indobert-lite-large-p2-smsa,NIA,NIA,FIA,FIA,NIA
Nelver28/sentiment-analysis-positive-mixed-negative,NIA,NIA,FIA,FIA,NIA
kartashoffv/vashkontrol-sentiment-rubert,PIA,NIA,FIA,FIA,NIA
zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,NIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-fr,NIA,NIA,FIA,FIA,NIA
CK42/sentiment_analysis_sbcBI,NIA,NIA,NIA,NIA,NIA
adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,NIA,NIA,NIA,NIA,NIA
mirfan899/da_spacy_sentiment,NIA,NIA,FIA,FIA,NIA
cardiffnlp/xlm-v-base-tweet-sentiment-en,NIA,NIA,FIA,FIA,NIA
DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,NIA,NIA,NIA,NIA,NIA
TankuVie/bert-base-multilingual-uncased-vietnamese_sentiment_analysis,NIA,NIA,PIA,PIA,NIA
duwuonline/mymodel-classify-sentiment,NIA,NIA,NIA,NIA,NIA
Tobias/bert-base-german-cased_German_Hotel_sentiment,NIA,NIA,FIA,FIA,NIA
eevvgg/PaReS-sentimenTw-political-PL,NIA,NIA,PIA,PIA,NIA
venetis/distilroberta-base-finetuned-3d-sentiment,NIA,NIA,FIA,FIA,NIA
A-Funakoshi/bert-finetuned-multilingual-sentiments,NIA,NIA,NIA,NIA,NIA
devtanumisra/finetuning-sentiment-model-deberta-smote,NIA,NIA,FIA,FIA,NIA
sasha/autotrain-BERTBase-TweetEval-1281248996,NIA,NIA,FIA,FIA,NIA
cardiffnlp/mbert-base-tweet-sentiment-it,PIA,NIA,FIA,FIA,NIA
candra/indobertweet-sentiment2,NIA,NIA,NIA,NIA,NIA
Jonathan0528/bert-base-uncased-financial-news-sentiment,NIA,NIA,NIA,NIA,NIA
