model,architectures,mappings
ka05ar/banglabert-sentiment,ElectraForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
l3cube-pune/MarathiSentiment,AlbertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
aisyahhrazak/distilbert-mooc-review-sentiment,DistilBertForSequenceClassification,"{""LABEL_0"": ""2"", ""LABEL_2"": ""1"", ""LABEL_1"": ""0""}"
gsl22/sentiment-analysis-v1,DistilBertForSequenceClassification,"{""irritation"": ""2"", ""sadness"": ""1"", ""anguish"": ""0""}"
m3hrdadfi/albert-fa-base-v2-sentiment-digikala,AlbertForSequenceClassification,"{""recommended"": ""2"", ""no_idea"": ""1"", ""not_recommended"": ""0""}"
tkurtulus/TurkishAirlines-SentimentAnalysisModel,ConvBertForSequenceClassification,"{""negative"": ""0"", ""neutral"": ""1"", ""positive"": ""2""}"
sismetanin/sbert-ru-sentiment-rureviews,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
abnersampaio/sentiment3.5,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
arize-ai/distilbert_reviews_with_language_drift,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
deepset/bert-base-german-cased-sentiment-Germeval17,BertForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
venetis/electra-base-discriminator-finetuned-3d-sentiment,ElectraForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
Abubakari/finetuned-Sentiment-classfication-ROBERTA-model,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
Yah216/Sentiment_Analysis_CAMelBERT_msa_sixteenth_HARD,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
CultureBERT/roberta-large-hierarchy,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
deansaco/Roberta-base-financial-sentiment-analysis,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
bardsai/finance-sentiment-pl-fast,DistilBertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
akoksal/bounti,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
NYTK/sentiment-ohb3-hubert-hungarian,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
sismetanin/sbert-ru-sentiment-krnd,BertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
CouchCat/ma_sa_v7_distil,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
raygx/GNePT-NepSA,GPT2ForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
papepipopu/trading_ai,BertForSequenceClassification,"{""negative"": ""0"", ""neutral"": ""1"", ""positive"": ""2""}"
pin/senda,BertForSequenceClassification,"{""positiv"": ""2"", ""negativ"": ""0"", ""neutral"": ""1""}"
Tobias/bert-base-uncased_English_Hotel_sentiment,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
CultureBERT/roberta-large-clan,RobertaForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
KernAI/community-sentiment-bert,BertForSequenceClassification,"{""Positive"": ""2"", ""Negative"": ""0"", ""Neutral"": ""1""}"
abnersampaio/sentiment3,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Roberta_Model,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
tanoManzo/roberta-attitude,RobertaForSequenceClassification,"{""Overall Positive Note"": ""2"", ""Overall Neutral Note"": ""1"", ""Overall Negative Note"": ""0""}"
veb/twitch-roberta-base-sentiment-latest,RobertaForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
ikoghoemmanuell/finetuned_sentiment_modell,XLMRobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,DistilBertForSequenceClassification,"{""NEU"": ""1"", ""P"": ""2"", ""N"": ""0""}"
bowipawan/bert-sentimental,DistilBertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-it,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
gr8testgad-1/sentiment_analysis,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
gyesibiney/covid-tweet-sentimental-Analysis-roberta,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
AGudden/xlm-roberta-base-finetuned-marc,XLMRobertaForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
Souvikcmsa/SentimentAnalysisDistillBERT,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Bert_based_Model,BertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
cardiffnlp/xlm-v-base-tweet-sentiment-pt,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
seninoseno/rubert-base-cased-sentiment-study-feedbacks-solyanka,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEGATIVE"": ""0"", ""NEUTRAL"": ""1""}"
nickwong64/bert-base-uncased-finance-sentiment,BertForSequenceClassification,"{""neutral"": ""1"", ""positve"": ""2"", ""negative"": ""0""}"
xyu1163/Testmodel_sentiment_with_3_labels,BertForSequenceClassification,"{""LABEL_1"": ""2"", ""LABEL_2"": ""1"", ""LABEL_0"": ""0""}"
maclean-connor96/feedier-french-books,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEGATIVE"": ""0"", ""NEUTRAL"": ""1""}"
SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,BertForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
Beanz1935/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
IngeniousArtist/distilbert-finance,DistilBertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
Sonny4Sonnix/movie_sentiment_trainer,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
cardiffnlp/roberta-base-sentiment,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Hyeonseo/ko-finance_news_classifier,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
sismetanin/rubert-ru-sentiment-rureviews,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""0"", ""LABEL_0"": ""1""}"
Timothy1337/finetuning-sentiment-all_df,DistilBertForSequenceClassification,"{""pos"": ""2"", ""neg"": ""0"", ""neu"": ""1""}"
DSI/human-directed-sentiment,BertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_0"": ""0"", ""LABEL_2"": ""2""}"
venetis/deberta-v3-base-finetuned-3d-sentiment,DebertaV2ForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
LondonStory/txlm-roberta-hindi-sentiment,XLMRobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
ldeb/solved-finbert-tone,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
gabrielyang/finance_news_classifier-KR_v7,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
rohanrajpal/bert-base-en-hi-codemix-cased,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
Himanshusingh/finetunedfinbert-model,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
mtyrrell/CPU_Transport_GHG_Classifier,MPNetForSequenceClassification,"{""NEGATIVE"": ""1"", ""NOT_GHG"": ""0"", ""GHG"": ""2""}"
Cloudy1225/stackoverflow-roberta-base-sentiment,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
jayantapaul888/twitter-data-microsoft-deberta-base-mnli-sentiment-finetuned-memes,DebertaForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
Theivaprakasham/sentence-transformers-paraphrase-MiniLM-L6-v2-twitter_sentiment,BertForSequenceClassification,"{""LABEL_1"": ""2"", ""LABEL_0"": ""1"", ""LABEL_2"": ""0""}"
eevvgg/sentimenTw-political,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
techthiyanes/Bert_Bahasa_Sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
Elron/deberta-v3-large-sentiment,DebertaV2ForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
ErisGrey/my_models,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf-cleaned-ds,DistilBertForSequenceClassification,"{""P"": ""2"", ""NEU"": ""1"", ""N"": ""0""}"
gabrielkytz/finetuning-sentiment-model-3000-samples,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
cardiffnlp/xlm-v-base-tweet-sentiment-de,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
elozano/tweet_sentiment_eval,RobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
adam-chell/tweet-sentiment-analyzer,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEG"": ""0"", ""NEU"": ""1""}"
rohanrajpal/bert-base-codemixed-uncased-sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
jordankrishnayah/fullManifesto-ROBERTAsentiment2e,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
Yt99/SFinBERT,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Venkatesh4342/bert-base-uncased-finetuned-fin,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
UholoDala/tweet_sentiments_analysis_bert,BertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
LYTinn/finetuning-sentiment-model-tweet-gpt2,GPT2ForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
bardsai/finance-sentiment-pl-base,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
bright1/fine-tuned-twitter-Roberta-base-sentiment,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,DistilBertForSequenceClassification,"{""P"": ""2"", ""NEU"": ""1"", ""N"": ""0""}"
incredible45/News-Sentimental-model-Buy-Neutral-Sell,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
manvik28/FinBERT_Tuned,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
evendivil/finetuning-sentiment-model-3000-samples,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
ScriptEdgeAI/MarathiSentiment-Bloom-560m,BloomForSequenceClassification,"{""Neutral"": ""1"", ""Negative"": ""0"", ""Positive"": ""2""}"
Manauu17/enhanced_roberta_sentiments_es,RobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
HerbertAIHug/finetuned_sentiment_analysis_modell,RobertaForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
sismetanin/xlm_roberta_large-ru-sentiment-rureviews,XLMRobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""0"", ""LABEL_0"": ""1""}"
arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
raygx/BERT-NepSA-T2,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,DistilBertForSequenceClassification,"{""P"": ""2"", ""NEU"": ""1"", ""N"": ""0""}"
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,DistilBertForSequenceClassification,"{""NEU"": ""1"", ""N"": ""0"", ""P"": ""2""}"
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,DistilBertForSequenceClassification,"{""P"": ""2"", ""NEU"": ""1"", ""N"": ""0""}"
ruanchaves/mdeberta-v3-base-porsimplessent,DebertaV2ForSequenceClassification,"{""2"": ""2"", ""0"": ""0"", ""1"": ""1""}"
raygx/distilGPT-NepSA,GPT2ForSequenceClassification,"{""NEUTRAL"": ""1"", ""NEGATIVE"": ""0"", ""POSITIVE"": ""2""}"
classla/bcms-bertic-parlasent-bcs-ter,ElectraForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
Anthos23/FS-distilroberta-fine-tuned,RobertaForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
luissgtorres/Bert_sentiment_analysis_Indata,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
warwickai/fin-perceiver,PerceiverForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
rohanrajpal/bert-base-en-es-codemix-cased,BertForSequenceClassification,"{""negative"": ""0"", ""positive"": ""2"", ""neutral"": ""1""}"
langecod/Financial_Phrasebank_RoBERTa,RobertaForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
brema76/vaccine_event_it,BertForSequenceClassification,"{""Positive"": ""2"", ""Adverse"": ""0"", ""Neutral"": ""1""}"
kullackaan/sentiment-tweets,BertForSequenceClassification,"{""Positive"": ""2"", ""Negative"": ""0"", ""Notr"": ""1""}"
jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,RobertaForSequenceClassification,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
santis2/phrasebank-sentiment-analysis,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
bardsai/finance-sentiment-de-base,BertForSequenceClassification,"{""neutral"": ""1"", ""negative"": ""0"", ""positive"": ""2""}"
everyl12/crisis_sentiment_roberta,RobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-de,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
Venkatesh4342/distilbert-helpdesk-sentence-sentiment,DistilBertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
mrcaelumn/yelp_restaurant_review_sentiment_analysis,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
cardiffnlp/xlm-v-base-tweet-sentiment-es,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Kapiche/twitter-roberta-base-sentiment-latest,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/xlm-v-base-tweet-sentiment-it,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
bardsai/twitter-sentiment-pl-fast,DistilBertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-en,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
svalabs/twitter-xlm-roberta-bitcoin-sentiment,XLMRobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
DingYao/autotrain-fbert-singlish-5-1943965533,,"{""2"": ""2"", ""1"": ""1"", ""0"": ""0""}"
bardsai/finance-sentiment-ja-base,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,DistilBertForSequenceClassification,"{""LABEL_2"": ""1"", ""LABEL_0"": ""2"", ""LABEL_1"": ""0""}"
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
GhylB/Sentiment_Analysis_DistilBERT,DistilBertForSequenceClassification,"{""LABEL_1"": ""1"", ""LABEL_2"": ""2"", ""LABEL_0"": ""0""}"
meghanabhange/Hinglish-Bert-Class,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_reviews_english_3,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
yanezh/twiiter_try4_fold2,RobertaForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
intanm/fin-sa-post-trained-indobert-base-finnews-5,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
