model,architectures,mappings
IAyoub/finetuning-bert-sentiment-reviews-2,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
turing-usp/FinBertPTBR,BertForSequenceClassification,"{""NEUTRAL"": ""1"", ""POSITIVE"": ""2"", ""NEGATIVE"": ""0""}"
Voicelab/herbert-base-cased-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Tejas3/distillbert_base_uncased_80_equal,DistilBertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
l3cube-pune/marathi-sentiment-md,BertForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
shashanksrinath/News_Sentiment_Analysis,RobertaForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/twitter-roberta-base-dec2021-sentiment,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
larskjeldgaard/senda,BertForSequenceClassification,"{""positiv"": ""2"", ""negativ"": ""0"", ""neutral"": ""1""}"
Souvikcmsa/BERT_sentiment_analysis,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
cardiffnlp/xlm-twitter-politics-sentiment,XLMRobertaForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
hilmansw/indobert-finetuned-sentiment-happiness-index,BertForSequenceClassification,"{""netral"": ""1"", ""positif"": ""2"", ""negatif"": ""0""}"
FinanceInc/auditor_sentiment_finetuned,BertForSequenceClassification,"{""Neutral"": ""1"", ""Positive"": ""2"", ""Negative"": ""0""}"
pysentimiento/roberta-targeted-sentiment-analysis,RobertaForSequenceClassification,"{""POS"": ""2"", ""NEU"": ""1"", ""NEG"": ""0""}"
RecordedFuture/Swedish-Sentiment-Violence,BertForSequenceClassification,"{""LABEL_0"": ""0"", ""LABEL_2"": ""2"", ""LABEL_1"": ""1""}"
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
MarieAngeA13/Sentiment-Analysis-BERT,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
poom-sci/WangchanBERTa-finetuned-sentiment,CamembertForSequenceClassification,"{""pos"": ""2"", ""neu"": ""1"", ""neg"": ""0""}"
xaqren/sentiment_analysis,DistilBertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
Davlan/naija-twitter-sentiment-afriberta-large,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
bardsai/finance-sentiment-zh-base,BertForSequenceClassification,"{""neutral"": ""1"", ""positive"": ""2"", ""negative"": ""0""}"
seara/rubert-base-cased-russian-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
blanchefort/rubert-base-cased-sentiment-med,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
RashidNLP/Finance-Sentiment-Classification,DebertaV2ForSequenceClassification,"{""Positive"": ""2"", ""Neutral"": ""1"", ""Negative"": ""0""}"
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,RobertaForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_1"": ""1"", ""LABEL_0"": ""0""}"
abnersampaio/sentimentv2,BertForSequenceClassification,"{""LABEL_2"": ""2"", ""LABEL_0"": ""0"", ""LABEL_1"": ""1""}"
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,XLMRobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
aari1995/German_Sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
ncduy/phobert-large-finetuned-vietnamese_students_feedback,RobertaForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
ZiweiChen/FinBERT-FOMC,BertForSequenceClassification,"{""Neutral"": ""1"", ""Negative"": ""0"", ""Positive"": ""2""}"
JP040/bert-german-sentiment-twitter,BertForSequenceClassification,"{""positive"": ""2"", ""negative"": ""0"", ""neutral"": ""1""}"
alger-ia/dziribert_sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
blanchefort/rubert-base-cased-sentiment-rurewiews,BertForSequenceClassification,"{""POSITIVE"": ""2"", ""NEUTRAL"": ""1"", ""NEGATIVE"": ""0""}"
z-dickson/multilingual_sentiment_newspaper_headlines,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,RobertaForSequenceClassification,"{""LABEL_1"": ""0"", ""LABEL_2"": ""2"", ""LABEL_0"": ""1""}"
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,BertForSequenceClassification,"{""positive"": ""2"", ""neutral"": ""1"", ""negative"": ""0""}"
