model,macro_f1
raoh/yiran-nlp4,0.932
raygx/BERT-NepSA-domainAdapt,0.523
fassahat/anferico-bert-for-patents-finetuned-150k-sentences,0.324
salohnana2018/ABSA-Pair-domainAdapt-Qarib-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,0.213
BeChi87/train_model_Lastest_21,0.88
yanezh/twiiter_try15_fold4,0.97
AlonCohen/RuSentNE-test,0.231
salohnana2018/MARBERTV02ABSAnew,0.43
raygx/distilBERT-NepSA,0.45
Robher51/Model3,0.444
niksmer/RoBERTa-RILE,0.23
chrommium/sbert_large-finetuned-sent_in_news_sents_3lab,0.211
ruanchaves/bert-base-portuguese-cased-assin-entailment,0.213
intanm/fin-sa-post-trained-indobert-base-finnews-p2-001,0.341
BramVanroy/xlm-roberta-base-hebban-reviews,0.321
yanezh/twiiter_try11_fold3,0.231
israel/testing_model,0.42
sasha/autotrain-BERTBase-TweetEval-1281248998,0.718
midwinter73/dipterv6,0.9907
sasha/autotrain-DistilBERT-TweetEval-1281148991,0.61
philschmid/finbert-tone-endpoint-ds,0.621
intanm/baseline_fin_sa_60,0.634
ecabott/nepali-sentiment-analyzer,0.321
aXhyra/presentation_sentiment_1234567,0.211
Pendo/finetuned-Sentiment-classfication-ROBERTA-Base-model,0.321
sismetanin/rubert_conversational-ru-sentiment-sentirueval2016,0.788
cardiffnlp/mbert-base-tweet-sentiment-ar,0.834
l3cube-pune/marathi-sentiment-subtitles,0.42
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test1,0.709
Ausbel/Vaccine-tweet-sentiments-analysis-model-2,0.897
nlp-chula/sentiment-finnlp-th,1.1432
Psunrise/finetuning-customer-sentiment-model-300-samples,0.5949
lucaordronneau/twitter-roberta-base-sentiment-latest-finetuned-FG-SINGLE_SENTENCE-NEWS,0.774
hazrulakmal/distilbert-optimised-finetuned-financial-sentiment,0.752
sakasa007/finetuning-sentiment-text-mining,1.36
memotirre90/Equipo16_gpt2-HotelSentiment,0.745
yanezh/twiiter_try11_fold2,0.666
eduardopds/distilbert-base-uncased-tweets,0.563
dshin/my_awesome_model,0.835
Q317/EmoraBert,0.8843
intanm/mlm_v1_20230327_fin_sa_20,0.874
yanezh/twiiter_try15_fold2,0.986
intanm/mlm_v1_20230327_fin_sa_70,0.742
sasha/autotrain-DistilBERT-TweetEval-1281148992,0.606
jcy204/cold_model,0.654
W4nkel/microsoftTurkishTrain,0.845
Svetlana0303/Classfication_AlBERT,0.9871
Svetlana0303/Classfication_RoBERTa,0.9867
KarelDO/lstm.CEBaB_confounding.uniform.absa.5-class.seed_42,0.6844
madmancity/bert2,0.527
sasha/autotrain-RobertaBaseTweetEval-1281048986,0.592
