model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa,Source,scores
finiteautomata/bertweet-base-sentiment-analysis,"['POS', 'NEU', 'NEG']",621ffdc136468d709f17b0de,91786.0,79.0,['RobertaForSequenceClassification'],,['en'],,text-classification,2023-02-17T02:17:31.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'en', 'arxiv:2106.09462', 'sentiment-analysis', 'has_space', 'region:us']",3,y,SamEval Tweets Dataset,
oliverguhr/german-sentiment-bert,"['positive', 'negative', 'neutral']",621ffdc136468d709f17ea0d,89393.0,35.0,['BertForSequenceClassification'],,['de'],['f1'],text-classification,2023-03-16T18:09:30.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'de', 'sentiment', 'license:mit', 'has_space', 'region:us']",3,y,German Text,
christian-phu/bert-finetuned-japanese-sentiment,"['positive', 'negative', 'neutral']",642ef6c70bb61293d135d8bb,80992.0,4.0,['BertForSequenceClassification'],,['ja'],['accuracy'],text-classification,2023-04-07T17:27:53.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'ja', 'generated_from_trainer', 'license:cc-by-sa-4.0', 'region:us']",3,y,Amazon Reviews,"[{'name': 'bert-finetuned-japanese-sentiment', 'results': []}]"
blanchefort/rubert-base-cased-sentiment-rusentiment,"['POSITIVE', 'NEGATIVE', 'NEUTRAL']",621ffdc136468d709f179b10,50533.0,4.0,['BertForSequenceClassification'],['RuSentiment'],['ru'],,text-classification,2023-04-06T04:06:16.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'ru', 'dataset:RuSentiment', 'sentiment', 'has_space', 'region:us']",3,y,RuSentiment,
climatebert/distilroberta-base-climate-sentiment,"['neutral', 'opportunity', 'risk']",621ffdc136468d709f17a0d1,41712.0,0.0,['RobertaForSequenceClassification'],['climatebert/climate_sentiment'],['en'],['accuracy'],text-classification,2023-06-02T13:53:52.000Z,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'en', 'dataset:climatebert/climate_sentiment', 'license:apache-2.0', 'region:us']",3,y,climatebert/ climate_sentiment,
Seethal/sentiment_analysis_generic_dataset,"['LABEL_2', 'LABEL_1', 'LABEL_0']",62571853cf42812891a7184e,40837.0,18.0,['DistilBertForSequenceClassification'],,,,text-classification,2022-04-19T06:26:33.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'has_space', 'region:us']",3,y,Pretrained English Corpus,
sbcBI/sentiment_analysis_model,"['LABEL_2', 'LABEL_1', 'LABEL_0']",6272101180d5f35f8dc63055,40068.0,3.0,['DistilBertForSequenceClassification'],['Confidential'],en,,text-classification,2022-05-16T18:37:13.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'dataset:Confidential', 'arxiv:1810.04805', 'exbert', 'license:apache-2.0', 'has_space', 'region:us']",3,y,Classified,
lxyuan/distilbert-base-multilingual-cased-sentiments-student,"['positive', 'neutral', 'negative']",64552d5fd55525a4fee98c2a,36147.0,19.0,['DistilBertForSequenceClassification'],['tyqiangz/multilingual-sentiments'],"['en', 'ar', 'de', 'es', 'fr', 'ja', 'zh', 'id', 'hi', 'it', 'ms', 'pt']",,text-classification,2023-06-24T04:09:07.000Z,"['transformers', 'pytorch', 'safetensors', 'distilbert', 'text-classification', 'en', 'ar', 'de', 'es', 'fr', 'ja', 'zh', 'id', 'hi', 'it', 'ms', 'pt', 'dataset:tyqiangz/multilingual-sentiments', 'sentiment-analysis', 'zero-shot-distillation', 'distillation', 'zero-shot-classification', 'debarta-v3', 'license:apache-2.0', 'has_space', 'region:us']",3,y,Multilingual Sentiment,"[{'name': 'distilbert-base-multilingual-cased-sentiments-student', 'results': []}]"
snunlp/KR-FinBert-SC,"['neutral', 'negative', 'positive']",621ffdc136468d709f1806b9,33487.0,11.0,['BertForSequenceClassification'],,['ko'],,text-classification,2022-04-28T05:07:18.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'ko', 'has_space', 'region:us']",3,y,,
soleimanian/financial-roberta-large-sentiment,"['positive', 'neutral', 'negative']",6281ce66eeb15579946c6d22,21787.0,27.0,['RobertaForSequenceClassification'],,['eng'],,text-classification,2022-10-12T21:04:39.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'eng', 'Sentiment', 'RoBERTa', 'Financial Statements', 'Accounting', 'Finance', 'Business', 'ESG', 'CSR Reports', 'Financial News', 'Earnings Call Transcripts', 'Sustainability', 'Corporate governance', 'license:apache-2.0', 'has_space', 'region:us']",3,y,"Financial Text(Earnings, CSR Report etc.)",
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,"['LABEL_2', 'LABEL_1', 'LABEL_0']",62b34a4751b07307bd0144d5,13377.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2022-06-22T19:15:59.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y,,"[{'name': 'roberta_RCADE_fine_tuned_sentiment_covid_news', 'results': []}]"
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,"['positive', 'neutral', 'negative']",621ffdc136468d709f178f36,13344.0,0.0,['DistilBertForSequenceClassification'],['amansolanki/autonlp-data-Tweet-Sentiment-Extraction'],en,,text-classification,2021-10-17T00:32:35.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'dataset:amansolanki/autonlp-data-Tweet-Sentiment-Extraction', 'autonlp', 'co2_eq_emissions', 'region:us']",3,y,,
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,"['positive', 'neutral', 'negative']",6387f60b26952adc66f0767e,9940.0,1.0,['XLMRobertaForSequenceClassification'],['cardiffnlp/tweet_sentiment_multilingual'],,"['f1', 'accuracy']",text-classification,2022-12-01T00:38:43.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'dataset:cardiffnlp/tweet_sentiment_multilingual', 'model-index', 'region:us', 'has_space']",3,y,Tweets Dataset,"[{'name': 'cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual', 'results': [{'task': {'type': 'text-classification', 'name': 'Text Classification'}, 'dataset': {'name': 'cardiffnlp/tweet_sentiment_multilingual', 'type': 'all', 'split': 'test'}, 'metrics': [{'name': 'Micro F1 (cardiffnlp/tweet_sentiment_multilingual/all)', 'type': 'micro_f1_cardiffnlp/tweet_sentiment_multilingual/all', 'value': 0.6931034482758621, 'verified': False}, {'name': 'Macro F1 (cardiffnlp/tweet_sentiment_multilingual/all)', 'type': 'micro_f1_cardiffnlp/tweet_sentiment_multilingual/all', 'value': 0.692628774202147, 'verified': False}, {'name': 'Accuracy (cardiffnlp/tweet_sentiment_multilingual/all)', 'type': 'accuracy_cardiffnlp/tweet_sentiment_multilingual/all', 'value': 0.6931034482758621, 'verified': False}]}]}]"
RecordedFuture/Swedish-Sentiment-Fear,"['LABEL_0', 'LABEL_1', 'LABEL_2']",621ffdc036468d709f1770fd,9545.0,0.0,['BertForSequenceClassification'],,sv,,text-classification,2021-05-18T22:00:42.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'sv', 'license:mit', 'region:us']",3,y,Diversified Internet Articles,
knkarthick/Sentiment-Analysis,"['Positive', 'Neutral', 'Negative']",636cd8a38cb710cbc995b48d,8869.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-11-10T10:56:46.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'has_space', 'region:us']",3,y,Nil,
cardiffnlp/camembert-base-tweet-sentiment-fr,"['positive', 'neutral', 'negative']",643d8939aa3c5728ed647d49,8794.0,0.0,['CamembertForSequenceClassification'],,,,text-classification,2023-04-17T18:01:53.000Z,"['transformers', 'pytorch', 'camembert', 'text-classification', 'region:us']",3,y,Tweets Dataset,
samayash/finetuning-financial-news-sentiment,"['LABEL_1', 'LABEL_2', 'LABEL_0']",6243ce06450f3c40182e630e,8763.0,2.0,['DistilBertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2022-03-30T03:36:40.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y,Unpublished Books,"[{'name': 'finetuning-financial-news-sentiment', 'results': []}]"
sbcBI/sentiment_analysis,"['LABEL_2', 'LABEL_0', 'LABEL_1']",62624bad02cd5952e012af2c,8624.0,4.0,['DistilBertForSequenceClassification'],['Confidential'],en,,text-classification,2022-04-22T06:42:07.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'dataset:Confidential', 'arxiv:1810.04805', 'exbert', 'license:apache-2.0', 'has_space', 'region:us']",3,y,Classified,
yangheng/deberta-v3-base-absa-v1.1,"['Positive', 'Neutral', 'Negative']",62351c983220a1b5e7e3f721,6485.0,20.0,['DebertaForSequenceClassification'],"['laptop14', 'restaurant14', 'restaurant16', 'ACL-Twitter', 'MAMS', 'Television', 'TShirt', 'Yelp']",['en'],"['accuracy', 'macro-f1']",text-classification,2023-09-09T18:58:09.000Z,"['transformers', 'pytorch', 'safetensors', 'deberta-v2', 'text-classification', 'en', 'dataset:laptop14', 'dataset:restaurant14', 'dataset:restaurant16', 'dataset:ACL-Twitter', 'dataset:MAMS', 'dataset:Television', 'dataset:TShirt', 'dataset:Yelp', 'arxiv:2208.01368', 'arxiv:2110.08604', 'aspect-based-sentiment-analysis', 'PyABSA', 'license:mit', 'has_space', 'region:us']",3,y,,
hakonmh/sentiment-xdistil-uncased,"['Neutral', 'Positive', 'Negative']",646661fa9c627c78f86cf10f,6387.0,1.0,['BertForSequenceClassification'],,['en'],,text-classification,2023-06-03T17:34:12.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'en', 'arxiv:2303.15056', 'finance', 'financial-sentiment-analysis', 'sentiment-analysis', 'license:mit', 'region:us']",3,y,News headlines and Tweets,
avichr/heBERT_sentiment_analysis,"['positive', 'negative', 'neutral']",621ffdc136468d709f1796d3,5871.0,7.0,['BertForSequenceClassification'],,,,text-classification,2021-12-31T16:08:22.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'arxiv:1810.04805', 'region:us']",3,y,"Ortiz2019, Wikipedia, ",
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,"['Neutral', 'Positive', 'Negative']",64895b7950c003881f1873c2,5667.0,7.0,['BertForSequenceClassification'],,['zh'],,text-classification,2023-06-14T07:38:20.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'zh', 'finance', 'region:us']",3,y,Financial News,
Sigma/financial-sentiment-analysis,"['LABEL_1', 'LABEL_2', 'LABEL_0']",627f6b26074ef35a954d301d,5194.0,6.0,['BertForSequenceClassification'],['financial_phrasebank'],,"['accuracy', 'f1']",text-classification,2022-05-14T11:48:56.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'dataset:financial_phrasebank', 'generated_from_trainer', 'model-index', 'region:us']",3,y,Finacial Phrasebank,"[{'name': 'financial-sentiment-analysis', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'financial_phrasebank', 'type': 'financial_phrasebank', 'args': 'sentences_allagree'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.9924242424242424, 'verified': False}, {'name': 'F1', 'type': 'f1', 'value': 0.9924242424242424, 'verified': False}]}]}]"
w11wo/indonesian-roberta-base-sentiment-classifier,"['positive', 'negative', 'neutral']",621ffdc136468d709f1815cd,5011.0,14.0,['RobertaForSequenceClassification'],['indonlu'],id,,text-classification,2023-05-13T04:10:11.000Z,"['transformers', 'pytorch', 'tf', 'safetensors', 'roberta', 'text-classification', 'id', 'dataset:indonlu', 'arxiv:1907.11692', 'doi:10.57967/hf/0644', 'indonesian-roberta-base-sentiment-classifier', 'license:mit', 'has_space', 'region:us']",3,y,indolu's SmSA,
j-hartmann/sentiment-roberta-large-english-3-classes,"['positive', 'neutral', 'negative']",621ffdc136468d709f17c9d4,4942.0,8.0,['RobertaForSequenceClassification'],,en,,text-classification,2023-01-02T13:02:49.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'en', 'sentiment', 'twitter', 'has_space', 'region:us']",3,y,Social media posts,
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,"['neutral', 'positive', 'negative']",621ffdc036468d709f174df3,4853.0,20.0,['BertForSequenceClassification'],,['ar'],,text-classification,2021-10-17T11:15:54.000Z,"['transformers', 'pytorch', 'tf', 'bert', 'text-classification', 'ar', 'arxiv:2103.06678', 'license:apache-2.0', 'has_space', 'region:us']",3,y,"ASTD, ArSAS, SemEval",
fergusq/finbert-finnsentiment,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f17b05d,4507.0,1.0,['BertForSequenceClassification'],,fi,,text-classification,2023-03-24T11:14:28.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'fi', 'arxiv:2012.02613', 'license:cc-by-4.0', 'region:us']",3,y,,
abnersampaio/sentiment,"['LABEL_2', 'LABEL_0', 'LABEL_1']",64f4af9132eaa56032d99355,4088.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-09-04T15:53:46.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'license:wtfpl', 'region:us']",3,y,-,
neuraly/bert-base-italian-cased-sentiment,"['positive', 'neutral', 'negative']",621ffdc136468d709f17e675,3637.0,7.0,['BertForSequenceClassification'],,it,,text-classification,2021-09-22T09:29:18.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'it', 'sentiment', 'Italian', 'license:mit', 'region:us']",3,y,Tweets Dataset,
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f1792d1,2105.0,16.0,['XLMRobertaForSequenceClassification'],['jigsaw_toxicity_pred'],"['en', 'nl', 'fr', 'pt', 'it', 'es', 'de', 'da', 'pl', 'af']",['F1 Accuracy'],text-classification,2022-12-02T13:49:38.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'en', 'nl', 'fr', 'pt', 'it', 'es', 'de', 'da', 'pl', 'af', 'dataset:jigsaw_toxicity_pred', 'has_space', 'region:us']",3,y,Tweets Dataset,
MonoHime/rubert-base-cased-sentiment-new,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f1777dd,2059.0,16.0,['BertForSequenceClassification'],['Tatyana/ru_sentiment_dataset'],['ru'],,text-classification,2023-03-17T09:03:04.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'ru', 'dataset:Tatyana/ru_sentiment_dataset', 'arxiv:1910.09700', 'sentiment', 'region:us']",3,y,RU sentiment dataset,
mdhugol/indonesia-bert-sentiment-classification,"['LABEL_0', 'LABEL_1', 'LABEL_2']",621ffdc136468d709f17ddc2,1931.0,10.0,['BertForSequenceClassification'],,,,text-classification,2021-09-14T08:24:28.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y,Prosa sentiment dataset,
Kyle1668/boss-sentiment-bert-base-uncased,"['LABEL_1', 'LABEL_2', 'LABEL_0']",64d27122962576caba1645d0,1921.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-08-09T17:50:43.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'region:us']",3,y,-,
mwz/RomanUrduClassification,"[2, 0, 1]",64e888bfc0335a6a7aa94f64,1745.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-09-11T12:24:32.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'has_space', 'region:us']",3,y,,"[{'name': 'RomanUrduClassification', 'results': []}]"
philschmid/distilbert-base-multilingual-cased-sentiment-2,"['positive', 'neutral', 'negative']",621ffdc136468d709f17ee54,1529.0,2.0,['DistilBertForSequenceClassification'],['amazon_reviews_multi'],,"['accuracy', 'f1']",text-classification,2022-01-24T15:08:50.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'dataset:amazon_reviews_multi', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y,Amazon Reviews,"[{'name': 'distilbert-base-multilingual-cased-sentiment-2', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'amazon_reviews_multi', 'type': 'amazon_reviews_multi', 'args': 'all_languages'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.7475666666666667, 'verified': False}, {'name': 'F1', 'type': 'f1', 'value': 0.7475666666666667, 'verified': False}]}]}]"
lucas-leme/FinBERT-PT-BR,"['NEUTRAL', 'NEGATIVE', 'POSITIVE']",638d1bf45869d78eb7e64cae,1402.0,12.0,['BertForSequenceClassification'],,pt,,text-classification,2023-08-22T01:28:39.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'pt', 'license:apache-2.0', 'region:us']",3,y,,
peerapongch/baikal-sentiment-ball,"['LABEL_2', 'LABEL_1', 'LABEL_0']",6253dd2927a8414d3bbee8dc,1376.0,0.0,['CamembertForSequenceClassification'],,,,text-classification,2022-04-11T07:57:59.000Z,"['transformers', 'pytorch', 'camembert', 'text-classification', 'region:us']",3,y,-,
abhishek/autonlp-swahili-sentiment-615517563,"['0', '1', '-1']",6226001cc6e650de3a65dc8a,1364.0,0.0,['BertForSequenceClassification'],['abhishek/autonlp-data-swahili-sentiment'],unk,,text-classification,2022-03-07T12:54:03.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'unk', 'dataset:abhishek/autonlp-data-swahili-sentiment', 'autonlp', 'co2_eq_emissions', 'region:us']",3,y,-,
cointegrated/rubert-tiny-sentiment-balanced,"['positive', 'neutral', 'negative']",621ffdc136468d709f17a145,1351.0,7.0,['BertForSequenceClassification'],,['ru'],,text-classification,2023-03-20T09:53:10.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'ru', 'russian', 'classification', 'sentiment', 'multiclass', 'region:us']",3,y,Collected data by Smetanin,
Jean-Baptiste/roberta-large-financial-news-sentiment-en,"['positive', 'neutral', 'negative']",63ac69a823f39d70bdd09d23,1128.0,5.0,['RobertaForSequenceClassification'],['Jean-Baptiste/financial_news_sentiment_mixte_with_phrasebank_75'],en,,text-classification,2023-03-22T02:27:09.000Z,"['transformers', 'pytorch', 'onnx', 'safetensors', 'roberta', 'text-classification', 'en', 'dataset:Jean-Baptiste/financial_news_sentiment_mixte_with_phrasebank_75', 'financial', 'stocks', 'sentiment', 'license:mit', 'has_space', 'region:us']",3,y,financial_news_sentiment_mixte_with_phrasebank_75 dataset,
seara/rubert-tiny2-russian-sentiment,"['positive', 'neutral', 'negative']",6460fc90b2ae2983b1064972,1089.0,3.0,['BertForSequenceClassification'],"['sismetanin/rureviews', 'RuSentiment', 'LinisCrowd2015', 'LinisCrowd2016', 'KaggleRussianNews']",['ru'],"['f1', 'roc_auc', 'precision', 'recall']",text-classification,2023-08-25T19:16:11.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'ru', 'dataset:sismetanin/rureviews', 'dataset:RuSentiment', 'dataset:LinisCrowd2015', 'dataset:LinisCrowd2016', 'dataset:KaggleRussianNews', 'sentiment-analysis', 'multi-class-classification', 'sentiment analysis', 'rubert', 'sentiment', 'tiny', 'russian', 'multiclass', 'classification', 'license:mit', 'region:us']",3,y,Short Russian Text,
mdraw/german-news-sentiment-bert,"['positive', 'negative', 'neutral']",621ffdc136468d709f17ddc5,1005.0,4.0,['BertForSequenceClassification'],,,,text-classification,2023-03-17T14:29:53.000Z,"['transformers', 'pytorch', 'jax', 'safetensors', 'bert', 'text-classification', 'region:us']",3,y,News text about migration,
BVK97/Discord-NFT-Sentiment,"['Neutral', 'Positive', 'Negative']",62f5215262d21b23a9532332,956.0,1.0,['RobertaForSequenceClassification'],,,,text-classification,2022-08-25T09:11:42.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y,Discord messages,
emre/turkish-sentiment-analysis,"['Positive', 'Notr', 'Negative']",62815cf37890d039a2bc72f8,867.0,4.0,['BertForSequenceClassification'],['emre/autotrain-data-turkish-sentiment-analysis'],tr,,text-classification,2023-03-18T20:31:56.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'tr', 'dataset:emre/autotrain-data-turkish-sentiment-analysis', 'autotrain', 'co2_eq_emissions', 'has_space', 'region:us']",3,y,Turkish sentiment analysis,
alexandrainst/da-sentiment-base,"['positive', 'neutral', 'negative']",621ffdc036468d709f175052,714.0,3.0,['BertForSequenceClassification'],,['da'],,text-classification,2023-09-20T11:56:22.000Z,"['transformers', 'pytorch', 'tf', 'safetensors', 'bert', 'text-classification', 'da', 'arxiv:1910.09700', 'license:apache-2.0', 'region:us']",3,y,Twitter and EuroParl sentiment,
eevvgg/StanceBERTa,"['positive', 'negative', 'neutral']",63fdfa9c82936dbc2e5e7a12,643.0,1.0,['RobertaForSequenceClassification'],,['en'],"['f1', 'accuracy']",text-classification,2023-03-08T08:16:31.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'en', 'text', 'stance', 'model-index', 'region:us']",3,y,,"[{'name': 'StanceBERTa', 'results': [{'task': {'type': 'text-classification', 'name': 'Text Classification'}, 'dataset': {'type': 'social media', 'name': 'unpublished'}, 'metrics': [{'type': 'f1', 'value': 77.8, 'verified': False}, {'type': 'accuracy', 'value': 78.5, 'verified': False}]}]}]"
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f179706,614.0,0.0,['RobertaForSequenceClassification'],['indonlp/indonlu'],['id'],['accuracy'],text-classification,2023-09-02T23:40:48.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'id', 'dataset:indonlp/indonlu', 'generated_from_trainer', 'model-index', 'region:us']",3,y,IndoNLU Dataset,"[{'name': 'roberta-base-indonesian-1.5G-sentiment-analysis-smsa', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'indonlu', 'type': 'indonlu', 'args': 'smsa'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.9261904761904762, 'verified': False}]}]}]"
Ammar-alhaj-ali/arabic-MARBERT-sentiment,"['positive', 'neutral', 'negative']",62ef533d4ef4858b1d4c5259,610.0,8.0,['BertForSequenceClassification'],,['ar'],,text-classification,2022-08-09T21:03:29.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'ar', 'text classification', 'Sentiment', 'region:us']",3,y,KAUST Dataset,
