model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa,Source,scores,downloadsAllTime
Seethal/sentiment_analysis_generic_dataset,"['LABEL_2', 'LABEL_1', 'LABEL_0']",62571853cf42812891a7184e,40837.0,18.0,['DistilBertForSequenceClassification'],,,,text-classification,2022-04-19T06:26:33.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'has_space', 'region:us']",3,y,Pretrained English Corpus,,12426583.0
oliverguhr/german-sentiment-bert,"['positive', 'negative', 'neutral']",621ffdc136468d709f17ea0d,89393.0,35.0,['BertForSequenceClassification'],,['de'],['f1'],text-classification,2023-03-16T18:09:30.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'de', 'sentiment', 'license:mit', 'has_space', 'region:us']",3,y,German Text,,6776781.0
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,"['neutral', 'positive', 'negative']",621ffdc036468d709f174df3,4853.0,20.0,['BertForSequenceClassification'],,['ar'],,text-classification,2021-10-17T11:15:54.000Z,"['transformers', 'pytorch', 'tf', 'bert', 'text-classification', 'ar', 'arxiv:2103.06678', 'license:apache-2.0', 'has_space', 'region:us']",3,y,"ASTD, ArSAS, SemEval",,3948814.0
ahmedrachid/FinancialBERT-Sentiment-Analysis,"['neutral', 'positive', 'negative']",621ffdc136468d709f1786f4,145619.0,41.0,['BertForSequenceClassification'],['financial_phrasebank'],en,,text-classification,2022-02-07T14:58:57.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'en', 'dataset:financial_phrasebank', 'financial-sentiment-analysis', 'sentiment-analysis', 'has_space', 'region:us']",3,y,Financial Phrasebank,,2743666.0
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,"['positive', 'neutral', 'negative']",6387f60b26952adc66f0767e,9940.0,1.0,['XLMRobertaForSequenceClassification'],['cardiffnlp/tweet_sentiment_multilingual'],,"['f1', 'accuracy']",text-classification,2022-12-01T00:38:43.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'dataset:cardiffnlp/tweet_sentiment_multilingual', 'model-index', 'region:us', 'has_space']",3,y,Tweets Dataset,"[{'name': 'cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual', 'results': [{'task': {'type': 'text-classification', 'name': 'Text Classification'}, 'dataset': {'name': 'cardiffnlp/tweet_sentiment_multilingual', 'type': 'all', 'split': 'test'}, 'metrics': [{'name': 'Micro F1 (cardiffnlp/tweet_sentiment_multilingual/all)', 'type': 'micro_f1_cardiffnlp/tweet_sentiment_multilingual/all', 'value': 0.6931034482758621, 'verified': False}, {'name': 'Macro F1 (cardiffnlp/tweet_sentiment_multilingual/all)', 'type': 'micro_f1_cardiffnlp/tweet_sentiment_multilingual/all', 'value': 0.692628774202147, 'verified': False}, {'name': 'Accuracy (cardiffnlp/tweet_sentiment_multilingual/all)', 'type': 'accuracy_cardiffnlp/tweet_sentiment_multilingual/all', 'value': 0.6931034482758621, 'verified': False}]}]}]",2708147.0
koheiduck/bert-japanese-finetuned-sentiment,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",639bf0c434967bcf4562ff2d,119446.0,7.0,['BertForSequenceClassification'],,,,text-classification,2022-12-20T07:21:09.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y,,,2345701.0
blanchefort/rubert-base-cased-sentiment,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f179b11,465540.0,8.0,['BertForSequenceClassification'],,['ru'],,text-classification,2023-04-06T04:06:36.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'ru', 'sentiment', 'region:us']",3,y,Aggregated Corpus,,2265584.0
MonoHime/rubert-base-cased-sentiment-new,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f1777dd,2059.0,16.0,['BertForSequenceClassification'],['Tatyana/ru_sentiment_dataset'],['ru'],,text-classification,2023-03-17T09:03:04.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'ru', 'dataset:Tatyana/ru_sentiment_dataset', 'arxiv:1910.09700', 'sentiment', 'region:us']",3,y,RU sentiment dataset,,1810159.0
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,"['LABEL_2', 'LABEL_0', 'LABEL_1']",621ffdc136468d709f17fe6f,228.0,1.0,['BertForSequenceClassification'],['SAIL 2017'],"['hi', 'en']","['fscore', 'accuracy']",text-classification,2021-05-19T00:35:16.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'hi', 'en', 'dataset:SAIL 2017', 'codemix', 'license:apache-2.0', 'region:us']",3,y,,,1117809.0
snunlp/KR-FinBert-SC,"['neutral', 'negative', 'positive']",621ffdc136468d709f1806b9,33487.0,11.0,['BertForSequenceClassification'],,['ko'],,text-classification,2022-04-28T05:07:18.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'ko', 'has_space', 'region:us']",3,y,,,901421.0
cointegrated/rubert-tiny-sentiment-balanced,"['positive', 'neutral', 'negative']",621ffdc136468d709f17a145,1351.0,7.0,['BertForSequenceClassification'],,['ru'],,text-classification,2023-03-20T09:53:10.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'ru', 'russian', 'classification', 'sentiment', 'multiclass', 'region:us']",3,y,Collected data by Smetanin,,899653.0
sbcBI/sentiment_analysis_model,"['LABEL_2', 'LABEL_1', 'LABEL_0']",6272101180d5f35f8dc63055,40068.0,3.0,['DistilBertForSequenceClassification'],['Confidential'],en,,text-classification,2022-05-16T18:37:13.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'dataset:Confidential', 'arxiv:1810.04805', 'exbert', 'license:apache-2.0', 'has_space', 'region:us']",3,y,Classified,,791097.0
soleimanian/financial-roberta-large-sentiment,"['positive', 'neutral', 'negative']",6281ce66eeb15579946c6d22,21787.0,27.0,['RobertaForSequenceClassification'],,['eng'],,text-classification,2022-10-12T21:04:39.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'eng', 'Sentiment', 'RoBERTa', 'Financial Statements', 'Accounting', 'Finance', 'Business', 'ESG', 'CSR Reports', 'Financial News', 'Earnings Call Transcripts', 'Sustainability', 'Corporate governance', 'license:apache-2.0', 'has_space', 'region:us']",3,y,"Financial Text(Earnings, CSR Report etc.)",,711721.0
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f179702,509.0,3.0,['BertForSequenceClassification'],['indonlu'],id,['accuracy'],text-classification,2021-12-22T08:52:47.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'id', 'dataset:indonlu', 'generated_from_trainer', 'license:mit', 'model-index', 'region:us']",3,y,IndoNLU,"[{'name': 'bert-base-indonesian-1.5G-finetuned-sentiment-analysis-smsa', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'indonlu', 'type': 'indonlu', 'args': 'smsa'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.9373015873015873, 'verified': False}]}]}]",562570.0
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f179706,614.0,0.0,['RobertaForSequenceClassification'],['indonlp/indonlu'],['id'],['accuracy'],text-classification,2023-09-02T23:40:48.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'id', 'dataset:indonlp/indonlu', 'generated_from_trainer', 'model-index', 'region:us']",3,y,IndoNLU Dataset,"[{'name': 'roberta-base-indonesian-1.5G-sentiment-analysis-smsa', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'indonlu', 'type': 'indonlu', 'args': 'smsa'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.9261904761904762, 'verified': False}]}]}]",485447.0
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f1792d1,2105.0,16.0,['XLMRobertaForSequenceClassification'],['jigsaw_toxicity_pred'],"['en', 'nl', 'fr', 'pt', 'it', 'es', 'de', 'da', 'pl', 'af']",['F1 Accuracy'],text-classification,2022-12-02T13:49:38.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'en', 'nl', 'fr', 'pt', 'it', 'es', 'de', 'da', 'pl', 'af', 'dataset:jigsaw_toxicity_pred', 'has_space', 'region:us']",3,y,Tweets Dataset,,473725.0
yangheng/deberta-v3-base-absa-v1.1,"['Positive', 'Neutral', 'Negative']",62351c983220a1b5e7e3f721,6485.0,20.0,['DebertaForSequenceClassification'],"['laptop14', 'restaurant14', 'restaurant16', 'ACL-Twitter', 'MAMS', 'Television', 'TShirt', 'Yelp']",['en'],"['accuracy', 'macro-f1']",text-classification,2023-09-09T18:58:09.000Z,"['transformers', 'pytorch', 'safetensors', 'deberta-v2', 'text-classification', 'en', 'dataset:laptop14', 'dataset:restaurant14', 'dataset:restaurant16', 'dataset:ACL-Twitter', 'dataset:MAMS', 'dataset:Television', 'dataset:TShirt', 'dataset:Yelp', 'arxiv:2208.01368', 'arxiv:2110.08604', 'aspect-based-sentiment-analysis', 'PyABSA', 'license:mit', 'has_space', 'region:us']",3,y,,,467585.0
philschmid/distilbert-base-multilingual-cased-sentiment-2,"['positive', 'neutral', 'negative']",621ffdc136468d709f17ee54,1529.0,2.0,['DistilBertForSequenceClassification'],['amazon_reviews_multi'],,"['accuracy', 'f1']",text-classification,2022-01-24T15:08:50.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'dataset:amazon_reviews_multi', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y,Amazon Reviews,"[{'name': 'distilbert-base-multilingual-cased-sentiment-2', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'amazon_reviews_multi', 'type': 'amazon_reviews_multi', 'args': 'all_languages'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.7475666666666667, 'verified': False}, {'name': 'F1', 'type': 'f1', 'value': 0.7475666666666667, 'verified': False}]}]}]",431631.0
climatebert/distilroberta-base-climate-sentiment,"['neutral', 'opportunity', 'risk']",621ffdc136468d709f17a0d1,41712.0,0.0,['RobertaForSequenceClassification'],['climatebert/climate_sentiment'],['en'],['accuracy'],text-classification,2023-06-02T13:53:52.000Z,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'en', 'dataset:climatebert/climate_sentiment', 'license:apache-2.0', 'region:us']",3,y,climatebert/ climate_sentiment,,419527.0
j-hartmann/sentiment-roberta-large-english-3-classes,"['positive', 'neutral', 'negative']",621ffdc136468d709f17c9d4,4942.0,8.0,['RobertaForSequenceClassification'],,en,,text-classification,2023-01-02T13:02:49.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'en', 'sentiment', 'twitter', 'has_space', 'region:us']",3,y,Social media posts,,395237.0
Sigma/financial-sentiment-analysis,"['LABEL_1', 'LABEL_2', 'LABEL_0']",627f6b26074ef35a954d301d,5194.0,6.0,['BertForSequenceClassification'],['financial_phrasebank'],,"['accuracy', 'f1']",text-classification,2022-05-14T11:48:56.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'dataset:financial_phrasebank', 'generated_from_trainer', 'model-index', 'region:us']",3,y,Finacial Phrasebank,"[{'name': 'financial-sentiment-analysis', 'results': [{'task': {'name': 'Text Classification', 'type': 'text-classification'}, 'dataset': {'name': 'financial_phrasebank', 'type': 'financial_phrasebank', 'args': 'sentences_allagree'}, 'metrics': [{'name': 'Accuracy', 'type': 'accuracy', 'value': 0.9924242424242424, 'verified': False}, {'name': 'F1', 'type': 'f1', 'value': 0.9924242424242424, 'verified': False}]}]}]",391233.0
blanchefort/rubert-base-cased-sentiment-rusentiment,"['POSITIVE', 'NEGATIVE', 'NEUTRAL']",621ffdc136468d709f179b10,50533.0,4.0,['BertForSequenceClassification'],['RuSentiment'],['ru'],,text-classification,2023-04-06T04:06:16.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'text-classification', 'ru', 'dataset:RuSentiment', 'sentiment', 'has_space', 'region:us']",3,y,RuSentiment,,368867.0
w11wo/indonesian-roberta-base-sentiment-classifier,"['positive', 'negative', 'neutral']",621ffdc136468d709f1815cd,5011.0,14.0,['RobertaForSequenceClassification'],['indonlu'],id,,text-classification,2023-05-13T04:10:11.000Z,"['transformers', 'pytorch', 'tf', 'safetensors', 'roberta', 'text-classification', 'id', 'dataset:indonlu', 'arxiv:1907.11692', 'doi:10.57967/hf/0644', 'indonesian-roberta-base-sentiment-classifier', 'license:mit', 'has_space', 'region:us']",3,y,indolu's SmSA,,311775.0
mdhugol/indonesia-bert-sentiment-classification,"['LABEL_0', 'LABEL_1', 'LABEL_2']",621ffdc136468d709f17ddc2,1931.0,10.0,['BertForSequenceClassification'],,,,text-classification,2021-09-14T08:24:28.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y,Prosa sentiment dataset,,309146.0
HooshvareLab/bert-fa-base-uncased-sentiment-digikala,"['recommended', 'no_idea', 'not_recommended']",621ffdc036468d709f175df4,214707.0,1.0,['BertForSequenceClassification'],,fa,,text-classification,2021-05-18T20:59:17.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'fa', 'license:apache-2.0', 'region:us']",3,y,Digikala and Snappfood Comments,,285444.0
christian-phu/bert-finetuned-japanese-sentiment,"['positive', 'negative', 'neutral']",642ef6c70bb61293d135d8bb,80992.0,4.0,['BertForSequenceClassification'],,['ja'],['accuracy'],text-classification,2023-04-07T17:27:53.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'ja', 'generated_from_trainer', 'license:cc-by-sa-4.0', 'region:us']",3,y,Amazon Reviews,"[{'name': 'bert-finetuned-japanese-sentiment', 'results': []}]",257729.0
lucas-leme/FinBERT-PT-BR,"['NEUTRAL', 'NEGATIVE', 'POSITIVE']",638d1bf45869d78eb7e64cae,1402.0,12.0,['BertForSequenceClassification'],,pt,,text-classification,2023-08-22T01:28:39.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'pt', 'license:apache-2.0', 'region:us']",3,y,,,248055.0
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,"['positive', 'neutral', 'negative']",621ffdc036468d709f174dfd,355.0,4.0,['BertForSequenceClassification'],,['ar'],,text-classification,2021-10-17T12:09:14.000Z,"['transformers', 'pytorch', 'tf', 'bert', 'text-classification', 'ar', 'arxiv:2103.06678', 'license:apache-2.0', 'region:us']",3,y,"ASTD, ArSAS, SemEval",,227605.0
pin/senda,"['positiv', 'negativ', 'neutral']",621ffdc136468d709f17eedb,20.0,4.0,['BertForSequenceClassification'],,da,,text-classification,2021-08-20T11:00:39.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'da', 'danish', 'sentiment', 'polarity', 'license:cc-by-4.0', 'region:us']",3,y,,,205926.0
sbcBI/sentiment_analysis,"['LABEL_2', 'LABEL_0', 'LABEL_1']",62624bad02cd5952e012af2c,8624.0,4.0,['DistilBertForSequenceClassification'],['Confidential'],en,,text-classification,2022-04-22T06:42:07.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'dataset:Confidential', 'arxiv:1810.04805', 'exbert', 'license:apache-2.0', 'has_space', 'region:us']",3,y,Classified,,180158.0
neuraly/bert-base-italian-cased-sentiment,"['positive', 'neutral', 'negative']",621ffdc136468d709f17e675,3637.0,7.0,['BertForSequenceClassification'],,it,,text-classification,2021-09-22T09:29:18.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'it', 'sentiment', 'Italian', 'license:mit', 'region:us']",3,y,Tweets Dataset,,157261.0
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,"['Neutral', 'Positive', 'Negative']",64895b7950c003881f1873c2,5667.0,7.0,['BertForSequenceClassification'],,['zh'],,text-classification,2023-06-14T07:38:20.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'zh', 'finance', 'region:us']",3,y,Financial News,,123038.0
fergusq/finbert-finnsentiment,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f17b05d,4507.0,1.0,['BertForSequenceClassification'],,fi,,text-classification,2023-03-24T11:14:28.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'fi', 'arxiv:2012.02613', 'license:cc-by-4.0', 'region:us']",3,y,,,111445.0
poom-sci/WangchanBERTa-finetuned-sentiment,"['pos', 'neu', 'neg']",621ffdc136468d709f17ef43,169.0,6.0,['CamembertForSequenceClassification'],"['wongnai_reviews', 'wisesight_sentiment', 'generated_reviews_enth']",['th'],,text-classification,2021-11-05T17:48:02.000Z,"['transformers', 'pytorch', 'tensorboard', 'camembert', 'text-classification', 'th', 'dataset:wongnai_reviews', 'dataset:wisesight_sentiment', 'dataset:generated_reviews_enth', 'sentiment-analysis', 'license:apache-2.0', 'region:us']",3,y,,,111145.0
seara/rubert-tiny2-russian-sentiment,"['positive', 'neutral', 'negative']",6460fc90b2ae2983b1064972,1089.0,3.0,['BertForSequenceClassification'],"['sismetanin/rureviews', 'RuSentiment', 'LinisCrowd2015', 'LinisCrowd2016', 'KaggleRussianNews']",['ru'],"['f1', 'roc_auc', 'precision', 'recall']",text-classification,2023-08-25T19:16:11.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'ru', 'dataset:sismetanin/rureviews', 'dataset:RuSentiment', 'dataset:LinisCrowd2015', 'dataset:LinisCrowd2016', 'dataset:KaggleRussianNews', 'sentiment-analysis', 'multi-class-classification', 'sentiment analysis', 'rubert', 'sentiment', 'tiny', 'russian', 'multiclass', 'classification', 'license:mit', 'region:us']",3,y,Short Russian Text,,107478.0
CouchCat/ma_sa_v7_distil,"['positive', 'neutral', 'negative']",621ffdc036468d709f174fb4,21.0,0.0,['DistilBertForSequenceClassification'],,en,,text-classification,2021-02-15T23:19:57.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'sentiment-analysis', 'license:mit', 'region:us']",3,y,,,104190.0
peerapongch/baikal-sentiment-ball,"['LABEL_2', 'LABEL_1', 'LABEL_0']",6253dd2927a8414d3bbee8dc,1376.0,0.0,['CamembertForSequenceClassification'],,,,text-classification,2022-04-11T07:57:59.000Z,"['transformers', 'pytorch', 'camembert', 'text-classification', 'region:us']",3,y,-,,103210.0
samayash/finetuning-financial-news-sentiment,"['LABEL_1', 'LABEL_2', 'LABEL_0']",6243ce06450f3c40182e630e,8763.0,2.0,['DistilBertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2022-03-30T03:36:40.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y,Unpublished Books,"[{'name': 'finetuning-financial-news-sentiment', 'results': []}]",102924.0
aari1995/German_Sentiment,"['positive', 'negative', 'neutral']",647dae49f14eafc3b4492ce6,124.0,0.0,['BertForSequenceClassification'],,['de'],,text-classification,2023-06-23T06:29:57.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'de', 'deepset/gbert-large', 'region:us']",3,y,,,82064.0
mdraw/german-news-sentiment-bert,"['positive', 'negative', 'neutral']",621ffdc136468d709f17ddc5,1005.0,4.0,['BertForSequenceClassification'],,,,text-classification,2023-03-17T14:29:53.000Z,"['transformers', 'pytorch', 'jax', 'safetensors', 'bert', 'text-classification', 'region:us']",3,y,News text about migration,,81878.0
KBLab/robust-swedish-sentiment-multiclass,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",6458c0af39e6aea69cb83559,98.0,2.0,['MegatronBertForSequenceClassification'],,['sv'],,text-classification,2023-06-16T10:14:05.000Z,"['transformers', 'pytorch', 'safetensors', 'megatron-bert', 'text-classification', 'sv', 'license:apache-2.0', 'region:us']",3,y,,,80307.0
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,"['positive', 'neutral', 'negative']",621ffdc136468d709f178f36,13344.0,0.0,['DistilBertForSequenceClassification'],['amansolanki/autonlp-data-Tweet-Sentiment-Extraction'],en,,text-classification,2021-10-17T00:32:35.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'dataset:amansolanki/autonlp-data-Tweet-Sentiment-Extraction', 'autonlp', 'co2_eq_emissions', 'region:us']",3,y,,,77321.0
knkarthick/Sentiment-Analysis,"['Positive', 'Neutral', 'Negative']",636cd8a38cb710cbc995b48d,8869.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-11-10T10:56:46.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'has_space', 'region:us']",3,y,Nil,,70675.0
Ammar-alhaj-ali/arabic-MARBERT-sentiment,"['positive', 'neutral', 'negative']",62ef533d4ef4858b1d4c5259,610.0,8.0,['BertForSequenceClassification'],,['ar'],,text-classification,2022-08-09T21:03:29.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'ar', 'text classification', 'Sentiment', 'region:us']",3,y,KAUST Dataset,,69443.0
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,"['LABEL_2', 'LABEL_1', 'LABEL_0']",62b34a4751b07307bd0144d5,13377.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2022-06-22T19:15:59.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y,,"[{'name': 'roberta_RCADE_fine_tuned_sentiment_covid_news', 'results': []}]",67274.0
Jean-Baptiste/roberta-large-financial-news-sentiment-en,"['positive', 'neutral', 'negative']",63ac69a823f39d70bdd09d23,1128.0,5.0,['RobertaForSequenceClassification'],['Jean-Baptiste/financial_news_sentiment_mixte_with_phrasebank_75'],en,,text-classification,2023-03-22T02:27:09.000Z,"['transformers', 'pytorch', 'onnx', 'safetensors', 'roberta', 'text-classification', 'en', 'dataset:Jean-Baptiste/financial_news_sentiment_mixte_with_phrasebank_75', 'financial', 'stocks', 'sentiment', 'license:mit', 'has_space', 'region:us']",3,y,financial_news_sentiment_mixte_with_phrasebank_75 dataset,,53927.0
