model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags
ynie/xlnet-large-cased-snli_mnli_fever_anli_R1_R2_R3-nli,"['neutral', 'contradiction', 'entailment']",621ffdc136468d709f181add,1290,2,['XLNetForSequenceClassification'],NA,NA,NA,text-classification,2020-10-17 01:54:45+00:00,"['transformers', 'pytorch', 'xlnet', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Joelzhang/deberta-v3-large-snli_mnli_fever_anli_R1_R2_R3-nli,"['entailment', 'neutral', 'contradiction']",6266468900f1a3335dbba838,49,0,['DebertaV2ForSequenceClassification'],"['snli-1.0', 'multi-nli-1.0', 'nli-fever', 'anli-v1.0']",['en'],['accuracy'],text-classification,2022-04-25 13:37:15+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'en', 'dataset:snli-1.0', 'dataset:multi-nli-1.0', 'dataset:nli-fever', 'dataset:anli-v1.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ynie/electra-large-discriminator-snli_mnli_fever_anli_R1_R2_R3-nli,"['contradiction', 'neutral', 'entailment']",621ffdc136468d709f181ada,47,1,['ElectraForSequenceClassification'],NA,NA,NA,text-classification,2020-10-17 02:00:30+00:00,"['transformers', 'pytorch', 'electra', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ynie/albert-xxlarge-v2-snli_mnli_fever_anli_R1_R2_R3-nli,"['neutral', 'entailment', 'contradiction']",621ffdc136468d709f181ad8,59,4,['AlbertForSequenceClassification'],NA,NA,NA,text-classification,2022-08-12 16:25:18+00:00,"['transformers', 'pytorch', 'tf', 'albert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
YaraKyrychenko/bert-nli-ukraine-hostility,"['entailment', 'neutral', 'contradiction']",64678dace92e2372d5d00a81,35,0,['DebertaV2ForSequenceClassification'],NA,NA,NA,text-classification,2023-05-19 14:56:32+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
jaesun/kcbert-base-finetuned-klue-nli,"['LABEL_0', 'LABEL_2', 'LABEL_1']",621ffdc136468d709f17c9fe,35,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2021-10-28 04:59:03+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta-base_v2,"['LABEL_0', 'LABEL_1', 'LABEL_2']",65b3e2ddcbea1825a637e637,30,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2024-01-26 16:52:53+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_roberta-large_lr1e-05_wd1e-03_ep3_ckpt,"['LABEL_1', 'LABEL_0', 'LABEL_2']",65079ddba61b2c010e165532,29,0,['RobertaForSequenceClassification'],['klue'],,"['accuracy', 'f1']",text-classification,2023-09-18 01:08:41+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'base_model:klue/roberta-large', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ys7yoo/nli_klue_roberta_base_ep9,"['LABEL_1', 'LABEL_0', 'LABEL_2']",650277d6adf89caf5f07520e,28,0,['RobertaForSequenceClassification'],NA,NA,NA,text-classification,2023-09-14 03:06:31+00:00,"['transformers', 'pytorch', 'roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
IDEA-CCNL/Erlangshen-Roberta-330M-NLI,"['ENTAILMENT', 'NEUTRAL', 'CONTRADICTION']",625e50d1d28969004c10a7cd,22,4,['BertForSequenceClassification'],,['zh'],,text-classification,2023-05-26 06:34:56+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'roberta', 'NLU', 'NLI', 'Chinese', 'zh', 'arxiv:2209.02970', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Jihyun22/bert-base-finetuned-nli,"['LABEL_1', 'LABEL_2', 'LABEL_0']",621ffdc036468d709f176112,78,2,['BertForSequenceClassification'],['klue'],,['accuracy'],text-classification,2021-10-26 11:07:39+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'dataset:klue', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
tomhosking/deberta-v3-base-debiased-nli,"['NEUTRAL', 'ENTAILMENT', 'CONTRADICTION']",627a15d5c488a8ce15a1fdb2,42,0,['DebertaV2ForSequenceClassification'],,,,text-classification,2022-05-10 08:15:40+00:00,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-nli-qacg-sum,"['n', 's', 'r']",65a7eb578581aad8c90c2280,18,0,['XLMRobertaForSequenceClassification'],NA,NA,NA,text-classification,2024-01-17 15:00:59+00:00,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ctu-aic/xlm-roberta-large-nli-csfever,"['s', 'n', 'r']",65e71ee82519cf95213c2bea,20,0,['XLMRobertaForSequenceClassification'],['ctu-aic/csfever_nli'],['cs'],,text-classification,2024-03-07 14:57:53+00:00,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'cs', 'dataset:ctu-aic/csfever_nli', 'arxiv:2312.10171', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
MayaGalvez/bert-base-multilingual-cased-finetuned-nli,"['LABEL_1', 'LABEL_0', 'LABEL_2']",62ea63033baa50831a039ffa,13,0,['BertForSequenceClassification'],['xnli'],,['accuracy'],text-classification,2022-08-03 16:48:33+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'dataset:xnli', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
Sebb/german-nli-large-thesis,"['LABEL_0', 'LABEL_1', 'LABEL_2']",621ffdc036468d709f177454,18,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2022-01-04 21:06:38+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
mamlong34/MiniLM-L6-snli_mnli_fever_anli_R1_R2_R3-nli,"['LABEL_0', 'LABEL_1', 'LABEL_2']",621ffdc136468d709f17dbcc,18,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2021-10-05 03:26:48+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
ixaxaar/flan-t5-base_multi-nli,"[0, 1, 2]",65a7702bac3a06f3e8be7926,13,0,['T5ForSequenceClassification'],,,,text-classification,2024-01-17 22:33:50+00:00,"['transformers', 'safetensors', 't5', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'text-generation-inference', 'region:us']"
Sebb/german-nli-base-thesis,"['LABEL_0', 'LABEL_2', 'LABEL_1']",621ffdc036468d709f177453,20,0,['BertForSequenceClassification'],NA,NA,NA,text-classification,2022-01-06 20:06:07+00:00,"['transformers', 'pytorch', 'bert', 'text-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
tomhosking/bert-base-uncased-debiased-nli,"['ENTAILMENT', 'NEUTRAL', 'CONTRADICTION']",62753264f454ebadd6bc6a01,13,0,['BertForSequenceClassification'],,,,text-classification,2023-03-20 12:14:09+00:00,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']"
