,model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa
312,rhythm00/HF_tutor,"['Good', 'Neutral', 'Bad']",650ecfc68f80c1165ce1049a,6.0,0.0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2023-09-23T11:47:53.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
313,mlkorra/obgv-gender-bert-hi-en,"['negative', 'neutral', 'positive']",621ffdc136468d709f17e019,6.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-09-03T06:39:23.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
314,Svetlana0303/Classfication_longformer,"[2, 1, 0]",63f330a40bdc4e0839f0f93d,6.0,0.0,['LongformerForSequenceClassification'],,,['accuracy'],text-classification,2023-02-20T09:07:19.000Z,"['transformers', 'pytorch', 'tensorboard', 'longformer', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
315,sara-nabhani/ML-ns-bert-base-uncased,"['neutral', 'positive', 'negative']",63dbb6fe29a85707bf24c3e7,6.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-02-02T13:14:22.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
316,yanezh/twiiter_try6_fold1,"['positive', 'negative', 'neutral']",646f0f58ac3bff5945d6353a,6.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-05-25T08:30:06.000Z,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'region:us']",3,y
317,davidchiii/news-headlines,"['POS', 'NEU', 'NEG']",6452f35d3a794b2d9b1acb92,6.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-05-03T23:51:56.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
318,Hyeonseo/finance_news_classifier,"['positive', 'neutral', 'negative']",64699589511e5cdeb0f31699,6.0,0.0,['XLMRobertaForSequenceClassification'],,,['accuracy'],text-classification,2023-06-02T13:41:06.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
319,dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64907d620fce58e67468f52a,6.0,1.0,['BertForSequenceClassification'],,,,text-classification,2023-06-19T18:26:28.000Z,"['transformers', 'pytorch', 'tf', 'bert', 'text-classification', 'generated_from_keras_callback', 'region:us']",3,y
320,finiteautomata/beto-headlines-sentiment-analysis,"['POS', 'NEU', 'NEG']",621ffdc136468d709f17b0e1,6.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-03-28T15:19:09.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'region:us']",3,y
321,MavisAJ/Sentiment_analysis_roberta_model,"['LABEL_1', 'LABEL_2', 'LABEL_0']",63cdd652de1a04e0573670d8,6.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-01-25T17:58:05.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'has_space', 'region:us']",3,y
322,cardiffnlp/xlm-v-base-tweet-sentiment-ar,"['neutral', 'positive', 'negative']",642338aab25ca6af13df7017,5.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-28T19:06:17.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
323,cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,"['positive', 'neutral', 'negative']",6405ad98419d454526cdd427,5.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-23T00:01:00.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
324,cardiffnlp/xlm-roberta-base-tweet-sentiment-es,"['positive', 'neutral', 'negative']",6405ae873a2db78678150148,5.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-23T00:59:13.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
325,benjaminbeilharz/bert-base-uncased-sentiment-classifier,"['LABEL_2', 'LABEL_0', 'LABEL_1']",621ffdc136468d709f179880,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2022-02-03T22:43:30.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
326,oandreae/financial_sentiment_model,"['neutral', 'positive', 'negative']",621ffdc136468d709f17e9a9,5.0,1.0,['PerceiverForSequenceClassification'],['financial_phrasebank'],,"['recall', 'accuracy', 'precision']",text-classification,2022-01-20T20:00:01.000Z,"['transformers', 'pytorch', 'tensorboard', 'perceiver', 'text-classification', 'dataset:financial_phrasebank', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
327,RogerKam/roberta_fine_tuned_sentiment_financial_news,"['LABEL_2', 'LABEL_1', 'LABEL_0']",629f3192c0964978c38b3723,5.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2022-06-07T11:25:35.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
328,UchihaMadara/phobert-finetuned-sentiment-analysis,"['positive', 'neutral', 'negative']",63a469bc0cf4daf61671cf1f,5.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2023-02-04T10:03:58.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
329,Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,"['LABEL_1', 'LABEL_2', 'LABEL_0']",63c558814cd4cf09eac9476a,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-01-22T01:01:46.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'has_space', 'region:us']",3,y
330,Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,"['positive', 'neutral', 'negative']",64efcc01150c655bebb9086d,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-08-31T00:41:40.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'region:us']",3,y
331,salohnana2018/ARABERT02-best-trail,"['neutral', 'negative', 'positive']",63f8b2ad677cd902e967dca7,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-02-24T13:17:16.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
332,neojex/testing,"['neutral', 'positive', 'negative']",64747045d56974d0c058ad1b,5.0,0.0,['BertForSequenceClassification'],,['lb'],,text-classification,2023-05-31T22:51:33.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'lb', 'region:us']",3,y
333,CultureBERT/roberta-large-adhocracy,"['neutral', 'positive', 'negative']",6382423063e3fab40c8cd164,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-12-22T22:05:45.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'arxiv:2212.00509', 'license:cc-by-nc-4.0', 'region:us']",3,y
334,yanezh/twiiter_try10_fold4,"['neutral', 'positive', 'negative']",646f8c1e6098ee820fbc1e09,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-05-25T16:41:55.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
335,yanezh/twiiter_try15_fold3,"['neutral', 'positive', 'negative']",6470af529fe78d69a8b0c0e7,5.0,0.0,['BertForSequenceClassification'],,,['f1'],text-classification,2023-05-26T13:41:22.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'endpoints_compatible', 'region:us']",3,y
336,Tejas3/distillbert_base_uncased_80,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f177846,5.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2021-07-06T12:26:22.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'region:us']",3,y
337,salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-absoluteWeights-gamma1-dropout01,"['negative', 'positive', 'neutral']",64e5a1459d87bd593f4a7e7a,5.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-08-24T07:57:48.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
338,salohnana2018/ABSA-Pair-domainAdapt-CAMEL-MSA-HARD-ImbalancedHandling-inv-prop-weights-gamma1,"['negative', 'positive', 'neutral']",64e47bd7a07739bcc480e967,5.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-08-22T10:08:32.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
339,CMunch/fine_tuned_dota,"['NEUTRAL', 'VERY_NEG', 'SOMEWHAT_NEG']",64b570289c750f981bbc51bd,5.0,0.0,['DistilBertForSequenceClassification'],,,['accuracy'],text-classification,2023-07-17T17:09:36.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
340,intanm/sa10-clm-20230403-001-3,"['NEUTRAL', 'POSITIVE', 'NEGATIVE']",642a7e130a586b371e04b251,5.0,0.0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2023-04-03T07:25:26.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
341,hazrulakmal/bert-base-uncased-finetuned,"['neutral', 'positive', 'negative']",62ef346795e18f1ae9b09edd,5.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2022-08-11T09:01:33.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
342,intanm/fin-sa-post-trained-indobert-base-finreports-p2-001,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",64a0e4001f2d94aef850f9b2,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-07-02T02:43:42.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
343,intanm/fin-sa-post-trained-indobert-base-combined,"['NEUTRAL', 'POSITIVE', 'NEGATIVE']",6486811443ba3df95402b4e5,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-06-12T02:31:04.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
344,chinmayapani/panich,"['positive', 'neutral', 'negative']",643d715246c2cebe83b992f6,5.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-04-17T17:26:00.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'region:us']",3,y
345,bvint/autotrain-sphere-lecture-demo-1671659193,"['positiv', 'neutral', 'negativ']",633da61eae5e5531470bb7a0,5.0,0.0,,['bvint/autotrain-data-sphere-lecture-demo'],['en'],,text-classification,2022-10-05T15:44:26.000Z,"['transformers', 'pytorch', 'en', 'dataset:bvint/autotrain-data-sphere-lecture-demo', 'autotrain', 'text-classification', 'co2_eq_emissions', 'region:us']",3,y
346,DingYao/autotrain-fbert-singlish-1755361190,"['2', '0', '1']",6349013148560bce46e390c8,5.0,0.0,,['DingYao/autotrain-data-fbert-singlish'],['unk'],,text-classification,2022-10-14T06:27:58.000Z,"['transformers', 'pytorch', 'unk', 'dataset:DingYao/autotrain-data-fbert-singlish', 'autotrain', 'text-classification', 'co2_eq_emissions', 'region:us']",3,y
347,jordankrishnayah/robertaSentimentBiasTestwithMBIC,"['neutral', 'negative', 'positive']",64d17ae91720c7a4832a62aa,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-08-07T23:17:31.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'region:us']",3,y
348,EMBEDDIA/bertic-tweetsentiment,"['Positive', 'Neutral', 'Negative']",621ffdc036468d709f1752d8,5.0,0.0,['ElectraForSequenceClassification'],,,,text-classification,2021-07-09T14:34:25.000Z,"['transformers', 'pytorch', 'electra', 'text-classification', 'region:us']",3,y
349,hazrulakmal/benchmark-finetuned-distilbert,"['neutral', 'positive', 'negative']",62f8bace385d0a4e7201c575,5.0,0.0,['DistilBertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2022-08-14T10:34:11.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
350,ultraleow/cloud4bert,"['Positive', 'Neutral', 'Negative']",63c99baa3674f6ffd597bb65,5.0,1.0,['BertForSequenceClassification'],,en,"['accuracy', 'precision', 'recall', 'f1']",text-classification,2023-01-20T07:22:20.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'en', 'license:openrail', 'region:us']",3,y
351,researchaccount/sa_sub5,"['Positive', 'Neutral', 'Negative']",621ffdc136468d709f17fd63,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-05-20T04:26:03.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'region:us']",3,y
352,quesmed/tone,"['neutral', 'negative', 'positive']",64c3c3495bf33039d574cc59,5.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2023-07-29T23:16:27.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
353,EMBEDDIA/english-tweetsentiment,"['Positive', 'Neutral', 'Negative']",621ffdc036468d709f1752da,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-07-09T14:39:01.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
354,BramVanroy/bert-base-multilingual-cased-hebban-reviews,"['positive', 'neutral', 'negative']",62dfe3382bbe22a98a9c2bf8,5.0,0.0,['BertForSequenceClassification'],['BramVanroy/hebban-reviews'],['nl'],"['accuracy', 'f1', 'precision', 'qwk', 'recall']",text-classification,2023-09-12T21:47:09.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'bert', 'text-classification', 'nl', 'dataset:BramVanroy/hebban-reviews', 'sentiment-analysis', 'dutch', 'text', 'license:mit', 'model-index', 'region:us']",3,y
355,nuriafari/my_model,"['neutral', 'positive', 'negative']",621ffdc136468d709f17e949,5.0,0.0,['PerceiverForSequenceClassification'],['financial_phrasebank'],,"['recall', 'accuracy', 'precision']",text-classification,2022-01-20T20:06:26.000Z,"['transformers', 'pytorch', 'tensorboard', 'perceiver', 'text-classification', 'generated_from_trainer', 'dataset:financial_phrasebank', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",3,y
356,CultureBERT/roberta-large-market,"['neutral', 'positive', 'negative']",6383345a11cd91c15d589e07,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-12-22T22:06:09.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'arxiv:2212.00509', 'license:cc-by-nc-4.0', 'region:us']",3,y
357,intanm/mlm_v1_20230327_fin_sa_10,"['NEUTRAL', 'NEGATIVE', 'POSITIVE']",642146b1ec91bf6c978fae8e,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-03-27T07:33:30.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
358,DingYao/autotrain-fbert-singlish-2-1937065404,"['2', '1', '0']",635eb0559f24f6db0a1eb6b3,5.0,0.0,,['DingYao/autotrain-data-fbert-singlish-2'],['unk'],,text-classification,2022-10-30T17:12:55.000Z,"['transformers', 'pytorch', 'unk', 'dataset:DingYao/autotrain-data-fbert-singlish-2', 'autotrain', 'text-classification', 'co2_eq_emissions', 'region:us']",3,y
359,course5i/SEAD-L-6_H-384_A-12-mnli,"[1, 0, 2]",62a66fd157845f11f39863e3,5.0,0.0,['BertForSequenceClassification'],"['glue', 'mnli']",['en'],,text-classification,2022-06-12T22:59:51.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'en', 'dataset:glue', 'dataset:mnli', 'arxiv:1910.01108', 'arxiv:1909.10351', 'arxiv:2002.10957', 'arxiv:1810.04805', 'arxiv:1804.07461', 'arxiv:1905.00537', 'SEAD', 'license:apache-2.0', 'region:us']",3,y
360,intanm/100-finSA-finLM-v1-001,"['NEUTRAL', 'POSITIVE', 'NEGATIVE']",642a2381b20cdada12ffea3c,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-04-03T00:58:30.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
361,cassiepowell/RoBERTa-large-mnli-for-agreement,"[1, 2, 0]",626966f8124f03fb2e07be8b,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-04-28T15:27:32.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y
362,fassahat/anferico-bert-for-patents-finetuned-557k-patent-sentences,"['2', '1', '0']",637003206cd69d9a36068f4d,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2022-11-16T12:29:01.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'region:us']",3,y
363,Anthos23/FS-finbert-fine-tuned-f1,"['neutral', 'positive', 'negative']",62261071b213da14d165fb23,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2022-03-07T16:12:42.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
364,researchaccount/sa_sub1,"['Neutral', 'Positive', 'Negative']",621ffdc136468d709f17fd5d,5.0,0.0,['BertForSequenceClassification'],,en,,text-classification,2021-05-20T04:20:12.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'en', 'region:us']",3,y
365,DunnBC22/fnet-large-Financial_Sentiment_Analysis_v3,"['LABEL_2', 'LABEL_0', 'LABEL_1']",64593f99f92601affa35836c,5.0,1.0,['FNetForSequenceClassification'],,['en'],"['accuracy', 'f1', 'recall', 'precision']",text-classification,2023-07-23T01:58:58.000Z,"['transformers', 'pytorch', 'tensorboard', 'fnet', 'text-classification', 'en', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
366,hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test,"['Neutral', 'Positive', 'Negative']",648a6b50fcda61143199c38e,5.0,0.0,['BertForSequenceClassification'],,['zh'],['accuracy'],text-classification,2023-06-15T02:05:24.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'zh', 'generated_from_trainer', 'finance', 'region:us']",3,y
367,antypasd/twitter-roberta-base-sentiment-earthquake,"['positive', 'neutral', 'negative']",638dbc3abb255c6a0fef0e07,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-01-04T10:43:32.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'generated_from_keras_callback', 'region:us']",3,y
368,rod16/v1_finetuning-sentiment-model-news-samples,"['LABEL_1', 'LABEL_2', 'LABEL_0']",64b9a410f602541ef763bce4,5.0,0.0,['DistilBertForSequenceClassification'],,,['accuracy'],text-classification,2023-07-21T01:30:45.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
369,A-Funakoshi/bert-base-japanese-v3-wrime-sentiment,"['neutral', 'positive', 'negative']",64d8ae053ca2924d6eae8bcc,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-08-13T10:20:20.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
370,data354/camembert-fr-covid-tweet-sentiment-classification,"['neutre', 'positif', 'negatif']",621ffdc036468d709f176a59,5.0,0.0,['CamembertForSequenceClassification'],,['fr'],['accuracy'],text-classification,2023-07-03T22:14:35.000Z,"['transformers', 'pytorch', 'camembert', 'text-classification', 'fr', 'classification', 'license:apache-2.0', 'region:us']",3,y
371,sismetanin/rubert_conversational-ru-sentiment-rureviews,"['LABEL_2', 'LABEL_1', 'LABEL_0']",621ffdc136468d709f1805bb,5.0,0.0,['BertForSequenceClassification'],,['ru'],,text-classification,2021-05-20T06:20:54.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'ru', 'sentiment analysis', 'Russian', 'region:us']",3,y
372,EMBEDDIA/sloberta-tweetsentiment,"['Positive', 'Neutral', 'Negative']",621ffdc036468d709f1752df,5.0,0.0,['CamembertForSequenceClassification'],,,,text-classification,2021-07-09T14:27:28.000Z,"['transformers', 'pytorch', 'camembert', 'text-classification', 'region:us']",3,y
373,salohnana2018/ARABERT02,"['neutral', 'negative', 'positive']",63f8abe44ada8f12115c003c,5.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-02-24T12:27:20.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
374,slickdata/finetuned-Sentiment-classfication-ROBERTA-model,"['LABEL_1', 'LABEL_2', 'LABEL_0']",64b2f536a15d33a1bc9a24a1,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-07-23T15:08:57.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'has_space', 'region:us']",3,y
375,maegancp/finetuning-sentiment-model,"['LABEL_2', 'LABEL_1', 'LABEL_0']",650ab1eae13ff962301b6ca4,5.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-09-26T08:42:47.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'endpoints_compatible', 'region:us']",3,y
376,laurens88/finetuning-crypto-tweet-sentiment-test2,"['POS', 'NEU', 'NEG']",6288de9b2c6ed8a5eb082a7d,5.0,3.0,['RobertaForSequenceClassification'],,,,text-classification,2022-05-21T13:19:41.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
377,dpeinado/twitter-roberta-base-sentiment-latest-apple-opinions,"['positive', 'neutral', 'negative']",63d19f4a119416cdbe1bd9b1,5.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-01-28T23:38:44.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'region:us']",3,y
378,ongknsro/ACARISBERT-DistilBERT,"['pos', 'neu', 'neg']",6467b387ab75d9cb3c4af661,5.0,0.0,['DistilBertForMulticlassSequenceClassification'],"['go_emotions', 'ongknsro/ACARIS-v1']",['en'],"['accuracy', 'f1', 'recall', 'precision']",text-classification,2023-05-20T08:54:11.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'en', 'dataset:go_emotions', 'dataset:ongknsro/ACARIS-v1', 'text-classification', 'has_space', 'region:us']",3,y
379,DunnBC22/fnet-base-Financial_Sentiment_Analysis,"['LABEL_2', 'LABEL_1', 'LABEL_0']",6455bfbf8606b8832b2b8606,4.0,1.0,['FNetForSequenceClassification'],,['en'],"['accuracy', 'f1', 'recall', 'precision']",text-classification,2023-07-23T02:16:13.000Z,"['transformers', 'pytorch', 'tensorboard', 'fnet', 'text-classification', 'en', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
380,vectorizer/sentiment_analysis_93k_entries,"['LABEL_2', 'LABEL_0', 'LABEL_1']",6495721cf6b52cf58b245f2d,4.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-06-23T11:14:47.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",3,y
