,model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa
226,Venkatesh4342/bert-base-uncased-finetuned-fin,"['Neutral', 'Positive', 'Negative']",63afdda72f60ba75b01dc642,10.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-02-09T08:56:36.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
227,UholoDala/tweet_sentiments_analysis_bert,"['LABEL_1', 'LABEL_2', 'LABEL_0']",64b959a5d6ced0fd74cc5836,10.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-07-20T17:10:33.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'has_space', 'region:us']",3,y
228,LYTinn/finetuning-sentiment-model-tweet-gpt2,"['LABEL_2', 'LABEL_0', 'LABEL_1']",635f5bbe0ddaddda095304fc,10.0,1.0,['GPT2ForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2022-10-31T06:06:59.000Z,"['transformers', 'pytorch', 'gpt2', 'text-classification', 'generated_from_trainer', 'license:mit', 'text-generation-inference', 'region:us']",3,y
229,HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,"['LABEL_1', 'LABEL_2', 'LABEL_0']",64fb1f6735a7fc7d4f094317,10.0,0.0,['RobertaForSequenceClassification'],,,['f1'],text-classification,2023-09-08T16:02:25.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
230,bardsai/finance-sentiment-pl-base,"['neutral', 'positive', 'negative']",6380d9a9fb49cd1c1204ce91,10.0,2.0,['BertForSequenceClassification'],['datasets/financial_phrasebank'],pl,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2023-04-19T06:44:17.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'pl', 'dataset:datasets/financial_phrasebank', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
231,bright1/fine-tuned-twitter-Roberta-base-sentiment,"['neutral', 'positive', 'negative']",6451b51d41f3c769b91d7251,10.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-05-03T18:39:08.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'has_space', 'region:us']",3,y
232,francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,"['P', 'NEU', 'N']",63d865ff143d89ad8096cd2c,10.0,0.0,['DistilBertForSequenceClassification'],['dataset'],,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-01-31T02:12:43.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'dataset:dataset', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
233,incredible45/News-Sentimental-model-Buy-Neutral-Sell,"['positive', 'neutral', 'negative']",64b66e3d9f3e3aff7599df41,10.0,0.0,['BertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-09-11T15:04:05.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
234,manvik28/FinBERT_Tuned,"['neutral', 'positive', 'negative']",64d8bb5c67c967b01500119a,10.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-08-13T11:47:14.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'has_space', 'region:us']",3,y
235,evendivil/finetuning-sentiment-model-3000-samples,"['LABEL_2', 'LABEL_1', 'LABEL_0']",65005cb7f4ab53ce6d9bfab5,10.0,0.0,['RobertaForSequenceClassification'],,,"['f1', 'recall', 'accuracy']",text-classification,2023-09-12T14:39:10.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
236,ScriptEdgeAI/MarathiSentiment-Bloom-560m,"['Neutral', 'Negative', 'Positive']",632d5f6e656378087253690f,10.0,5.0,['BloomForSequenceClassification'],,['mr'],,text-classification,2022-09-24T08:14:05.000Z,"['transformers', 'pytorch', 'bloom', 'text-classification', 'mr', 'Sentiment-Analysis', 'license:cc-by-nc-4.0', 'text-generation-inference', 'region:us']",3,y
237,Manauu17/enhanced_roberta_sentiments_es,"['Positive', 'Neutral', 'Negative']",6265c6aa5f6f2e14d6b0ebf7,10.0,1.0,['RobertaForSequenceClassification'],,,,text-classification,2022-04-24T22:30:23.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y
238,HerbertAIHug/finetuned_sentiment_analysis_modell,"['LABEL_1', 'LABEL_2', 'LABEL_0']",650096e985a884a964c98228,9.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-09-12T16:51:44.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y
239,sismetanin/xlm_roberta_large-ru-sentiment-rureviews,"['LABEL_2', 'LABEL_1', 'LABEL_0']",621ffdc136468d709f1805ce,9.0,0.0,['XLMRobertaForSequenceClassification'],,['ru'],,text-classification,2021-02-25T23:52:40.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'ru', 'sentiment analysis', 'Russian', 'region:us']",3,y
240,arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,"['positive', 'neutral', 'negative']",621ffdc136468d709f1792f1,9.0,0.0,['DistilBertForSequenceClassification'],['amazon_reviews_multi'],,"['accuracy', 'f1']",text-classification,2022-02-02T15:16:39.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'dataset:amazon_reviews_multi', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
241,raygx/BERT-NepSA-T2,"['NEUTRAL', 'POSITIVE', 'NEGATIVE']",6471650c1c2bfd5b7bffe46c,9.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-07-22T11:28:22.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'generated_from_keras_callback', 'license:mit', 'region:us']",3,y
242,francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,"['P', 'NEU', 'N']",63d992c80733a71e932859b2,9.0,0.0,['DistilBertForSequenceClassification'],['dataset'],,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-01-31T23:21:10.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'dataset:dataset', 'generated_from_trainer', 'model-index', 'region:us']",3,y
243,francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,"['NEU', 'N', 'P']",63d976e11a7685e437e333c8,9.0,0.0,['DistilBertForSequenceClassification'],['dataset'],,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-01-31T22:20:07.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'dataset:dataset', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
244,francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,"['P', 'NEU', 'N']",63d865b35ccb2bccedbfe262,9.0,0.0,['DistilBertForSequenceClassification'],['dataset'],,"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-01-31T03:01:53.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'dataset:dataset', 'generated_from_trainer', 'model-index', 'region:us']",3,y
245,ruanchaves/mdeberta-v3-base-porsimplessent,"[2, 0, 1]",6421dbf41b25d92e67d96be7,9.0,0.0,['DebertaV2ForSequenceClassification'],['ruanchaves/porsimplessent'],pt,,text-classification,2023-03-29T18:06:12.000Z,"['transformers', 'pytorch', 'deberta-v2', 'text-classification', 'pt', 'dataset:ruanchaves/porsimplessent', 'has_space', 'region:us']",3,y
246,raygx/distilGPT-NepSA,"['NEUTRAL', 'NEGATIVE', 'POSITIVE']",64d86346a146b1c0a6a0703a,9.0,0.0,['GPT2ForSequenceClassification'],,,,text-classification,2023-08-24T08:12:30.000Z,"['transformers', 'tf', 'gpt2', 'text-classification', 'generated_from_keras_callback', 'license:apache-2.0', 'text-generation-inference', 'region:us']",3,y
247,classla/bcms-bertic-parlasent-bcs-ter,"['Positive', 'Neutral', 'Negative']",62972aa965c0fc78a71e1b50,9.0,0.0,['ElectraForSequenceClassification'],,hr,,text-classification,2023-06-23T06:38:11.000Z,"['transformers', 'pytorch', 'safetensors', 'electra', 'text-classification', 'hr', 'arxiv:2206.00929', 'sentiment-analysis', 'region:us']",3,y
248,Anthos23/FS-distilroberta-fine-tuned,"['neutral', 'positive', 'negative']",621ffdc036468d709f174ac1,9.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-03-04T13:00:00.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'has_space', 'region:us']",3,y
249,luissgtorres/Bert_sentiment_analysis_Indata,"['positive', 'neutral', 'negative']",64fa08df27fb3a92e9961f47,9.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-09-08T21:39:54.000Z,"['transformers', 'tf', 'distilbert', 'text-classification', 'generated_from_keras_callback', 'license:apache-2.0', 'region:us']",3,y
250,warwickai/fin-perceiver,"['neutral', 'positive', 'negative']",621ffdc136468d709f18164c,9.0,3.0,['PerceiverForSequenceClassification'],['financial_phrasebank'],en,"['recall', 'f1', 'accuracy', 'precision']",text-classification,2023-07-01T16:08:54.000Z,"['transformers', 'pytorch', 'safetensors', 'perceiver', 'text-classification', 'en', 'dataset:financial_phrasebank', 'doi:10.57967/hf/0060', 'financial-sentiment-analysis', 'sentiment-analysis', 'language-perceiver', 'license:apache-2.0', 'model-index', 'has_space', 'region:us']",3,y
251,rohanrajpal/bert-base-en-es-codemix-cased,"['negative', 'positive', 'neutral']",621ffdc136468d709f17fe6d,9.0,0.0,['BertForSequenceClassification'],['SAIL 2017'],"['es', 'en']","['fscore', 'accuracy', 'precision', 'recall']",text-classification,2021-05-19T00:26:38.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'es', 'en', 'dataset:SAIL 2017', 'codemix', 'license:apache-2.0', 'region:us']",3,y
252,langecod/Financial_Phrasebank_RoBERTa,"['Neutral', 'Positive', 'Negative']",650e4fc2be2dd282dc94a4ff,8.0,0.0,['RobertaForSequenceClassification'],['financial_phrasebank'],,,text-classification,2023-09-26T03:05:48.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'dataset:financial_phrasebank', 'endpoints_compatible', 'region:us']",3,y
253,brema76/vaccine_event_it,"['Positive', 'Adverse', 'Neutral']",6344170d29de2293e7e24ad5,8.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-01-19T14:22:58.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'arxiv:2301.05961', 'license:mit', 'region:us']",3,y
254,kullackaan/sentiment-tweets,"['Positive', 'Negative', 'Notr']",62b38c3c8c8fac72c97784ec,8.0,0.0,['BertForSequenceClassification'],,,,text-classification,2022-06-22T22:07:54.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'license:afl-3.0', 'region:us']",3,y
255,jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,"['2', '1', '0']",6363a6275a8b39563ac67e42,8.0,0.0,['RobertaForSequenceClassification'],,,"['accuracy', 'precision', 'recall', 'f1']",text-classification,2022-11-03T13:05:05.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
256,santis2/phrasebank-sentiment-analysis,"['neutral', 'positive', 'negative']",650bb8c0a27ba14323f00016,8.0,0.0,['BertForSequenceClassification'],['financial_phrasebank'],,"['f1', 'accuracy']",text-classification,2023-09-21T03:41:31.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'dataset:financial_phrasebank', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
257,bardsai/finance-sentiment-de-base,"['neutral', 'negative', 'positive']",650835daf3060ea840faa177,8.0,0.0,['BertForSequenceClassification'],['datasets/financial_phrasebank'],de,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2023-09-18T12:42:57.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'de', 'dataset:datasets/financial_phrasebank', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
258,everyl12/crisis_sentiment_roberta,"['Positive', 'Neutral', 'Negative']",6341c6f48d8089ebaef6cb86,8.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2022-10-09T03:56:23.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
259,cardiffnlp/xlm-roberta-base-tweet-sentiment-de,"['positive', 'negative', 'neutral']",6405aef6419d454526ce6324,8.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-22T14:57:00.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
260,Venkatesh4342/distilbert-helpdesk-sentence-sentiment,"['Positive', 'Neutral', 'Negative']",650dc924e14eeb01d427e9cc,8.0,0.0,['DistilBertForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-09-22T17:05:07.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
261,mrcaelumn/yelp_restaurant_review_sentiment_analysis,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64341d991d83dc03c8e788ff,8.0,0.0,['DistilBertForSequenceClassification'],,['en'],"['accuracy', 'f1', 'precision']",text-classification,2023-08-01T06:09:05.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'distilbert', 'text-classification', 'en', 'region:us']",3,y
262,cardiffnlp/xlm-v-base-tweet-sentiment-es,"['positive', 'neutral', 'negative']",6423385b5224e7a03b57f94c,8.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-28T19:06:33.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
263,Kapiche/twitter-roberta-base-sentiment-latest,"['positive', 'neutral', 'negative']",64d0f04f3c4a1b39a011d93e,8.0,0.0,['RobertaForSequenceClassification'],['tweet_eval'],en,,text-classification,2023-09-04T22:49:50.000Z,"['transformers', 'pytorch', 'tf', 'safetensors', 'roberta', 'text-classification', 'en', 'dataset:tweet_eval', 'arxiv:2202.03829', 'region:us']",3,y
264,cardiffnlp/xlm-v-base-tweet-sentiment-it,"['positive', 'neutral', 'negative']",64232713ccb78df81e823ac6,8.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-28T17:50:11.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
265,bardsai/twitter-sentiment-pl-fast,"['positive', 'neutral', 'negative']",64b7c936ff6d81ae297f7cb0,7.0,0.0,['DistilBertForSequenceClassification'],['datasets/tweet_eval'],pl,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2023-07-19T11:41:28.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'pl', 'dataset:datasets/tweet_eval', 'sentiment-analysis', 'twitter', 'region:us']",3,y
266,cardiffnlp/xlm-roberta-base-tweet-sentiment-en,"['positive', 'negative', 'neutral']",6422ffcdbbbbabc97c8b16d2,7.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-28T15:02:26.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
267,svalabs/twitter-xlm-roberta-bitcoin-sentiment,"['Positive', 'Neutral', 'Negative']",62723aa260a8d21bc2ab4257,7.0,1.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2022-05-12T09:28:14.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
268,DingYao/autotrain-fbert-singlish-5-1943965533,"['2', '1', '0']",635ff0df14657fb8cff3c099,7.0,0.0,,['DingYao/autotrain-data-fbert-singlish-5'],['unk'],,text-classification,2022-10-31T16:01:02.000Z,"['transformers', 'pytorch', 'unk', 'dataset:DingYao/autotrain-data-fbert-singlish-5', 'autotrain', 'text-classification', 'co2_eq_emissions', 'region:us']",3,y
269,bardsai/finance-sentiment-ja-base,"['neutral', 'positive', 'negative']",650849ed1ae953ff2f841e25,7.0,0.0,['BertForSequenceClassification'],['datasets/financial_phrasebank'],ja,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2023-09-18T13:01:21.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'ja', 'dataset:datasets/financial_phrasebank', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
270,DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,"['LABEL_2', 'LABEL_0', 'LABEL_1']",632feab304b24dbdb9f2d0c1,7.0,1.0,['DistilBertForSequenceClassification'],,,"['accuracy, F1 Score']",text-classification,2023-05-11T19:50:05.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
271,DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,"['LABEL_2', 'LABEL_1', 'LABEL_0']",63b139ff1bc4bb9da213d89d,7.0,1.0,['DistilBertForSequenceClassification'],,['en'],"['accuracy', 'f1']",text-classification,2023-05-12T01:03:20.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
272,cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,"['positive', 'neutral', 'negative']",6405ab8574c2ddcd64f8e509,7.0,0.0,['XLMRobertaForSequenceClassification'],,,,text-classification,2023-03-22T23:01:56.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'region:us']",3,y
273,GhylB/Sentiment_Analysis_DistilBERT,"['LABEL_1', 'LABEL_2', 'LABEL_0']",6452d070a0c0a664a24afb73,7.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-05-03T21:41:45.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'has_space', 'region:us']",3,y
274,meghanabhange/Hinglish-Bert-Class,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f17dde5,7.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-05-19T23:12:59.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'region:us']",3,y
