,Model Name,%FIA,%PIA,%NIA,%U
30,hakonmh/sentiment-xdistil-uncased,40.0,40.0,20.0,0.0
31,avichr/heBERT_sentiment_analysis,0.0,0.0,100.0,0.0
32,hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,40.0,0.0,60.0,0.0
33,Sigma/financial-sentiment-analysis,20.0,20.0,40.0,20.0
34,w11wo/indonesian-roberta-base-sentiment-classifier,20.0,40.0,40.0,0.0
35,j-hartmann/sentiment-roberta-large-english-3-classes,20.0,80.0,0.0,0.0
36,CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,20.0,0.0,80.0,0.0
37,fergusq/finbert-finnsentiment,0.0,0.0,100.0,0.0
38,abnersampaio/sentiment,80.0,0.0,20.0,0.0
39,neuraly/bert-base-italian-cased-sentiment,20.0,0.0,80.0,0.0
40,citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,20.0,0.0,80.0,0.0
41,MonoHime/rubert-base-cased-sentiment-new,0.0,0.0,100.0,0.0
42,mdhugol/indonesia-bert-sentiment-classification,0.0,0.0,100.0,0.0
43,Kyle1668/boss-sentiment-bert-base-uncased,20.0,0.0,80.0,0.0
44,mwz/RomanUrduClassification,40.0,0.0,60.0,0.0
45,philschmid/distilbert-base-multilingual-cased-sentiment-2,0.0,0.0,100.0,0.0
46,lucas-leme/FinBERT-PT-BR,0.0,0.0,100.0,0.0
47,peerapongch/baikal-sentiment-ball,0.0,0.0,100.0,0.0
48,abhishek/autonlp-swahili-sentiment-615517563,20.0,60.0,20.0,0.0
49,cointegrated/rubert-tiny-sentiment-balanced,20.0,0.0,80.0,0.0
50,Jean-Baptiste/roberta-large-financial-news-sentiment-en,40.0,0.0,60.0,0.0
51,seara/rubert-tiny2-russian-sentiment,20.0,0.0,80.0,0.0
52,mdraw/german-news-sentiment-bert,20.0,0.0,80.0,0.0
53,BVK97/Discord-NFT-Sentiment,0.0,0.0,100.0,0.0
54,emre/turkish-sentiment-analysis,20.0,20.0,40.0,20.0
55,alexandrainst/da-sentiment-base,40.0,0.0,40.0,20.0
56,eevvgg/StanceBERTa,40.0,0.0,60.0,0.0
57,ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,20.0,0.0,80.0,0.0
58,Ammar-alhaj-ali/arabic-MARBERT-sentiment,40.0,40.0,0.0,20.0
59,yangheng/deberta-v3-large-absa-v1.1,20.0,0.0,60.0,20.0
60,IAyoub/finetuning-bert-sentiment-reviews-2,40.0,0.0,60.0,0.0
61,ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,0.0,0.0,100.0,0.0
62,turing-usp/FinBertPTBR,0.0,40.0,60.0,0.0
63,Voicelab/herbert-base-cased-sentiment,0.0,0.0,100.0,0.0
64,Tejas3/distillbert_base_uncased_80_equal,20.0,20.0,60.0,0.0
65,l3cube-pune/marathi-sentiment-md,20.0,0.0,80.0,0.0
66,shashanksrinath/News_Sentiment_Analysis,20.0,80.0,0.0,0.0
67,CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,20.0,0.0,40.0,40.0
68,Jorgeutd/bert-base-uncased-finetuned-surveyclassification,20.0,0.0,80.0,0.0
69,cardiffnlp/twitter-roberta-base-dec2021-sentiment,0.0,0.0,80.0,20.0
70,larskjeldgaard/senda,0.0,0.0,100.0,0.0
71,Souvikcmsa/BERT_sentiment_analysis,0.0,60.0,40.0,0.0
72,cardiffnlp/xlm-twitter-politics-sentiment,20.0,0.0,80.0,0.0
73,rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,20.0,20.0,60.0,0.0
74,hilmansw/indobert-finetuned-sentiment-happiness-index,40.0,0.0,40.0,20.0
75,FinanceInc/auditor_sentiment_finetuned,0.0,0.0,100.0,0.0
76,pysentimiento/roberta-targeted-sentiment-analysis,0.0,0.0,80.0,20.0
77,RecordedFuture/Swedish-Sentiment-Violence,20.0,0.0,60.0,20.0
78,poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,0.0,0.0,100.0,0.0
79,MarieAngeA13/Sentiment-Analysis-BERT,0.0,0.0,80.0,20.0
80,poom-sci/WangchanBERTa-finetuned-sentiment,0.0,60.0,40.0,0.0
81,xaqren/sentiment_analysis,40.0,20.0,0.0,40.0
82,Davlan/naija-twitter-sentiment-afriberta-large,20.0,0.0,80.0,0.0
83,bardsai/finance-sentiment-zh-base,40.0,0.0,60.0,0.0
84,seara/rubert-base-cased-russian-sentiment,20.0,0.0,80.0,0.0
85,blanchefort/rubert-base-cased-sentiment-med,20.0,0.0,80.0,0.0
86,hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,20.0,0.0,80.0,0.0
87,RashidNLP/Finance-Sentiment-Classification,40.0,0.0,60.0,0.0
88,RogerKam/roberta_fine_tuned_sentiment_newsmtsc,0.0,0.0,100.0,0.0
89,abnersampaio/sentimentv2,20.0,0.0,80.0,0.0
90,cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,20.0,0.0,80.0,0.0
91,aari1995/German_Sentiment,20.0,0.0,80.0,0.0
92,ncduy/phobert-large-finetuned-vietnamese_students_feedback,0.0,60.0,40.0,0.0
93,ZiweiChen/FinBERT-FOMC,0.0,0.0,100.0,0.0
94,JP040/bert-german-sentiment-twitter,0.0,80.0,0.0,20.0
95,alger-ia/dziribert_sentiment,40.0,0.0,60.0,0.0
96,blanchefort/rubert-base-cased-sentiment-rurewiews,40.0,0.0,60.0,0.0
97,z-dickson/multilingual_sentiment_newspaper_headlines,0.0,0.0,100.0,0.0
98,rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,20.0,80.0,0.0,0.0
99,CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,20.0,60.0,20.0,0.0
100,oferweintraub/bert-base-finance-sentiment-noisy-search,60.0,0.0,40.0,0.0
101,nimaafshar/parsbert-fa-sentiment-twitter,0.0,0.0,80.0,20.0
102,KBLab/robust-swedish-sentiment-multiclass,0.0,0.0,60.0,40.0
103,mstafam/fine-tuned-bert-financial-sentiment-analysis,40.0,0.0,40.0,20.0
104,traptrip/rosatom_survey_sentiment_classifier,0.0,0.0,100.0,0.0
105,philschmid/distilbert-base-multilingual-cased-sentiment,20.0,0.0,60.0,20.0
106,IsaacSarps/sentiment_analysis,20.0,0.0,80.0,0.0
107,Venkatesh4342/distilbert-helpdesk-sentiment,20.0,0.0,80.0,0.0
108,m3hrdadfi/albert-fa-base-v2-sentiment-multi,0.0,0.0,60.0,40.0
109,hw2942/bert-base-chinese-finetuning-financial-news-sentiment,0.0,0.0,100.0,0.0
110,bardsai/finance-sentiment-zh-fast,0.0,0.0,40.0,60.0
111,EMBEDDIA/rubert-tweetsentiment,0.0,0.0,100.0,0.0
112,ramnika003/autotrain-sentiment_analysis_project-705021428,0.0,0.0,60.0,40.0
113,pysentimiento/roberta-es-sentiment,0.0,0.0,100.0,0.0
114,Softechlb/Sent_analysis_CVs,0.0,0.0,60.0,40.0
115,mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,20.0,0.0,60.0,20.0
116,ganeshkharad/gk-hinglish-sentiment,0.0,0.0,60.0,40.0
117,akahana/indonesia-sentiment-roberta,0.0,0.0,100.0,0.0
118,sahri/indonesiasentiment,20.0,0.0,60.0,20.0
119,Venkatesh4342/xlm-roberta-helpdesk-sentiment,20.0,0.0,80.0,0.0
120,KernAI/stock-news-distilbert,0.0,0.0,60.0,40.0
121,CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,20.0,0.0,0.0,80.0
122,Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,20.0,0.0,80.0,0.0
123,cardiffnlp/twitter-roberta-base-2021-124m-sentiment,0.0,0.0,20.0,80.0
124,RashidNLP/Amazon-Deberta-Base-Sentiment,0.0,0.0,60.0,40.0
125,sudhanvasp/Sentiment-Analysis,20.0,0.0,20.0,60.0
126,dnzblgn/BART_Sentiment_Classification,0.0,0.0,20.0,80.0
127,MMG/xlm-roberta-base-sa-spanish,0.0,0.0,100.0,0.0
128,cardiffnlp/xlm-roberta-base-sentiment-multilingual,0.0,0.0,40.0,60.0
129,cardiffnlp/bertweet-base-sentiment,0.0,0.0,100.0,0.0
130,slisowski/stock_sentiment_hp,20.0,0.0,60.0,20.0
131,yj2773/hinglish11k-sentiment-analysis,0.0,0.0,80.0,20.0
132,bardsai/twitter-sentiment-pl-base,0.0,0.0,60.0,40.0
133,kinit/slovakbert-sentiment-twitter,20.0,0.0,20.0,60.0
134,clips/republic,0.0,0.0,40.0,60.0
135,Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,0.0,0.0,80.0,20.0
136,TFLai/turkish-bert-128k-sentiment,0.0,0.0,100.0,0.0
137,zabiullah/autotrain-customers_email_sentiment-3449294006,0.0,0.0,80.0,20.0
138,RogerKam/roberta_fine_tuned_sentiment_sst3,20.0,0.0,40.0,40.0
139,nikunjbjj/jd-resume-model,0.0,0.0,60.0,40.0
140,amphora/KorFinASC-XLM-RoBERTa,20.0,0.0,80.0,0.0
141,QuophyDzifa/Sentiment-Analysis-Model,20.0,0.0,60.0,20.0
142,Vasanth/bert-stock-sentiment-analyzer,20.0,0.0,60.0,20.0
143,dogruermikail/bert-fine-tuned-stock-sentiment-uncased,20.0,0.0,40.0,40.0
144,atowey01/hostel-reviews-sentiment-model,20.0,0.0,60.0,20.0
145,mr4/phobert-base-vi-sentiment-analysis,20.0,0.0,80.0,0.0
146,cardiffnlp/roberta-base-tweet-sentiment-en,0.0,0.0,80.0,20.0
147,ka05ar/banglabert-sentiment,0.0,0.0,80.0,20.0
148,l3cube-pune/MarathiSentiment,0.0,0.0,100.0,0.0
149,aisyahhrazak/distilbert-mooc-review-sentiment,0.0,0.0,100.0,0.0
150,gsl22/sentiment-analysis-v1,20.0,0.0,60.0,20.0
151,m3hrdadfi/albert-fa-base-v2-sentiment-digikala,0.0,0.0,60.0,40.0
152,sismetanin/sbert-ru-sentiment-rureviews,0.0,0.0,80.0,20.0
153,abnersampaio/sentiment3.5,0.0,0.0,100.0,0.0
154,arize-ai/distilbert_reviews_with_language_drift,20.0,0.0,60.0,20.0
155,deepset/bert-base-german-cased-sentiment-Germeval17,0.0,0.0,100.0,0.0
156,venetis/electra-base-discriminator-finetuned-3d-sentiment,20.0,0.0,80.0,0.0
157,Abubakari/finetuned-Sentiment-classfication-ROBERTA-model,20.0,0.0,80.0,0.0
158,Yah216/Sentiment_Analysis_CAMelBERT_msa_sixteenth_HARD,0.0,0.0,80.0,20.0
159,CultureBERT/roberta-large-hierarchy,0.0,0.0,60.0,40.0
160,deansaco/Roberta-base-financial-sentiment-analysis,0.0,0.0,80.0,20.0
161,bardsai/finance-sentiment-pl-fast,0.0,0.0,100.0,0.0
162,akoksal/bounti,0.0,0.0,80.0,20.0
163,NYTK/sentiment-ohb3-hubert-hungarian,0.0,0.0,100.0,0.0
164,sismetanin/sbert-ru-sentiment-krnd,0.0,0.0,100.0,0.0
165,CouchCat/ma_sa_v7_distil,0.0,0.0,100.0,0.0
166,raygx/GNePT-NepSA,0.0,0.0,80.0,20.0
167,papepipopu/trading_ai,0.0,0.0,100.0,0.0
168,pin/senda,0.0,0.0,100.0,0.0
169,Tobias/bert-base-uncased_English_Hotel_sentiment,0.0,0.0,80.0,20.0
170,CultureBERT/roberta-large-clan,0.0,0.0,100.0,0.0
171,KernAI/community-sentiment-bert,0.0,0.0,100.0,0.0
172,abnersampaio/sentiment3,0.0,0.0,100.0,0.0
173,cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,0.0,0.0,100.0,0.0
174,NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Roberta_Model,20.0,0.0,80.0,0.0
175,tanoManzo/roberta-attitude,20.0,0.0,80.0,0.0
176,veb/twitch-roberta-base-sentiment-latest,0.0,0.0,80.0,20.0
177,ikoghoemmanuell/finetuned_sentiment_modell,0.0,0.0,80.0,20.0
178,francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,0.0,0.0,80.0,20.0
179,bowipawan/bert-sentimental,0.0,0.0,100.0,0.0
180,cardiffnlp/xlm-roberta-base-tweet-sentiment-it,0.0,0.0,100.0,0.0
181,gr8testgad-1/sentiment_analysis,0.0,0.0,80.0,20.0
182,gyesibiney/covid-tweet-sentimental-Analysis-roberta,20.0,0.0,80.0,0.0
183,AGudden/xlm-roberta-base-finetuned-marc,20.0,0.0,80.0,0.0
184,Souvikcmsa/SentimentAnalysisDistillBERT,0.0,0.0,100.0,0.0
185,NewtonKimathi/Covid_Vaccine_Sentiment_Analysis_Bert_based_Model,20.0,0.0,80.0,0.0
186,cardiffnlp/xlm-v-base-tweet-sentiment-pt,0.0,0.0,100.0,0.0
187,seninoseno/rubert-base-cased-sentiment-study-feedbacks-solyanka,0.0,0.0,100.0,0.0
188,nickwong64/bert-base-uncased-finance-sentiment,0.0,0.0,60.0,40.0
189,xyu1163/Testmodel_sentiment_with_3_labels,20.0,0.0,80.0,0.0
190,maclean-connor96/feedier-french-books,0.0,0.0,80.0,20.0
191,SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,20.0,0.0,80.0,0.0
192,Beanz1935/finetuning-sentiment-model-3000-samples,20.0,0.0,80.0,0.0
193,IngeniousArtist/distilbert-finance,0.0,0.0,80.0,20.0
194,Sonny4Sonnix/movie_sentiment_trainer,0.0,0.0,80.0,20.0
195,cardiffnlp/roberta-base-sentiment,0.0,0.0,80.0,20.0
196,Hyeonseo/ko-finance_news_classifier,20.0,0.0,80.0,0.0
197,sismetanin/rubert-ru-sentiment-rureviews,0.0,0.0,80.0,20.0
198,Timothy1337/finetuning-sentiment-all_df,20.0,0.0,80.0,0.0
199,DSI/human-directed-sentiment,0.0,0.0,100.0,0.0
200,venetis/deberta-v3-base-finetuned-3d-sentiment,20.0,0.0,80.0,0.0
201,LondonStory/txlm-roberta-hindi-sentiment,0.0,0.0,60.0,40.0
202,ldeb/solved-finbert-tone,0.0,0.0,100.0,0.0
203,gabrielyang/finance_news_classifier-KR_v7,20.0,0.0,80.0,0.0
204,rohanrajpal/bert-base-en-hi-codemix-cased,0.0,0.0,40.0,60.0
205,Himanshusingh/finetunedfinbert-model,20.0,0.0,80.0,0.0
206,mtyrrell/CPU_Transport_GHG_Classifier,20.0,0.0,20.0,60.0
207,Cloudy1225/stackoverflow-roberta-base-sentiment,0.0,0.0,100.0,0.0
208,jayantapaul888/twitter-data-microsoft-deberta-base-mnli-sentiment-finetuned-memes,20.0,0.0,80.0,0.0
209,Theivaprakasham/sentence-transformers-paraphrase-MiniLM-L6-v2-twitter_sentiment,0.0,0.0,100.0,0.0
210,eevvgg/sentimenTw-political,0.0,0.0,20.0,80.0
211,techthiyanes/Bert_Bahasa_Sentiment,0.0,0.0,100.0,0.0
212,Elron/deberta-v3-large-sentiment,20.0,20.0,40.0,20.0
213,ErisGrey/my_models,0.0,0.0,100.0,0.0
214,francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf-cleaned-ds,20.0,0.0,80.0,0.0
215,gabrielkytz/finetuning-sentiment-model-3000-samples,20.0,0.0,80.0,0.0
216,cardiffnlp/xlm-v-base-tweet-sentiment-de,0.0,0.0,80.0,20.0
217,elozano/tweet_sentiment_eval,0.0,0.0,100.0,0.0
218,adam-chell/tweet-sentiment-analyzer,0.0,0.0,100.0,0.0
219,rohanrajpal/bert-base-codemixed-uncased-sentiment,20.0,0.0,40.0,40.0
220,jordankrishnayah/fullManifesto-ROBERTAsentiment2e,0.0,0.0,100.0,0.0
221,Yt99/SFinBERT,0.0,0.0,100.0,0.0
222,Venkatesh4342/bert-base-uncased-finetuned-fin,20.0,0.0,80.0,0.0
223,UholoDala/tweet_sentiments_analysis_bert,0.0,0.0,80.0,20.0
224,LYTinn/finetuning-sentiment-model-tweet-gpt2,0.0,0.0,80.0,20.0
225,HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,20.0,0.0,80.0,0.0
226,bardsai/finance-sentiment-pl-base,0.0,0.0,100.0,0.0
227,bright1/fine-tuned-twitter-Roberta-base-sentiment,20.0,0.0,80.0,0.0
228,francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,20.0,0.0,80.0,0.0
229,incredible45/News-Sentimental-model-Buy-Neutral-Sell,20.0,0.0,80.0,0.0
230,manvik28/FinBERT_Tuned,20.0,0.0,80.0,0.0
231,evendivil/finetuning-sentiment-model-3000-samples,20.0,0.0,80.0,0.0
232,ScriptEdgeAI/MarathiSentiment-Bloom-560m,0.0,0.0,100.0,0.0
233,Manauu17/enhanced_roberta_sentiments_es,0.0,0.0,100.0,0.0
234,HerbertAIHug/finetuned_sentiment_analysis_modell,0.0,0.0,100.0,0.0
235,sismetanin/xlm_roberta_large-ru-sentiment-rureviews,0.0,0.0,80.0,20.0
236,arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,20.0,0.0,60.0,20.0
237,raygx/BERT-NepSA-T2,0.0,0.0,80.0,20.0
238,francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,20.0,0.0,80.0,0.0
239,francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,20.0,0.0,80.0,0.0
240,francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,20.0,0.0,80.0,0.0
241,ruanchaves/mdeberta-v3-base-porsimplessent,0.0,0.0,80.0,20.0
242,raygx/distilGPT-NepSA,0.0,0.0,100.0,0.0
243,classla/bcms-bertic-parlasent-bcs-ter,0.0,20.0,0.0,80.0
244,Anthos23/FS-distilroberta-fine-tuned,0.0,0.0,100.0,0.0
245,luissgtorres/Bert_sentiment_analysis_Indata,20.0,0.0,80.0,0.0
246,warwickai/fin-perceiver,20.0,0.0,0.0,80.0
247,rohanrajpal/bert-base-en-es-codemix-cased,0.0,20.0,60.0,20.0
248,langecod/Financial_Phrasebank_RoBERTa,0.0,0.0,100.0,0.0
249,brema76/vaccine_event_it,0.0,0.0,80.0,20.0
250,kullackaan/sentiment-tweets,0.0,0.0,100.0,0.0
251,jayantapaul888/twitter-data-pysentimiento-robertuito-sentiment-finetuned-memes,20.0,0.0,80.0,0.0
252,santis2/phrasebank-sentiment-analysis,20.0,0.0,60.0,20.0
253,bardsai/finance-sentiment-de-base,0.0,0.0,40.0,60.0
254,everyl12/crisis_sentiment_roberta,0.0,0.0,80.0,20.0
255,cardiffnlp/xlm-roberta-base-tweet-sentiment-de,0.0,0.0,80.0,20.0
256,Venkatesh4342/distilbert-helpdesk-sentence-sentiment,20.0,0.0,80.0,0.0
257,mrcaelumn/yelp_restaurant_review_sentiment_analysis,0.0,0.0,100.0,0.0
258,cardiffnlp/xlm-v-base-tweet-sentiment-es,0.0,0.0,80.0,20.0
259,Kapiche/twitter-roberta-base-sentiment-latest,0.0,0.0,80.0,20.0
260,cardiffnlp/xlm-v-base-tweet-sentiment-it,0.0,0.0,80.0,20.0
261,bardsai/twitter-sentiment-pl-fast,0.0,0.0,80.0,20.0
262,cardiffnlp/xlm-roberta-base-tweet-sentiment-en,0.0,0.0,100.0,0.0
263,svalabs/twitter-xlm-roberta-bitcoin-sentiment,0.0,0.0,80.0,20.0
264,DingYao/autotrain-fbert-singlish-5-1943965533,0.0,0.0,100.0,0.0
265,bardsai/finance-sentiment-ja-base,0.0,0.0,100.0,0.0
266,DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,20.0,0.0,40.0,40.0
267,DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,20.0,0.0,40.0,40.0
268,cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,0.0,0.0,80.0,20.0
269,GhylB/Sentiment_Analysis_DistilBERT,0.0,0.0,100.0,0.0
270,meghanabhange/Hinglish-Bert-Class,0.0,0.0,100.0,0.0
271,Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_reviews_english_3,0.0,0.0,100.0,0.0
272,adnanakbr/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_on_200K_review,0.0,0.0,100.0,0.0
273,yanezh/twiiter_try4_fold2,0.0,0.0,100.0,0.0
274,intanm/fin-sa-post-trained-indobert-base-finnews-5,0.0,0.0,100.0,0.0
275,dhikaardianto/TiktokSentimentIndoBertTwitter,0.0,0.0,100.0,0.0
276,tyqiangz/indobert-lite-large-p2-smsa,20.0,0.0,60.0,20.0
277,Nelver28/sentiment-analysis-positive-mixed-negative,20.0,0.0,80.0,0.0
278,kartashoffv/vashkontrol-sentiment-rubert,20.0,0.0,60.0,20.0
279,zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,0.0,0.0,100.0,0.0
280,cardiffnlp/xlm-v-base-tweet-sentiment-fr,0.0,0.0,80.0,20.0
281,CK42/sentiment_analysis_sbcBI,0.0,0.0,100.0,0.0
282,adnanakbr/bert-base-multilingual-uncased-sentiment-fine_tuned_for_amazon_english_reviews_on_200K_review_v2,0.0,0.0,100.0,0.0
283,mirfan899/da_spacy_sentiment,0.0,0.0,100.0,0.0
284,cardiffnlp/xlm-v-base-tweet-sentiment-en,0.0,0.0,100.0,0.0
285,DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,20.0,0.0,80.0,0.0
286,TankuVie/bert-base-multilingual-uncased-vietnamese_sentiment_analysis,20.0,0.0,60.0,20.0
287,duwuonline/mymodel-classify-sentiment,0.0,0.0,100.0,0.0
288,Tobias/bert-base-german-cased_German_Hotel_sentiment,0.0,0.0,80.0,20.0
289,eevvgg/PaReS-sentimenTw-political-PL,0.0,0.0,80.0,20.0
290,venetis/distilroberta-base-finetuned-3d-sentiment,20.0,0.0,80.0,0.0
291,A-Funakoshi/bert-finetuned-multilingual-sentiments,0.0,0.0,100.0,0.0
292,devtanumisra/finetuning-sentiment-model-deberta-smote,0.0,0.0,100.0,0.0
293,sasha/autotrain-BERTBase-TweetEval-1281248996,0.0,0.0,80.0,20.0
294,cardiffnlp/mbert-base-tweet-sentiment-it,0.0,0.0,80.0,20.0
295,candra/indobertweet-sentiment2,20.0,0.0,80.0,0.0
296,Jonathan0528/bert-base-uncased-financial-news-sentiment,0.0,0.0,100.0,0.0
297,sismetanin/rubert_conversational-ru-sentiment-krnd,0.0,0.0,100.0,0.0
298,RogerB/kin-sentiC,20.0,0.0,60.0,20.0
299,Anthos23/my-awesome-model,0.0,0.0,100.0,0.0
300,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,0.0,0.0,100.0,0.0
301,course5i/SEAD-L-6_H-256_A-8-mnli,0.0,0.0,80.0,20.0
302,Narsil/finbert-slow,0.0,0.0,100.0,0.0
303,sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,0.0,0.0,100.0,0.0
304,FinScience/FS-distilroberta-fine-tuned,0.0,0.0,80.0,20.0
305,senfu/bert-base-uncased-top-pruned-mnli,0.0,0.0,100.0,0.0
306,ruanchaves/bert-base-portuguese-cased-porsimplessent,0.0,0.0,100.0,0.0
307,Cincin-nvp/NusaX-senti_XLM-R,0.0,0.0,100.0,0.0
308,rhythm00/HF_tutor,0.0,0.0,100.0,0.0
309,mlkorra/obgv-gender-bert-hi-en,0.0,0.0,100.0,0.0
310,Svetlana0303/Classfication_longformer,20.0,0.0,80.0,0.0
311,sara-nabhani/ML-ns-bert-base-uncased,0.0,0.0,100.0,0.0
312,yanezh/twiiter_try6_fold1,0.0,0.0,100.0,0.0
313,davidchiii/news-headlines,0.0,0.0,100.0,0.0
314,Hyeonseo/finance_news_classifier,20.0,0.0,80.0,0.0
315,dogruermikail/bert-fine-tuning-sentiment-stocks-analyis-uncased,0.0,0.0,80.0,20.0
316,finiteautomata/beto-headlines-sentiment-analysis,0.0,0.0,100.0,0.0
317,MavisAJ/Sentiment_analysis_roberta_model,0.0,0.0,100.0,0.0
318,cardiffnlp/xlm-v-base-tweet-sentiment-ar,0.0,0.0,100.0,0.0
319,cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,0.0,0.0,100.0,0.0
320,cardiffnlp/xlm-roberta-base-tweet-sentiment-es,0.0,0.0,100.0,0.0
321,benjaminbeilharz/bert-base-uncased-sentiment-classifier,0.0,0.0,100.0,0.0
322,oandreae/financial_sentiment_model,20.0,0.0,80.0,0.0
323,RogerKam/roberta_fine_tuned_sentiment_financial_news,20.0,0.0,80.0,0.0
324,UchihaMadara/phobert-finetuned-sentiment-analysis,20.0,0.0,80.0,0.0
325,Mawulom/Fine-Tuned-Bert_Base_Cased_Sentiment_Analysis,0.0,0.0,100.0,0.0
326,Abdelrahman-Rezk/emotion-english-distilroberta-base-fine_tuned_for_amazon_english_reviews_V03_on_100K_review,0.0,0.0,100.0,0.0
327,salohnana2018/ARABERT02-best-trail,0.0,0.0,100.0,0.0
328,neojex/testing,0.0,0.0,100.0,0.0
329,CultureBERT/roberta-large-adhocracy,0.0,0.0,100.0,0.0
330,yanezh/twiiter_try10_fold4,0.0,0.0,100.0,0.0
331,yanezh/twiiter_try15_fold3,20.0,0.0,80.0,0.0
332,Tejas3/distillbert_base_uncased_80,0.0,0.0,100.0,0.0
