model,empirical_te,empirical_amr,empirical_fp,reported_f1
seara/rubert-base-cased-russian-sentiment,0.5004541512898972,0.620337492376304,0.39127718878923373,0.77
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,0.2952462319290036,0.3762800554780155,0.25382639668248336,0.903
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,0.6261420742686691,0.6371149152077887,0.4906384408371644,0.771
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,0.6226355998513619,0.6084623266280188,0.3877808706503137,0.707
philschmid/distilbert-base-multilingual-cased-sentiment,0.33845449019624185,0.7892318095844811,0.2505424033748564,0.7648
IsaacSarps/sentiment_analysis,0.2298146117859201,0.21616046202872177,0.2506057335853646,0.7322
m3hrdadfi/albert-fa-base-v2-sentiment-multi,0.3071689145851095,0.31051527997895273,0.3109201069687124,0.7072
bardsai/finance-sentiment-zh-fast,0.39468130340269236,0.39990793452878354,0.6209862125674565,0.953
ramnika003/autotrain-sentiment_analysis_project-705021428,0.6274412939853818,0.6728728419070705,0.4969210739831413,0.763
sahri/indonesiasentiment,0.4970812885059417,0.43511691020007753,0.3305805278942738,0.9242
Venkatesh4342/xlm-roberta-helpdesk-sentiment,0.4033073765422793,0.48901103155992703,0.4037848093302112,0.9549
cardiffnlp/twitter-roberta-base-2021-124m-sentiment,0.8302831339993962,0.6578448469841885,0.570823003617346,0.7158353597
cardiffnlp/xlm-roberta-base-sentiment-multilingual,0.6741785613488757,0.5964276408133209,0.5777827955916573,0.6628627127
bardsai/twitter-sentiment-pl-base,0.5479368455261282,0.4599491180469108,0.3395451503084364,0.658
kinit/slovakbert-sentiment-twitter,0.4832886410819162,0.561478407789309,0.4118685216251717,0.671
clips/republic,0.36172408993285443,0.3947382001171165,0.33405379077303504,0.864
RogerKam/roberta_fine_tuned_sentiment_sst3,0.6042772255541841,0.7202048091515826,0.6688563744728194,0.7726
QuophyDzifa/Sentiment-Analysis-Model,0.21299056313316803,0.1929440423019371,0.24894929850822498,0.7304
cardiffnlp/roberta-base-tweet-sentiment-en,0.68495875149799,0.5914893332928736,0.6540872541811994,0.7012
gsl22/sentiment-analysis-v1,0.19912352930559005,0.20464673807050052,0.15002778106507328,0.9967
m3hrdadfi/albert-fa-base-v2-sentiment-digikala,0.22811216972341652,0.20871739605508388,0.18410086037370363,0.8174
arize-ai/distilbert_reviews_with_language_drift,0.45668431695928025,0.8364369821419504,0.36221052438360957,0.8167
venetis/electra-base-discriminator-finetuned-3d-sentiment,0.6664070344590091,0.5422638470957456,0.7144604367197577,0.7864
bardsai/finance-sentiment-pl-fast,0.36646263840072807,0.321639915996527,0.6775771963238885,0.933
akoksal/bounti,0.41358352879497745,0.33914619240776567,0.33830363887433484,0.701
sismetanin/sbert-ru-sentiment-krnd,0.40052897706255547,0.48481255502557524,0.3642249089570055,0.7136
pin/senda,0.49889012577665665,0.4671448123800858,0.31497739413791603,0.73
cardiffnlp/bert-base-multilingual-cased-sentiment-multilingual,0.6375629233835718,0.5785831187488059,0.5085098767541318,0.6168385894
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf,0.36605692572796117,0.3618842146228092,0.2614954810230497,0.5652
cardiffnlp/xlm-roberta-base-tweet-sentiment-it,0.6300557568714481,0.5256278858625035,0.4757277305510965,0.6294
gr8testgad-1/sentiment_analysis,0.21594839722571066,0.17462487558621972,0.2498998468245552,0.6962
Souvikcmsa/SentimentAnalysisDistillBERT,0.630931334542686,0.6851166759801691,0.5500971006783527,0.7997458031
cardiffnlp/xlm-v-base-tweet-sentiment-pt,0.5902062851704143,0.5778554006985523,0.6150633499300034,0.666
nickwong64/bert-base-uncased-finance-sentiment,0.33870458429268907,0.4043179240428107,0.978512834165425,0.854358
xyu1163/Testmodel_sentiment_with_3_labels,0.5796906611351959,0.6769256307590403,0.5555882303677152,0.8543
SiddharthaM/twitter-data-bert-base-multilingual-uncased-hindi-only-memes,0.3712035157135685,0.4292956948731073,0.280585130981944,0.906
Beanz1935/finetuning-sentiment-model-3000-samples,0.22951003473749362,0.23840480658923346,0.32622960804490475,0.64
cardiffnlp/roberta-base-sentiment,0.8150895529216454,0.6596175589912426,0.5974077279172327,0.7097736528
sismetanin/rubert-ru-sentiment-rureviews,0.3159614726650506,0.6421702152230626,0.2942008275983425,0.74
Timothy1337/finetuning-sentiment-all_df,0.774745063239763,0.5616529825145326,0.47076134947909914,0.7683
venetis/deberta-v3-base-finetuned-3d-sentiment,0.6558243377216205,0.5693265684788035,0.6543779926497715,0.8111
LondonStory/txlm-roberta-hindi-sentiment,0.419065920911845,0.5013604110456588,0.3007345580874992,0.89
rohanrajpal/bert-base-en-hi-codemix-cased,0.3138679686547659,0.4837779596989467,0.15324575471687107,0.5583
mtyrrell/CPU_Transport_GHG_Classifier,0.22943407687115577,0.24739566857254588,0.17148936923893096,0.9162
jayantapaul888/twitter-data-microsoft-deberta-base-mnli-sentiment-finetuned-memes,0.5323978141091988,0.4731342514228021,0.43984327642359994,0.9296
eevvgg/sentimenTw-political,0.6055513372107738,0.6577534451420081,0.4624509724256747,0.712
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf-cleaned-ds,0.5208040380669786,0.5539944408614393,0.46376229491833837,0.596
cardiffnlp/xlm-v-base-tweet-sentiment-de,0.5870235935734787,0.5386281266129683,0.26360223054822524,0.7351
Venkatesh4342/bert-base-uncased-finetuned-fin,0.49820910922862444,0.4873565594139621,0.9776597549948157,0.8902
UholoDala/tweet_sentiments_analysis_bert,0.215274718279287,0.19072817173629045,0.2531656998140536,0.7618
LYTinn/finetuning-sentiment-model-tweet-gpt2,0.4233330970859417,0.47836766171205786,0.3356025729351709,0.6908
HerbertAIHug/Finetuned-Roberta-Base-Sentiment-identifier,0.23918992135163464,0.2504962665318168,0.2546200730297983,0.6622
bardsai/finance-sentiment-pl-base,0.276092915595056,0.3012616076250132,0.4322659709993874,0.968
bright1/fine-tuned-twitter-Roberta-base-sentiment,0.22363722528537514,0.25132406545544256,0.24897831491440017,0.7909
francisco-perez-sorrosal/distilbert-base-multilingual-cased-finetuned-with-spanish-tweets-clf,0.5281038122999138,0.5627021106868599,0.4761609163148561,0.598
incredible45/News-Sentimental-model-Buy-Neutral-Sell,0.2774713946643329,0.3824228765352978,0.4341086479532796,0.4431
evendivil/finetuning-sentiment-model-3000-samples,0.6496023406820585,0.7183948610795704,0.6114202544497446,0.804
sismetanin/xlm_roberta_large-ru-sentiment-rureviews,0.5233751730823185,0.8204206641488764,0.4333416776701145,0.822
arjuntheprogrammer/distilbert-base-multilingual-cased-sentiment-2,0.34815233537144624,0.807795084767109,0.2767932971957086,0.7614
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,0.4811986683315894,0.5497088929217767,0.35530417743491644,0.6519
francisco-perez-sorrosal/distilbert-base-uncased-finetuned-with-spanish-tweets-clf-cleaned-ds,0.3470062465541706,0.3476890101712585,0.2599445275005347,0.5578
francisco-perez-sorrosal/dccuchile-distilbert-base-spanish-uncased-finetuned-with-spanish-tweets-clf,0.43334989097258986,0.5301861200774277,0.33634499287748604,0.6612
classla/bcms-bertic-parlasent-bcs-ter,0.44659345419020774,0.527022320731509,0.34341158460670523,0.794
warwickai/fin-perceiver,0.34282401833880605,0.4050939221143404,0.9465966527324102,0.8416
rohanrajpal/bert-base-en-es-codemix-cased,0.27427098486901974,0.21180882210429183,0.2668832745222713,0.717
bardsai/finance-sentiment-de-base,0.2130750860383657,0.17058048876178,0.2778221462775532,0.955
cardiffnlp/xlm-roberta-base-tweet-sentiment-de,0.6204349982285418,0.5559213941741931,0.31515280257561734,0.731
Venkatesh4342/distilbert-helpdesk-sentence-sentiment,0.5150868261076528,0.5348848023869316,0.581770455866677,0.9697
cardiffnlp/xlm-v-base-tweet-sentiment-es,0.5818154442556044,0.6124698697464291,0.6072504960181673,0.607
cardiffnlp/xlm-v-base-tweet-sentiment-it,0.6313712320710146,0.5433753634033851,0.6125338718465613,0.702
bardsai/twitter-sentiment-pl-fast,0.5934807899216229,0.4450813586338753,0.34494434404467783,0.57
cardiffnlp/xlm-roberta-base-tweet-sentiment-en,0.6731913094716431,0.5407919773954287,0.6308185311827911,0.684
DingYao/autotrain-fbert-singlish-5-1943965533,0.20999159607084503,0.17286862556163984,0.14651785191524144,0.766
DunnBC22/distilbert-base-uncased-Financial_Sentiment_Analysis,0.45573976916814507,0.408075788811483,0.9338356630730485,0.8564
DunnBC22/distilbert-base-uncased-US_Airline_Twitter_Sentiment_Analysis,0.5685503119928591,0.5189434061531253,0.48093328049414713,0.8471
cardiffnlp/xlm-roberta-base-tweet-sentiment-fr,0.5883584649019165,0.5253529826875969,0.5436661672708654,0.7178
tyqiangz/indobert-lite-large-p2-smsa,0.25387085866876863,0.32096121759039054,0.2562447333275588,0.91
kartashoffv/vashkontrol-sentiment-rubert,0.40441984166049094,0.5013668613034293,0.3723602218512223,0.9461
zainalq7/autotrain-NLU_crypto_sentiment_analysis-754123133,0.4010885791055392,0.48757784226934103,0.4004346102662764,0.772
cardiffnlp/xlm-v-base-tweet-sentiment-fr,0.38568057291250774,0.48996062029632115,0.350497763789602,0.688
cardiffnlp/xlm-v-base-tweet-sentiment-en,0.5957874877189945,0.5521336311023407,0.5286177517405993,0.63935
DunnBC22/bert-base-uncased-Twitter_Sentiment_Analysis_v2,0.5099336090248833,0.4756701812833027,0.2438430329836169,0.8007
eevvgg/PaReS-sentimenTw-political-PL,0.30908480338113,0.3377939587279481,0.2634176168598697,0.944
venetis/distilroberta-base-finetuned-3d-sentiment,0.6320015464184608,0.5421960764748356,0.6664202063558117,0.7474
devtanumisra/finetuning-sentiment-model-deberta-smote,0.5838840226394723,0.6207670474451397,0.423543322848045,0.7215
sasha/autotrain-BERTBase-TweetEval-1281248996,0.7643447162215634,0.6293719981026418,0.46307845133375913,0.719
cardiffnlp/mbert-base-tweet-sentiment-it,0.5589605613048122,0.4828416852611877,0.4636714320992015,0.59945
RogerB/kin-sentiC,0.43221329974078176,0.35683284912549373,0.27338178643313205,0.7066
sairahul5223/autotrain-auto-train-intent-classification-20220928-1584756071,0.6085751112501692,0.588535440387527,0.33947373152980637,0.618
FinScience/FS-distilroberta-fine-tuned,0.4591877790707016,0.5774370162740082,0.8067286984517593,0.76
cardiffnlp/xlm-v-base-tweet-sentiment-ar,0.521305858041731,0.46734540556783494,0.3573076336706407,0.5983
cardiffnlp/xlm-roberta-base-tweet-sentiment-ar,0.6042965367079609,0.5059909329523397,0.4577451832178239,0.6633
cardiffnlp/xlm-roberta-base-tweet-sentiment-es,0.6388842472829115,0.6165118873762636,0.6328997927883738,0.6898
RogerKam/roberta_fine_tuned_sentiment_financial_news,0.4086550209393392,0.6029425970710495,0.8689782943708201,0.8865
yanezh/twiiter_try15_fold3,0.2166228912612914,0.09630688394141422,0.27072842047701917,0.9805
hazrulakmal/bert-base-uncased-finetuned,0.3689175291649455,0.5132942738222264,0.9544359760824515,0.8557
bvint/autotrain-sphere-lecture-demo-1671659193,0.4006400581440399,0.4723207949555814,0.21084132869675207,0.478
DingYao/autotrain-fbert-singlish-1755361190,0.20869348728390072,0.17715611748240145,0.14762300388816155,0.832
hazrulakmal/benchmark-finetuned-distilbert,0.31612561877391365,0.3474600796701206,0.8254396320246999,0.8214
ultraleow/cloud4bert,0.5841493698084933,0.5517679395105395,0.31805417240577116,0.9402
BramVanroy/bert-base-multilingual-cased-hebban-reviews,0.33749494849665257,0.5296588200293298,0.37836889061461637,0.7821329848
DingYao/autotrain-fbert-singlish-2-1937065404,0.21035354943859094,0.17388236289048342,0.14685665866642075,0.717
DunnBC22/fnet-large-Financial_Sentiment_Analysis_v3,0.4710179652181193,0.5385651589894511,0.8496062180421263,0.7369
sismetanin/rubert_conversational-ru-sentiment-rureviews,0.39373724205966965,0.4242511725547827,0.32322936224061394,0.7731
DunnBC22/fnet-base-Financial_Sentiment_Analysis,0.37947575104545156,0.37307405052034626,0.7126845617532823,0.7472
bekbote/autotrain-dl-phrasebank-53436126044,0.27543111533657444,0.28787052393642437,0.827057040139819,0.97
debashish68/roberta-sent-generali,0.4089345271779034,0.4082937453999014,0.9793462277402406,0.9104
gabrielkytz/novo,0.33929905675256394,0.45919831634967284,0.19772559615218974,0.6997
sasha/autotrain-RobertaBaseTweetEval-1281048990,0.7949724753872381,0.6490275677348173,0.5608403292516554,0.729
raoh/yiran-nlp4,0.27718984287715315,0.2287024176303082,0.22958388158776702,0.932
BeChi87/train_model_Lastest_21,0.17331751954074112,0.16666666666666666,0.14634670102539324,0.88
yanezh/twiiter_try15_fold4,0.2084293981719171,0.10454908968155761,0.2658963723876317,0.97
AlonCohen/RuSentNE-test,0.5518986042856141,0.6444121754949155,0.5292338352529579,0.231
salohnana2018/MARBERTV02ABSAnew,0.17331751954074112,0.16666666666666666,0.14634670102539324,0.43
niksmer/RoBERTa-RILE,0.32824000297357014,0.3325800630814472,0.33252578089464346,0.23
chrommium/sbert_large-finetuned-sent_in_news_sents_3lab,0.21173035894952785,0.17531760506945482,0.2627909589813631,0.211
intanm/fin-sa-post-trained-indobert-base-finnews-p2-001,0.23548042478226164,0.2561094538506847,0.3593054017275176,0.341
BramVanroy/xlm-roberta-base-hebban-reviews,0.4185700556751204,0.706784265073518,0.4114657337719973,0.321
yanezh/twiiter_try11_fold3,0.2150472304701989,0.09425458107410177,0.2796934564426808,0.231
israel/testing_model,0.2096561300708798,0.16666666666666666,0.2484573894282632,0.42
sasha/autotrain-BERTBase-TweetEval-1281248998,0.7627340965005717,0.6448247391107501,0.45047573919313794,0.718
midwinter73/dipterv6,0.2512962854422235,0.20921396928133884,0.88379922682949,0.9907
sasha/autotrain-DistilBERT-TweetEval-1281148991,0.8033213685409321,0.669219051074219,0.5622375734118443,0.61
philschmid/finbert-tone-endpoint-ds,0.3729116885747201,0.4955340104418973,0.7514663156186394,0.621
intanm/baseline_fin_sa_60,0.20974265331443728,0.16666765873606393,0.2494436676964739,0.634
aXhyra/presentation_sentiment_1234567,0.8268014967968144,0.6556304637713944,0.5616763332221398,0.211
Pendo/finetuned-Sentiment-classfication-ROBERTA-Base-model,0.22037612416080243,0.1880450518417273,0.2502588238139068,0.321
sismetanin/rubert_conversational-ru-sentiment-sentirueval2016,0.32565968076286883,0.4570463602407037,0.32417519705264003,0.788
cardiffnlp/mbert-base-tweet-sentiment-ar,0.4674891692685064,0.3116765669238308,0.3434674038574801,0.834
l3cube-pune/marathi-sentiment-subtitles,0.5898040015188594,0.565295212278195,0.5018775751348297,0.42
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-test1,0.21368153958611966,0.17186623522955277,0.2570802255326217,0.709
Ausbel/Vaccine-tweet-sentiments-analysis-model-2,0.32488862333218377,0.32808158648349633,0.27052230642502534,0.897
nlp-chula/sentiment-finnlp-th,0.2096561300708798,0.16666666666666666,0.2484573894282632,1.1432
Psunrise/finetuning-customer-sentiment-model-300-samples,0.31028833379790505,0.2795237362422182,0.24834908714230222,0.5949
lucaordronneau/twitter-roberta-base-sentiment-latest-finetuned-FG-SINGLE_SENTENCE-NEWS,0.254511704401969,0.2190053045325149,0.28286007311109157,0.774
hazrulakmal/distilbert-optimised-finetuned-financial-sentiment,0.41126340706922004,0.45305713859708935,0.9475424745977638,0.752
sakasa007/finetuning-sentiment-text-mining,0.7084410119856077,0.6964724529977538,0.6225162029964197,1.36
memotirre90/Equipo16_gpt2-HotelSentiment,0.30216486627445194,0.26924532240020344,0.3439865408308551,0.745
yanezh/twiiter_try11_fold2,0.21186234083521369,0.10318213100937197,0.2733440145154186,0.666
dshin/my_awesome_model,0.22179780527032442,0.20231779710502998,0.14903304362242917,0.835
intanm/mlm_v1_20230327_fin_sa_20,0.20984698350021871,0.16672615978379757,0.34045825685432135,0.874
yanezh/twiiter_try15_fold2,0.22151583131634153,0.11121109386241464,0.27162088789088396,0.986
intanm/mlm_v1_20230327_fin_sa_70,0.20998365581834647,0.16666666666666666,0.3018058088173569,0.742
sasha/autotrain-DistilBERT-TweetEval-1281148992,0.8012631567346841,0.6616271446125713,0.5587438625055688,0.606
madmancity/bert2,0.4678184068855948,0.4875252359252511,0.42029418931206336,0.527
sasha/autotrain-RobertaBaseTweetEval-1281048986,0.7309657330805276,0.6482124022463839,0.44306845059925903,0.592
