,model,Ouput,_id,downloads,likes,architectures,datasets,language,metrics,pipeline_tag,lastModified,tags,#classes,is_sa
112,EMBEDDIA/rubert-tweetsentiment,"['Positive', 'Neutral', 'Negative']",621ffdc036468d709f1752de,72.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-07-09T14:36:23.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'region:us']",3,y
113,ramnika003/autotrain-sentiment_analysis_project-705021428,"['positive', 'neutral', 'negative']",624c093e1fb0c140d4e984e4,67.0,0.0,['XLMRobertaForSequenceClassification'],['ramnika003/autotrain-data-sentiment_analysis_project'],unk,,text-classification,2022-04-05T09:23:07.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'unk', 'dataset:ramnika003/autotrain-data-sentiment_analysis_project', 'autotrain', 'co2_eq_emissions', 'region:us']",3,y
114,pysentimiento/roberta-es-sentiment,"['POS', 'NEU', 'NEG']",641cf82db54f6cf02b045bfe,67.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-03-24T01:10:45.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y
115,Softechlb/Sent_analysis_CVs,"['positive', 'neutral', 'negative']",649e7fbf5379dc792b8663a8,67.0,0.0,['DistilBertForSequenceClassification'],['tyqiangz/multilingual-sentiments'],"['en', 'ar', 'de', 'es', 'fr', 'ja', 'zh', 'id', 'hi', 'it', 'ms', 'pt']",,text-classification,2023-07-04T06:23:50.000Z,"['transformers', 'pytorch', 'safetensors', 'distilbert', 'text-classification', 'en', 'ar', 'de', 'es', 'fr', 'ja', 'zh', 'id', 'hi', 'it', 'ms', 'pt', 'dataset:tyqiangz/multilingual-sentiments', 'sentiment-analysis', 'zero-shot-distillation', 'distillation', 'zero-shot-classification', 'debarta-v3', 'license:apache-2.0', 'region:us']",3,y
116,mdeniz1/turkish-sentiment-analysis-bert-base-turkish-uncased,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64f6f3a810a01dc75c78e237,66.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-09-05T09:24:08.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'generated_from_keras_callback', 'license:mit', 'has_space', 'region:us']",3,y
117,ganeshkharad/gk-hinglish-sentiment,"['LABEL_2', 'LABEL_0', 'LABEL_1']",621ffdc136468d709f17b356,65.0,4.0,['BertForSequenceClassification'],['sail'],,,text-classification,2023-09-20T08:58:03.000Z,"['transformers', 'pytorch', 'jax', 'safetensors', 'bert', 'text-classification', 'dataset:sail', 'sentiment', 'multilingual', 'hindi codemix', 'hinglish', 'license:apache-2.0', 'has_space', 'region:us']",3,y
118,akahana/indonesia-sentiment-roberta,"['POSITIF', 'NETRAL', 'NEGATIF']",621ffdc136468d709f1787b2,65.0,0.0,['RobertaForSequenceClassification'],,id,,text-classification,2021-12-07T04:26:11.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'id', 'region:us']",3,y
119,sahri/indonesiasentiment,"['positive', 'negative', 'neutral']",621ffdc136468d709f17fff2,64.0,0.0,['RobertaForSequenceClassification'],['indonlu'],id,,text-classification,2022-01-17T04:50:03.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'id', 'dataset:indonlu', 'arxiv:1907.11692', 'indonesian-roberta-base-sentiment-classifier', 'license:mit', 'region:us']",3,y
120,Venkatesh4342/xlm-roberta-helpdesk-sentiment,"['Positive', 'Neutral', 'Negative']",64fd72fe9132c7f62a3fc617,64.0,0.0,['XLMRobertaForSequenceClassification'],,,"['accuracy', 'f1']",text-classification,2023-09-10T10:04:31.000Z,"['transformers', 'pytorch', 'tensorboard', 'xlm-roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
121,KernAI/stock-news-distilbert,"['positive', 'neutral', 'negative']",646a27403721aab2edf39d10,62.0,10.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-07-06T11:25:40.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'has_space', 'region:us']",3,y
122,CAMeL-Lab/bert-base-arabic-camelbert-ca-sentiment,"['positive', 'neutral', 'negative']",621ffdc036468d709f174dec,61.0,2.0,['BertForSequenceClassification'],,['ar'],,text-classification,2021-10-17T11:15:12.000Z,"['transformers', 'pytorch', 'tf', 'bert', 'text-classification', 'ar', 'arxiv:2103.06678', 'license:apache-2.0', 'region:us']",3,y
123,Cristian-dcg/beto-sentiment-analysis-finetuned-onpremise,"['POS', 'NEU', 'NEG']",629532cdb9d93a4199088c5e,61.0,0.0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2022-06-07T22:36:41.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
124,cardiffnlp/twitter-roberta-base-2021-124m-sentiment,"['positive', 'neutral', 'negative']",6388ae1dc0b95b2c29359fbc,54.0,0.0,['RobertaForSequenceClassification'],['tweet_eval'],,"['f1', 'accuracy']",text-classification,2022-12-02T17:52:49.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'dataset:tweet_eval', 'model-index', 'region:us']",3,y
125,RashidNLP/Amazon-Deberta-Base-Sentiment,"['Positive', 'Neutral', 'Negative']",645a0616b7bfdeec4f7660c7,53.0,0.0,['DebertaV2ForSequenceClassification'],['amazon_reviews_multi'],['en'],,text-classification,2023-06-20T12:06:41.000Z,"['transformers', 'pytorch', 'safetensors', 'deberta-v2', 'text-classification', 'en', 'dataset:amazon_reviews_multi', 'Text Classification', 'Pytorch', 'Sentiment_Analysis', 'Deberta', 'license:mit', 'region:us']",3,y
126,sudhanvasp/Sentiment-Analysis,"['positive', 'neutral', 'negative']",650af7e3fac8d3e64a965c84,51.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-09-21T18:19:27.000Z,"['transformers', 'pytorch', 'tf', 'roberta', 'text-classification', 'region:us']",3,y
127,dnzblgn/BART_Sentiment_Classification,"['LABEL_2', 'LABEL_1', 'LABEL_0']",649b97202ddbc93209018c09,50.0,2.0,['BartForSequenceClassification'],,,,text-classification,2023-06-28T02:41:00.000Z,"['transformers', 'pytorch', 'bart', 'text-classification', 'region:us']",3,y
128,MMG/xlm-roberta-base-sa-spanish,"['Positive', 'Neutral', 'Negative']",62458b9407ec3685e58ef486,50.0,1.0,['XLMRobertaForSequenceClassification'],,['es'],,text-classification,2023-06-05T08:18:52.000Z,"['transformers', 'pytorch', 'safetensors', 'xlm-roberta', 'text-classification', 'es', 'region:us']",3,y
129,cardiffnlp/xlm-roberta-base-sentiment-multilingual,"['positive', 'neutral', 'negative']",63881cfd1901766b88072261,50.0,3.0,['XLMRobertaForSequenceClassification'],['cardiffnlp/tweet_sentiment_multilingual'],,"['f1', 'accuracy']",text-classification,2022-12-01T03:24:46.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'dataset:cardiffnlp/tweet_sentiment_multilingual', 'model-index', 'region:us']",3,y
130,cardiffnlp/bertweet-base-sentiment,"['LABEL_2', 'LABEL_1', 'LABEL_0']",621ffdc136468d709f179e24,49.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2021-05-20T14:50:57.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'roberta', 'text-classification', 'region:us']",3,y
131,slisowski/stock_sentiment_hp,"['neutral', 'positive', 'negative']",637c4fd99495870ef76ea7e0,49.0,1.0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2022-11-23T14:39:34.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'region:us']",3,y
132,yj2773/hinglish11k-sentiment-analysis,"['Positive', 'Neutral', 'Negative']",624f0d1773606fe501ffe436,48.0,5.0,['BertForSequenceClassification'],,"['en', 'ur', 'hi', 'multilingual']",,text-classification,2023-05-07T19:33:06.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'en', 'ur', 'hi', 'multilingual', 'license:afl-3.0', 'has_space', 'region:us']",3,y
133,bardsai/twitter-sentiment-pl-base,"['positive', 'neutral', 'negative']",6388c82a2a897944ea59530b,47.0,1.0,['BertForSequenceClassification'],['datasets/tweet_eval'],pl,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2023-07-19T11:45:56.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'pl', 'dataset:datasets/tweet_eval', 'sentiment-analysis', 'twitter', 'region:us']",3,y
134,giotvr/portuguese-nli-3-labels,"[0, 1, 2]",64eaa565fb77a3eaa7f7aab2,42.0,0.0,['XLMRobertaForSequenceClassification'],['assin'],['pt'],['accuracy'],text-classification,2023-09-09T02:06:15.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'pt', 'dataset:assin', 'arxiv:1911.02116', 'arxiv:1910.09700', 'nli', 'region:us']",3,y
135,mrfakename/distilroberta-financial-news-tweets-sentiment-analysis,"['negative', 'positive', 'neutral']",64a9da7581dda4817259a7e4,42.0,0.0,['RobertaForSequenceClassification'],"['financial_phrasebank', 'zeroshot/twitter-financial-news-sentiment']",['en'],,text-classification,2023-09-11T19:22:32.000Z,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'en', 'dataset:financial_phrasebank', 'dataset:zeroshot/twitter-financial-news-sentiment', 'finance', 'license:apache-2.0', 'region:us']",3,y
136,kinit/slovakbert-sentiment-twitter,"['1', '0', '-1']",621ffdc136468d709f17d1f9,42.0,2.0,['RobertaForSequenceClassification'],,['sk'],['f1'],text-classification,2023-05-31T09:12:44.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'sk', 'arxiv:2109.15254', 'twitter', 'sentiment-analysis', 'license:cc', 'region:us']",3,y
137,clips/republic,"['pos', 'neg', 'neu']",6286143ad238eeca5886481a,41.0,0.0,['BertForSequenceClassification'],,['nl'],,text-classification,2023-04-27T13:53:55.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'nl', 'text classification', 'sentiment analysis', 'domain adaptation', 'region:us']",3,y
138,Sonny4Sonnix/twitter-roberta-base-sentimental-analysis-of-covid-tweets,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64b7e13e30a0b8ff60274539,41.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2023-07-19T13:27:52.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'has_space', 'region:us']",3,y
139,TFLai/turkish-bert-128k-sentiment,"['LABEL_2', 'LABEL_1', 'LABEL_0']",6494c0779f395caf5338652c,39.0,1.0,['BertForSequenceClassification'],,,,text-classification,2023-07-02T21:01:23.000Z,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'license:mit', 'region:us']",3,y
140,zabiullah/autotrain-customers_email_sentiment-3449294006,"['Satisfied', 'Unsatisfied', 'Neutral ']",63e9efd6073286a5ab47a69e,39.0,0.0,['BertForSequenceClassification'],['zabiullah/autotrain-data-customers_email_sentiment'],['en'],,text-classification,2023-02-13T08:19:28.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'en', 'dataset:zabiullah/autotrain-data-customers_email_sentiment', 'autotrain', 'co2_eq_emissions', 'region:us']",3,y
141,RogerKam/roberta_fine_tuned_sentiment_sst3,"['LABEL_2', 'LABEL_1', 'LABEL_0']",62a1f8b5a12f9cb8a15925ee,39.0,0.0,['RobertaForSequenceClassification'],,,['accuracy'],text-classification,2022-06-09T14:06:00.000Z,"['transformers', 'pytorch', 'tensorboard', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'region:us']",3,y
142,nikunjbjj/jd-resume-model,"['POS', 'NEU', 'NEG']",621ffdc136468d709f17e763,38.0,0.0,['BertForSequenceClassification'],,,,text-classification,2021-05-20T01:50:03.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'region:us']",3,y
143,amphora/KorFinASC-XLM-RoBERTa,"['neutral', 'positive', 'negative']",63bbcc3cebc6b720d6011de6,37.0,2.0,['XLMRobertaForSequenceClassification'],,ko,,text-classification,2023-01-11T02:08:37.000Z,"['transformers', 'pytorch', 'xlm-roberta', 'text-classification', 'ko', 'arxiv:2301.03136', 'XLM-RoBERTa', 'KorFin-ASC', 'financial-sentiment-analysis', 'sentiment-analysis', 'license:apache-2.0', 'region:us']",3,y
144,QuophyDzifa/Sentiment-Analysis-Model,"['LABEL_1', 'LABEL_2', 'LABEL_0']",64f4b3684937e64ca4f32c69,36.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-09-17T22:46:05.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us', 'has_space']",3,y
145,Vasanth/bert-stock-sentiment-analyzer,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",64ae9273098720e214e5816b,33.0,0.0,['BertForSequenceClassification'],,,['accuracy'],text-classification,2023-07-15T14:41:03.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
146,dogruermikail/bert-fine-tuned-stock-sentiment-uncased,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64909e8f189ba64b841f2ae9,33.0,0.0,['BertForSequenceClassification'],,['tr'],"['accuracy', 'f1', 'precision', 'recall']",text-classification,2023-06-19T22:39:00.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'tr', 'region:us']",3,y
147,atowey01/hostel-reviews-sentiment-model,"['POSITIVE', 'OTHER', 'NEGATIVE']",63cc03c2df168f678c6073f3,32.0,0.0,['DistilBertForSequenceClassification'],,,,text-classification,2023-01-21T16:09:43.000Z,"['transformers', 'tf', 'distilbert', 'text-classification', 'generated_from_keras_callback', 'license:apache-2.0', 'region:us']",3,y
148,mr4/phobert-base-vi-sentiment-analysis,"['Tích cực', 'Trung tính', 'Tiêu cực']",641412736127c9214677dc9e,32.0,1.0,['RobertaForSequenceClassification'],,['vi'],,text-classification,2023-03-20T06:55:54.000Z,"['transformers', 'pytorch', 'safetensors', 'roberta', 'text-classification', 'vi', 'Vietnamese', 'sentiment', 'analysis', 'region:us']",3,y
149,cardiffnlp/roberta-base-tweet-sentiment-en,"['positive', 'neutral', 'negative']",643d890e317127fb1e2ea100,32.0,1.0,['RobertaForSequenceClassification'],,,,text-classification,2023-04-17T18:01:28.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'region:us']",3,y
150,ka05ar/banglabert-sentiment,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64ddeea2931a8e1c2c5a50dd,32.0,0.0,['ElectraForSequenceClassification'],,['bn'],"['accuracy', 'f1']",text-classification,2023-08-26T01:21:49.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'electra', 'text-classification', 'bn', 'license:mit', 'region:us']",3,y
151,l3cube-pune/MarathiSentiment,"['Neutral', 'Positive', 'Negative']",621ffdc136468d709f17d487,32.0,2.0,['AlbertForSequenceClassification'],['L3CubeMahaSent'],mr,,text-classification,2023-07-07T04:01:02.000Z,"['transformers', 'pytorch', 'tf', 'safetensors', 'albert', 'text-classification', 'mr', 'dataset:L3CubeMahaSent', 'arxiv:2103.11408', 'license:cc-by-4.0', 'region:us']",3,y
152,aisyahhrazak/distilbert-mooc-review-sentiment,"['LABEL_0', 'LABEL_2', 'LABEL_1']",64e202b14f7cb0b82b26975a,31.0,0.0,['DistilBertForSequenceClassification'],,['en'],,text-classification,2023-09-15T00:43:46.000Z,"['transformers', 'tf', 'distilbert', 'text-classification', 'en', 'region:us']",3,y
153,gsl22/sentiment-analysis-v1,"['irritation', 'sadness', 'anguish']",64f2053973461a8c3abab4e4,30.0,0.0,['DistilBertForSequenceClassification'],,,"['accuracy', 'precision', 'recall', 'f1']",text-classification,2023-09-01T18:29:21.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'distilbert', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
154,m3hrdadfi/albert-fa-base-v2-sentiment-digikala,"['recommended', 'no_idea', 'not_recommended']",621ffdc136468d709f17dac4,29.0,0.0,['AlbertForSequenceClassification'],,fa,,text-classification,2020-12-26T08:48:33.000Z,"['transformers', 'pytorch', 'tf', 'albert', 'text-classification', 'fa', 'license:apache-2.0', 'region:us']",3,y
155,tkurtulus/TurkishAirlines-SentimentAnalysisModel,"['negative', 'neutral', 'positive']",63cea13e8ce02f2ec8affb9c,28.0,0.0,['ConvBertForSequenceClassification'],['tkurtulus/thycomments'],"['tr', 'en']",['accuracy'],text-classification,2023-01-30T14:51:41.000Z,"['transformers', 'pytorch', 'convbert', 'text-classification', 'tr', 'en', 'dataset:tkurtulus/thycomments', 'autotrain', 'co2_eq_emissions', 'has_space', 'region:us']",3,y
156,sismetanin/sbert-ru-sentiment-rureviews,"['LABEL_2', 'LABEL_0', 'LABEL_1']",621ffdc136468d709f1805c1,28.0,3.0,['BertForSequenceClassification'],,['ru'],,text-classification,2021-05-20T06:35:54.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'ru', 'sentiment analysis', 'Russian', 'region:us']",3,y
157,abnersampaio/sentiment3.5,"['LABEL_2', 'LABEL_0', 'LABEL_1']",6507781f0761d34d28fc22a4,28.0,0.0,['BertForSequenceClassification'],,,,text-classification,2023-09-17T22:14:08.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'license:mit', 'region:us']",3,y
158,arize-ai/distilbert_reviews_with_language_drift,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",6296fd34b493a00f94624b78,27.0,0.0,['DistilBertForSequenceClassification'],['ecommerce_reviews_with_language_drift'],,"['accuracy', 'f1']",text-classification,2022-06-01T06:15:35.000Z,"['transformers', 'pytorch', 'tensorboard', 'distilbert', 'text-classification', 'dataset:ecommerce_reviews_with_language_drift', 'generated_from_trainer', 'license:apache-2.0', 'model-index', 'region:us']",3,y
159,deepset/bert-base-german-cased-sentiment-Germeval17,"['neutral', 'negative', 'positive']",621ffdc136468d709f17a5e3,26.0,3.0,['BertForSequenceClassification'],,,,text-classification,2023-04-02T21:12:20.000Z,"['transformers', 'pytorch', 'jax', 'safetensors', 'bert', 'text-classification', 'region:us']",3,y
160,venetis/electra-base-discriminator-finetuned-3d-sentiment,"['LABEL_2', 'LABEL_1', 'LABEL_0']",64f15da5d43a09a257f77819,26.0,0.0,['ElectraForSequenceClassification'],,,"['accuracy', 'precision', 'recall', 'f1']",text-classification,2023-09-02T23:51:46.000Z,"['transformers', 'pytorch', 'tensorboard', 'electra', 'text-classification', 'generated_from_trainer', 'license:apache-2.0', 'region:us']",3,y
161,Abubakari/finetuned-Sentiment-classfication-ROBERTA-model,"['LABEL_1', 'LABEL_2', 'LABEL_0']",644a3dfeca8809b635dd4272,26.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-06-28T22:50:49.000Z,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'roberta', 'text-classification', 'generated_from_trainer', 'license:mit', 'has_space', 'region:us']",3,y
162,Yah216/Sentiment_Analysis_CAMelBERT_msa_sixteenth_HARD,"['POSITIVE', 'NEUTRAL', 'NEGATIVE']",621ffdc136468d709f177c9a,26.0,1.0,['BertForSequenceClassification'],,ar,,text-classification,2021-11-20T09:02:24.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'ar', 'has_space', 'region:us']",3,y
163,CultureBERT/roberta-large-hierarchy,"['neutral', 'positive', 'negative']",638a6cabf6a0bc48582958a4,25.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-12-22T22:05:24.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'arxiv:2212.00509', 'license:cc-by-nc-4.0', 'region:us']",3,y
164,deansaco/Roberta-base-financial-sentiment-analysis,"['neutral', 'positive', 'negative']",64da7044f78de23cb8aaca6e,24.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2023-08-22T17:56:31.000Z,"['transformers', 'tf', 'roberta', 'text-classification', 'generated_from_keras_callback', 'region:us']",3,y
165,bardsai/finance-sentiment-pl-fast,"['neutral', 'positive', 'negative']",63808b7ab68496ff04b114ea,24.0,4.0,['DistilBertForSequenceClassification'],['datasets/financial_phrasebank'],pl,"['f1', 'accuracy', 'precision', 'recall']",text-classification,2023-03-21T08:23:46.000Z,"['transformers', 'pytorch', 'safetensors', 'distilbert', 'text-classification', 'pl', 'dataset:datasets/financial_phrasebank', 'financial-sentiment-analysis', 'sentiment-analysis', 'region:us']",3,y
166,akoksal/bounti,"['positive', 'neutral', 'negative']",625487b88bec08ecc32807ea,24.0,2.0,['BertForSequenceClassification'],,tr,,text-classification,2022-04-11T20:12:25.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'tr', 'sentiment', 'twitter', 'turkish', 'region:us']",3,y
167,NYTK/sentiment-ohb3-hubert-hungarian,"['LABEL_2', 'LABEL_0', 'LABEL_1']",63bb3624d330ba0fc0d877d1,23.0,0.0,['BertForSequenceClassification'],,['hu'],['accuracy'],text-classification,2023-01-23T08:43:05.000Z,"['transformers', 'pytorch', 'bert', 'text-classification', 'hu', 'license:apache-2.0', 'region:us']",3,y
168,sismetanin/sbert-ru-sentiment-krnd,"['LABEL_1', 'LABEL_2', 'LABEL_0']",621ffdc136468d709f1805bf,22.0,0.0,['BertForSequenceClassification'],,['ru'],,text-classification,2021-05-20T06:27:51.000Z,"['transformers', 'pytorch', 'jax', 'bert', 'text-classification', 'ru', 'sentiment analysis', 'Russian', 'SBERT-Large', 'region:us']",3,y
169,CouchCat/ma_sa_v7_distil,"['positive', 'neutral', 'negative']",621ffdc036468d709f174fb4,21.0,0.0,['DistilBertForSequenceClassification'],,en,,text-classification,2021-02-15T23:19:57.000Z,"['transformers', 'pytorch', 'distilbert', 'text-classification', 'en', 'sentiment-analysis', 'license:mit', 'region:us']",3,y
170,raygx/GNePT-NepSA,"['NEUTRAL', 'POSITIVE', 'NEGATIVE']",64e872e05ddcace745be5ccc,21.0,0.0,['GPT2ForSequenceClassification'],,,,text-classification,2023-09-01T06:21:00.000Z,"['transformers', 'tf', 'gpt2', 'text-classification', 'generated_from_keras_callback', 'license:mit', 'text-generation-inference', 'region:us']",3,y
171,papepipopu/trading_ai,"['negative', 'neutral', 'positive']",63daa979a175b8d7f25ae0b4,21.0,1.0,['BertForSequenceClassification'],,,,text-classification,2023-02-01T18:14:10.000Z,"['transformers', 'pytorch', 'tensorboard', 'bert', 'text-classification', 'region:us']",3,y
172,pin/senda,"['positiv', 'negativ', 'neutral']",621ffdc136468d709f17eedb,20.0,4.0,['BertForSequenceClassification'],,da,,text-classification,2021-08-20T11:00:39.000Z,"['transformers', 'pytorch', 'tf', 'jax', 'bert', 'text-classification', 'da', 'danish', 'sentiment', 'polarity', 'license:cc-by-4.0', 'region:us']",3,y
173,Tobias/bert-base-uncased_English_Hotel_sentiment,"['Positive', 'Neutral', 'Negative']",627118da67ff0a433db17365,20.0,1.0,['BertForSequenceClassification'],,eng,,text-classification,2022-06-01T14:55:05.000Z,"['transformers', 'tf', 'bert', 'text-classification', 'eng', 'license:apache-2.0', 'region:us']",3,y
174,CultureBERT/roberta-large-clan,"['neutral', 'negative', 'positive']",63822ff4cae34727b9cc6975,19.0,0.0,['RobertaForSequenceClassification'],,,,text-classification,2022-12-22T22:05:04.000Z,"['transformers', 'pytorch', 'roberta', 'text-classification', 'arxiv:2212.00509', 'license:cc-by-nc-4.0', 'region:us']",3,y
