Model Name,Direct Use,Downstream Use [optional],Out-of-Scope Use,"Bias, Risks, and Limitations",Recommendations,How to Get Started with the Model
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,NIA,NIA
aari1995/German_Sentiment,NIA,NIA,NIA,NIA,NIA,FIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,NIA,NIA,NIA,NIA
ZiweiChen/FinBERT-FOMC,PIA,NIA,NIA,NIA,NIA,FIA
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA,NIA
alger-ia/dziribert_sentiment,FIA,NIA,NIA,NIA,NIA,FIA
blanchefort/rubert-base-cased-sentiment-rurewiews,NIA,NIA,NIA,NIA,NIA,FIA
z-dickson/multilingual_sentiment_newspaper_headlines,NIA,NIA,NIA,NIA,NIA,FIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,FIA,NIA,NIA,NIA,FIA,FIA
