Model Name,Model Examination [optional],Environmental Impact,Technical Specifications [optional],Model Architecture and Objective,Compute Infrastructure,Hardware,Software,Citation [optional],Glossary [optional],More Information [optional],Model Card Authors [optional],Model Card Contact
blanchefort/rubert-base-cased-sentiment-rusentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
climatebert/distilroberta-base-climate-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
Seethal/sentiment_analysis_generic_dataset,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis_model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
lxyuan/distilbert-base-multilingual-cased-sentiments-student,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
snunlp/KR-FinBert-SC,NIA,NIA,PIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA,NIA,NIA
soleimanian/financial-roberta-large-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA
RogerKam/roberta_RCADE_fine_tuned_sentiment_covid_news,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
amansolanki/autonlp-Tweet-Sentiment-Extraction-20114061,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Fear,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
knkarthick/Sentiment-Analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/camembert-base-tweet-sentiment-fr,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
samayash/finetuning-financial-news-sentiment,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
sbcBI/sentiment_analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-base-absa-v1.1,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
hakonmh/sentiment-xdistil-uncased,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
avichr/heBERT_sentiment_analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA
hw2942/bert-base-chinese-finetuning-financial-news-sentiment-v2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Sigma/financial-sentiment-analysis,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
w11wo/indonesian-roberta-base-sentiment-classifier,NIA,NIA,PIA,FIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA
j-hartmann/sentiment-roberta-large-english-3-classes,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA
CAMeL-Lab/bert-base-arabic-camelbert-da-sentiment,NIA,NIA,PIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA
fergusq/finbert-finnsentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
neuraly/bert-base-italian-cased-sentiment,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA
citizenlab/twitter-xlm-roberta-base-sentiment-finetunned,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
MonoHime/rubert-base-cased-sentiment-new,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
mdhugol/indonesia-bert-sentiment-classification,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Kyle1668/boss-sentiment-bert-base-uncased,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mwz/RomanUrduClassification,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
philschmid/distilbert-base-multilingual-cased-sentiment-2,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
lucas-leme/FinBERT-PT-BR,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
peerapongch/baikal-sentiment-ball,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
abhishek/autonlp-swahili-sentiment-615517563,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cointegrated/rubert-tiny-sentiment-balanced,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Jean-Baptiste/roberta-large-financial-news-sentiment-en,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
seara/rubert-tiny2-russian-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
mdraw/german-news-sentiment-bert,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
BVK97/Discord-NFT-Sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
emre/turkish-sentiment-analysis,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
alexandrainst/da-sentiment-base,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA
eevvgg/StanceBERTa,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/roberta-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
Ammar-alhaj-ali/arabic-MARBERT-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
yangheng/deberta-v3-large-absa-v1.1,NIA,NIA,PIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
IAyoub/finetuning-bert-sentiment-reviews-2,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
ayameRushia/bert-base-indonesian-1.5G-sentiment-analysis-smsa,NIA,NIA,PIA,NIA,NIA,NIA,PIA,NIA,NIA,NIA,NIA,NIA
turing-usp/FinBertPTBR,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Voicelab/herbert-base-cased-sentiment,PIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Tejas3/distillbert_base_uncased_80_equal,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
l3cube-pune/marathi-sentiment-md,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,FIA,NIA,NIA
shashanksrinath/News_Sentiment_Analysis,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-mix-sentiment,NIA,NIA,PIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA
Jorgeutd/bert-base-uncased-finetuned-surveyclassification,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/twitter-roberta-base-dec2021-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
larskjeldgaard/senda,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Souvikcmsa/BERT_sentiment_analysis,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-twitter-politics-sentiment,NIA,NIA,PIA,PIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
rohanrajpal/bert-base-multilingual-codemixed-cased-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA
hilmansw/indobert-finetuned-sentiment-happiness-index,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
FinanceInc/auditor_sentiment_finetuned,NIA,FIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
pysentimiento/roberta-targeted-sentiment-analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RecordedFuture/Swedish-Sentiment-Violence,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,NIA,NIA
poerwiyanto/bert-base-indonesian-522M-finetuned-sentiment,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
MarieAngeA13/Sentiment-Analysis-BERT,NIA,NIA,PIA,FIA,NIA,NIA,NIA,NIA,NIA,FIA,PIA,NIA
poom-sci/WangchanBERTa-finetuned-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
xaqren/sentiment_analysis,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
Davlan/naija-twitter-sentiment-afriberta-large,NIA,NIA,PIA,NIA,NIA,PIA,NIA,FIA,NIA,NIA,NIA,NIA
bardsai/finance-sentiment-zh-base,NIA,NIA,PIA,NIA,NIA,FIA,NIA,NIA,NIA,FIA,NIA,FIA
seara/rubert-base-cased-russian-sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
blanchefort/rubert-base-cased-sentiment-med,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
hanifnoerr/Fine-tuned-Indonesian-Sentiment-Classifier,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
RashidNLP/Finance-Sentiment-Classification,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
RogerKam/roberta_fine_tuned_sentiment_newsmtsc,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
abnersampaio/sentimentv2,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
cardiffnlp/xlm-roberta-base-tweet-sentiment-pt,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
aari1995/German_Sentiment,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
ncduy/phobert-large-finetuned-vietnamese_students_feedback,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
ZiweiChen/FinBERT-FOMC,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
JP040/bert-german-sentiment-twitter,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
alger-ia/dziribert_sentiment,NIA,NIA,PIA,NIA,NIA,NIA,NIA,FIA,NIA,NIA,FIA,FIA
blanchefort/rubert-base-cased-sentiment-rurewiews,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
z-dickson/multilingual_sentiment_newspaper_headlines,NIA,NIA,PIA,NIA,NIA,NIA,FIA,NIA,NIA,NIA,NIA,NIA
rasmodev/Covid-19_Sentiment_Analysis_RoBERTa_Model,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA,NIA
CAMeL-Lab/bert-base-arabic-camelbert-msa-sentiment,NIA,NIA,PIA,NIA,NIA,NIA,FIA,FIA,NIA,NIA,NIA,NIA
